rev_count,date
1,"2004-07-22 00:00:00"
1,"2004-09-15 00:00:00"
1,"2004-10-12 00:00:00"
7,"2004-10-19 00:00:00"
1,"2004-10-25 00:00:00"
2,"2004-12-19 00:00:00"
1,"2004-12-24 00:00:00"
4,"2005-01-24 00:00:00"
3,"2005-01-26 00:00:00"
1,"2005-02-02 00:00:00"
1,"2005-03-01 00:00:00"
1,"2005-03-02 00:00:00"
5,"2005-03-03 00:00:00"
3,"2005-03-04 00:00:00"
1,"2005-03-07 00:00:00"
1,"2005-03-08 00:00:00"
2,"2005-03-09 00:00:00"
5,"2005-03-10 00:00:00"
4,"2005-03-11 00:00:00"
6,"2005-03-12 00:00:00"
14,"2005-03-14 00:00:00"
1,"2005-03-16 00:00:00"
1,"2005-03-17 00:00:00"
1,"2005-03-18 00:00:00"
2,"2005-03-20 00:00:00"
3,"2005-03-25 00:00:00"
1,"2005-03-29 00:00:00"
3,"2005-04-01 00:00:00"
1,"2005-04-04 00:00:00"
1,"2005-04-07 00:00:00"
3,"2005-04-08 00:00:00"
1,"2005-04-10 00:00:00"
4,"2005-04-13 00:00:00"
3,"2005-04-14 00:00:00"
11,"2005-04-15 00:00:00"
3,"2005-04-19 00:00:00"
1,"2005-04-20 00:00:00"
3,"2005-04-22 00:00:00"
2,"2005-04-23 00:00:00"
1,"2005-04-25 00:00:00"
3,"2005-04-26 00:00:00"
7,"2005-04-27 00:00:00"
4,"2005-04-28 00:00:00"
2,"2005-04-29 00:00:00"
1,"2005-05-02 00:00:00"
2,"2005-05-03 00:00:00"
3,"2005-05-04 00:00:00"
1,"2005-05-09 00:00:00"
2,"2005-05-10 00:00:00"
1,"2005-05-11 00:00:00"
2,"2005-05-12 00:00:00"
6,"2005-05-14 00:00:00"
6,"2005-05-15 00:00:00"
3,"2005-05-16 00:00:00"
2,"2005-05-17 00:00:00"
4,"2005-05-21 00:00:00"
2,"2005-05-22 00:00:00"
6,"2005-05-23 00:00:00"
1,"2005-05-24 00:00:00"
4,"2005-05-25 00:00:00"
17,"2005-05-26 00:00:00"
3,"2005-05-31 00:00:00"
3,"2005-06-02 00:00:00"
1,"2005-06-07 00:00:00"
1,"2005-06-09 00:00:00"
1,"2005-06-11 00:00:00"
1,"2005-06-15 00:00:00"
3,"2005-06-17 00:00:00"
2,"2005-06-18 00:00:00"
2,"2005-06-21 00:00:00"
4,"2005-06-23 00:00:00"
6,"2005-06-25 00:00:00"
1,"2005-06-27 00:00:00"
1,"2005-06-29 00:00:00"
1,"2005-07-03 00:00:00"
1,"2005-07-05 00:00:00"
1,"2005-07-08 00:00:00"
3,"2005-07-10 00:00:00"
1,"2005-07-11 00:00:00"
4,"2005-07-12 00:00:00"
1,"2005-07-13 00:00:00"
1,"2005-07-14 00:00:00"
18,"2005-07-18 00:00:00"
2,"2005-07-21 00:00:00"
9,"2005-07-22 00:00:00"
1,"2005-07-24 00:00:00"
2,"2005-07-27 00:00:00"
4,"2005-07-28 00:00:00"
1,"2005-07-29 00:00:00"
2,"2005-07-31 00:00:00"
1,"2005-08-04 00:00:00"
2,"2005-08-08 00:00:00"
1,"2005-08-09 00:00:00"
3,"2005-08-12 00:00:00"
1,"2005-08-16 00:00:00"
3,"2005-08-19 00:00:00"
2,"2005-08-20 00:00:00"
2,"2005-08-24 00:00:00"
4,"2005-08-27 00:00:00"
3,"2005-08-28 00:00:00"
3,"2005-08-29 00:00:00"
3,"2005-08-31 00:00:00"
4,"2005-09-02 00:00:00"
5,"2005-09-07 00:00:00"
2,"2005-09-08 00:00:00"
1,"2005-09-09 00:00:00"
2,"2005-09-12 00:00:00"
1,"2005-09-13 00:00:00"
4,"2005-09-14 00:00:00"
4,"2005-09-16 00:00:00"
2,"2005-09-17 00:00:00"
4,"2005-09-19 00:00:00"
5,"2005-09-20 00:00:00"
1,"2005-09-23 00:00:00"
2,"2005-10-03 00:00:00"
1,"2005-10-05 00:00:00"
7,"2005-10-06 00:00:00"
11,"2005-10-07 00:00:00"
6,"2005-10-09 00:00:00"
1,"2005-10-10 00:00:00"
12,"2005-10-11 00:00:00"
4,"2005-10-12 00:00:00"
4,"2005-10-13 00:00:00"
12,"2005-10-14 00:00:00"
6,"2005-10-15 00:00:00"
25,"2005-10-16 00:00:00"
22,"2005-10-17 00:00:00"
8,"2005-10-18 00:00:00"
4,"2005-10-19 00:00:00"
34,"2005-10-20 00:00:00"
8,"2005-10-21 00:00:00"
4,"2005-10-22 00:00:00"
1,"2005-10-23 00:00:00"
8,"2005-10-24 00:00:00"
1,"2005-10-27 00:00:00"
17,"2005-10-28 00:00:00"
3,"2005-10-31 00:00:00"
5,"2005-11-01 00:00:00"
5,"2005-11-02 00:00:00"
8,"2005-11-03 00:00:00"
6,"2005-11-07 00:00:00"
7,"2005-11-08 00:00:00"
1,"2005-11-10 00:00:00"
13,"2005-11-11 00:00:00"
5,"2005-11-14 00:00:00"
1,"2005-11-15 00:00:00"
9,"2005-11-16 00:00:00"
4,"2005-11-17 00:00:00"
10,"2005-11-18 00:00:00"
4,"2005-11-19 00:00:00"
4,"2005-11-21 00:00:00"
5,"2005-11-22 00:00:00"
10,"2005-11-23 00:00:00"
4,"2005-11-24 00:00:00"
11,"2005-11-25 00:00:00"
4,"2005-11-26 00:00:00"
7,"2005-11-27 00:00:00"
1,"2005-11-28 00:00:00"
17,"2005-11-29 00:00:00"
12,"2005-11-30 00:00:00"
4,"2005-12-01 00:00:00"
21,"2005-12-02 00:00:00"
3,"2005-12-04 00:00:00"
5,"2005-12-05 00:00:00"
4,"2005-12-06 00:00:00"
5,"2005-12-07 00:00:00"
37,"2005-12-08 00:00:00"
8,"2005-12-09 00:00:00"
9,"2005-12-10 00:00:00"
1,"2005-12-11 00:00:00"
3,"2005-12-12 00:00:00"
1,"2005-12-13 00:00:00"
4,"2005-12-14 00:00:00"
6,"2005-12-15 00:00:00"
3,"2005-12-16 00:00:00"
2,"2005-12-17 00:00:00"
9,"2005-12-20 00:00:00"
9,"2005-12-21 00:00:00"
6,"2005-12-22 00:00:00"
4,"2005-12-23 00:00:00"
12,"2005-12-25 00:00:00"
3,"2005-12-26 00:00:00"
4,"2005-12-27 00:00:00"
2,"2005-12-28 00:00:00"
11,"2005-12-29 00:00:00"
3,"2005-12-30 00:00:00"
13,"2005-12-31 00:00:00"
4,"2006-01-01 00:00:00"
4,"2006-01-02 00:00:00"
8,"2006-01-03 00:00:00"
9,"2006-01-04 00:00:00"
25,"2006-01-05 00:00:00"
20,"2006-01-06 00:00:00"
24,"2006-01-07 00:00:00"
29,"2006-01-08 00:00:00"
38,"2006-01-09 00:00:00"
65,"2006-01-10 00:00:00"
23,"2006-01-11 00:00:00"
