state,city,neighborhood,address,name,date
ON,Toronto,Swansea,"2195 Bloor St W","Blo Blow Dry Bar","2017-07-22 00:00:00"
ON,Thornhill,,"88 Steeles Avenue W","Sisley Honda","2017-07-17 00:00:00"
ON,Mississauga,"Port Credit","113  Lakeshore Road E","Zest for Living","2017-04-18 00:00:00"
QC,Montréal,Ville-Marie,"1425 Rue Stanley","Deville Dinerbar","2017-03-08 00:00:00"
ON,Vaughan,,"1520 Steeles Avenue W, Unit 103","168 Sushi Asian Buffet","2017-02-13 00:00:00"
ON,Brampton,,"56 Bramsteele Road, Unit 2","Perplexity Escape Games","2017-01-30 00:00:00"
ON,Toronto,"Downtown Core","112 Elizabeth Street, Unit 1","Poke Guys","2017-01-26 00:00:00"
ON,Toronto,Koreatown,"706 Bloor Street W","Poop Cafe","2017-01-10 00:00:00"
ON,Mississauga,,"100 City Centre Drive","Jamie's Italian Square One","2017-01-10 00:00:00"
ON,Toronto,,"88 Harbord Street","Piano Piano","2016-11-28 00:00:00"
ON,Toronto,"The Junction","2968 Dundas Street W, 3rd Floor","Breathe Yoga Studio","2016-08-10 00:00:00"
ON,Toronto,"The Junction","3080 Dundas Street W","Grasshopper Restaurant","2016-06-05 00:00:00"
ON,Toronto,"The Junction","3076 Dundas Street W","Junction Local","2016-05-02 00:00:00"
ON,Toronto,,"7 O'Neill Rd","The Bier Markt","2016-04-27 00:00:00"
ON,Toronto,Swansea,"2481A Bloor Street W","Moksha Yoga Bloor West","2016-03-30 00:00:00"
ON,"North York","Bayview Village","2901 Bayview Avenue","Bayview Village Shopping Centre","2016-01-28 00:00:00"
ON,Toronto,,"3265 Yonge Street",STACK,"2016-01-12 00:00:00"
ON,Toronto,,"3401 Dufferin Street, Unit 20","Jamie's Italian","2015-12-14 00:00:00"
ON,Toronto,Chinatown,"147 Baldwin Street","Toronto Popcorn Company","2015-11-09 00:00:00"
ON,Toronto,"The Annex","176 Dupont Street","Big Crow","2015-11-09 00:00:00"
ON,Toronto,"Casa Loma","1 Austin Terrace","Casa Loma Escape  Series","2015-11-06 00:00:00"
ON,Toronto,"High Park","217 Roncesvalles Avenue","Owl Optometry","2015-10-28 00:00:00"
ON,Toronto,,"550 Wellington Street W","Colette Grand Cafe","2015-10-07 00:00:00"
ON,Toronto,"The Junction","3217 Dundas Street W","Oaks 'n Acorns","2015-10-01 00:00:00"
ON,Toronto,"West Queen West","1174 Queen Street W","Helen + Hildegard Herbal Apothecary","2015-09-19 00:00:00"
ON,Mississauga,"East Credit","30 Eglinton Avenue W","The Wilcox Gastropub","2015-09-01 00:00:00"
ON,Toronto,,"1755 Lake Shore Boulevard W","Sunnyside Pavilion Cafe","2015-08-31 00:00:00"
ON,Mississauga,"Mississauga Valley","377 Burnhamthorpe Road E, 2nd Floor, Suite 116","Passport Canada","2015-08-25 00:00:00"
ON,Toronto,"Discovery District","598 Bay Street","Uncle Tetsu's Japanese Cheesecake","2015-08-25 00:00:00"
ON,Toronto,Swansea,"2463 Bloor Street W","Patchmon's Thai Desserts & More","2015-08-13 00:00:00"
ON,Toronto,,"77 Wynford Drive","The Aga Khan Museum","2015-08-03 00:00:00"
ON,Toronto,,"895 Yonge Street","Sawasdee Thai Cuisine","2015-08-03 00:00:00"
ON,Toronto,"Entertainment District","230 Adelaide Street W","Copacabana Brazilian Steakhouse","2015-07-27 00:00:00"
ON,Toronto,Yorkville,"115 Yorkville Avenue","Kasa Moto","2015-07-22 00:00:00"
ON,Toronto,"The Annex","394 Bloor Street W",Aka,"2015-07-10 00:00:00"
ON,Toronto,"The Junction","2968 Dundas Street W","The Passenger","2015-06-01 00:00:00"
ON,Toronto,"Bayview Village","2901 Bayview Avenue","Origin North","2015-05-27 00:00:00"
ON,Toronto,"The Junction","240 Annette Street","Annette Food Market","2015-04-18 00:00:00"
ON,Toronto,"Bloor-West Village","2203 Bloor Street W","Yogurty's Froyo","2015-04-08 00:00:00"
ON,Toronto,Swansea,"2489 Bloor Street W","dip 'n dip","2015-04-04 00:00:00"
ON,Toronto,"Distillery District","42 Gristmill Lane","Boku Sushi","2015-04-03 00:00:00"
ON,Toronto,"Downtown Core","220 Yonge Street","Trattoria Mercatto","2015-03-31 00:00:00"
ON,Toronto,"High Park","371 Roncesvalles Avenue","Butler's Pantry","2015-03-20 00:00:00"
ON,Toronto,"Entertainment District","11 Duncan Street",Byblos,"2015-03-05 00:00:00"
ON,Toronto,"Little Portugal","1321 Dundas Street W","Porter House","2015-03-02 00:00:00"
ON,Toronto,"St. Lawrence","36 Wellington Street E","East Thirty-Six","2015-02-23 00:00:00"
ON,"North York",,"526 Lawrence Avenue W","Li'l Niblets & Baby Sprouts","2015-02-09 00:00:00"
ON,Markham,,"7040 Warden Avenue","Green Grotto","2015-02-06 00:00:00"
ON,Toronto,Willowdale,"4862 Yonge Street","Han Ba Tang","2015-02-04 00:00:00"
ON,Mississauga,"Rockwood Village","4141 Dixie Road","Fat Bastard Burrito","2015-01-16 00:00:00"
