state,city,neighborhood,address,name,date
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S","Burger Lounge","2017-06-08 00:00:00"
NV,"North Las Vegas",,"300 W Lake Mead Blvd","Happy's Pizza","2017-06-06 00:00:00"
NV,"Las Vegas",,"3025 Sammy Davis Jr Dr","El Dorado Cantina","2017-04-26 00:00:00"
NV,"Las Vegas",Westside,"740 S Decatur Blvd","Charlie's Market Buffet","2017-04-25 00:00:00"
NV,"North Las Vegas",,"6180 N Decatur","Greens & Proteins","2017-04-20 00:00:00"
NV,"Las Vegas","The Strip","3645 S Las Vegas Blvd","50 Shades! The Smash Hit Parody","2017-04-17 00:00:00"
NV,Sloan,,"S Las Vegas Blvd","Seven Magic Mountains","2017-04-09 00:00:00"
NV,"Las Vegas","The Strip","3475 S Las Vegas Blvd","Tenors of Rock","2017-03-20 00:00:00"
NV,"Las Vegas","The Strip","3619 Las Vegas Blvd S, Ste 200",Giordano's,"2017-03-19 00:00:00"
NV,"Las Vegas","The Strip","3475 S Las Vegas Blvd","Tenors of Rock","2017-03-17 00:00:00"
NV,"North Las Vegas",,"6180 N Decatur","Greens & Proteins","2017-03-12 00:00:00"
NV,"Las Vegas",Downtown,"202 Fremont St","Mike Hammer - Comedy Magic Show","2017-03-12 00:00:00"
NV,"Las Vegas","Spring Valley","9484 W Flamingo Rd, Ste 165","Rolled Ice Cream","2017-03-07 00:00:00"
NV,"Las Vegas",Eastside,"3700 S Maryland Pkwy","John's Incredible Pizza Company","2017-03-07 00:00:00"
NV,"Las Vegas","Spring Valley","9484 W Flamingo Rd, Ste 165","Rolled Ice Cream","2017-03-07 00:00:00"
NV,"Las Vegas",,"Great Basin Hwy","Hoover Dam Bridge","2017-03-06 00:00:00"
NV,"Las Vegas",Eastside,"3700 S Maryland Pkwy","John's Incredible Pizza Company","2017-03-06 00:00:00"
NV,"Las Vegas",Eastside,"3700 S Maryland Pkwy","John's Incredible Pizza Company","2017-03-05 00:00:00"
NV,"North Las Vegas",,"5725 Losee Rd",Wingstop,"2017-02-25 00:00:00"
NV,"Las Vegas","The Strip","3645 S Las Vegas Blvd","The Bronx Wanderers","2017-02-24 00:00:00"
NV,"Las Vegas","The Strip","3635 Las Vegas Blvd S, Unit 100",Wahlburgers,"2017-01-30 00:00:00"
NV,"Las Vegas","The Strip","3635 Las Vegas Blvd S, Unit 100",Wahlburgers,"2017-01-29 00:00:00"
NV,"Las Vegas","The Strip","3635 Las Vegas Blvd S, Unit 100",Wahlburgers,"2017-01-28 00:00:00"
NV,"Las Vegas","The Strip","3600 S Las Vegas Blvd","Bellagio Hotel","2017-01-26 00:00:00"
