state,city,neighborhood,address,name,date
NV,Henderson,,"201 S Stephanie St",Albertsons,"2017-07-25 00:00:00"
NV,"Las Vegas",Sunrise,"2585 S Nellis Blvd, Ste 1",Starbucks,"2017-07-25 00:00:00"
NV,"North Las Vegas",,"2517 E Craig Rd",Starbucks,"2017-07-22 00:00:00"
NV,"Las Vegas",Downtown,"1 Fremont St","Golden Gate Hotel & Casino","2017-07-20 00:00:00"
NV,"Las Vegas",Southeast,"6475 Pecos Rd, Ste B","Aloha Hawaiian BBQ","2017-07-18 00:00:00"
NV,"Las Vegas","The Strip","3131 Las Vegas Blvd S","Wynn Las Vegas","2017-07-14 00:00:00"
NV,Clark,,"Northshore Rd","Wetlands Trail","2017-07-14 00:00:00"
NV,"Las Vegas",Sunrise,"2775 S Nellis Blvd","China Passion","2017-07-12 00:00:00"
NV,"Las Vegas",Eastside,"3528 S Maryland Pkwy","The Boulevard","2017-07-11 00:00:00"
NV,"Las Vegas",Eastside,"4480 Paradise Rd","Capriotti's Sandwich Shop","2017-07-11 00:00:00"
NV,"Las Vegas",Eastside,"4480 Paradise Rd","Capriotti's Sandwich Shop","2017-07-09 00:00:00"
NV,"Las Vegas",,"5566 Boulder Hwy, Ste 2C",Starbucks,"2017-07-09 00:00:00"
NV,"Las Vegas",Eastside,"2975 E Sahara Ave",Kmart,"2017-07-08 00:00:00"
NV,Henderson,,"2764 N Green Valley Pkwy","L T H","2017-07-07 00:00:00"
NV,"Las Vegas",Eastside,"3000 S Paradise Rd","Purple Reign - THE Prince Tribute Show","2017-07-06 00:00:00"
NV,Henderson,,"130 Par Excellence Dr","The Legacy Golf Club","2017-07-05 00:00:00"
NV,"Las Vegas",Centennial,"7130 N Durango Dr","Smith's Food & Drug Centers","2017-07-01 00:00:00"
NV,"Las Vegas",,"6725 Lee Canyon Rd","Big Horn Cafe","2017-07-01 00:00:00"
NV,"Las Vegas",,"5536 Boulder Hwy","Burger King","2017-06-25 00:00:00"
NV,"Las Vegas",Sunrise,"4505 E Charleston Blvd",Starbucks,"2017-06-24 00:00:00"
NV,"Las Vegas","Spring Valley","5130 S Fort Apache Rd, Ste 240",Smashburger,"2017-06-22 00:00:00"
NV,Henderson,,"2718 N Green Valley Pkwy","Dollar Tree Stores","2017-06-22 00:00:00"
NV,"North Las Vegas",,"965 W Craig Rd",Lumberjacks,"2017-06-21 00:00:00"
NV,Henderson,,"687 N Stephanie St","L & L Hawaiian Barbecue","2017-06-21 00:00:00"
NV,"Las Vegas",Southwest,"8050 S Rainbow Blvd",Smith's,"2017-06-20 00:00:00"
NV,"Las Vegas",University,"4550 S Maryland Pkwy, Ste 9","JC Cuisine","2017-06-18 00:00:00"
NV,"Las Vegas",Eastside,"4455 Paradise Rd","Hard Rock Hotel & Casino","2017-06-17 00:00:00"
NV,"Las Vegas",University,"4550 S Maryland Pkwy, Ste 9","JC Cuisine","2017-06-17 00:00:00"
NV,"Las Vegas",University,"4550 S Maryland Pkwy, Ste 9","JC Cuisine","2017-06-17 00:00:00"
NV,"Las Vegas",Sunrise,"4425 Stewart St, Ste 107","Fat Boy","2017-06-14 00:00:00"
NV,Henderson,,"2895 N Green Valley Pkwy, Ste C","Boss's Slow Smoked BBQ","2017-06-12 00:00:00"
NV,"Las Vegas",Downtown,"495 S Main St","City of Las Vegas","2017-06-11 00:00:00"
NV,"Las Vegas",Southeast,"6295 S Pecos Rd","Naked City Tavern","2017-06-09 00:00:00"
NV,Henderson,,"732 S Racetrack Rd",Kmart,"2017-06-08 00:00:00"
NV,"Las Vegas","The Strip","3791 Las Vegas Blvd S","Grand Canyon Experience","2017-06-08 00:00:00"
NV,"Las Vegas",Southeast,"3760 E Sunset Rd",Kmart,"2017-06-08 00:00:00"
NV,Henderson,,"735 S Green Valley Pkwy",Starbucks,"2017-06-07 00:00:00"
