state,city,neighborhood,address,name,date
NV,Henderson,,"1205 W Warm Springs Rd, Ste 112","Flame Kabob","2017-07-24 00:00:00"
NV,Henderson,,"390 N Stephanie St","VeggiEAT Xpress","2017-07-23 00:00:00"
NV,Henderson,Anthem,"10405 S Eastern Ave","At Home","2017-07-23 00:00:00"
NV,"Las Vegas",Chinatown,"6850 Spring Mountain Rd","Greenland Supermarket","2017-07-22 00:00:00"
NV,Henderson,,"55 S Gibson Rd, Ste 110","Michelle By Sweets 507","2017-07-21 00:00:00"
NV,Henderson,Anthem,"2225 Village Walk Dr","Shake Shack","2017-07-20 00:00:00"
NV,Henderson,Anthem,"10405 S Eastern Ave","At Home","2017-07-20 00:00:00"
NV,Henderson,Anthem,"10405 S Eastern Ave",Kmart,"2017-07-19 00:00:00"
NV,"Las Vegas",,"9500 S Eastern Ave, Ste 110","Soulfish Poke","2017-07-19 00:00:00"
NV,Henderson,,"85 N Stephanie St","Farmer Boys","2017-07-15 00:00:00"
NV,Henderson,Anthem,"2225 Village Walk Dr","Shake Shack","2017-07-14 00:00:00"
NV,Henderson,,"45 E Horizon Ridge Pkwy",Vons,"2017-07-14 00:00:00"
NV,Henderson,,"1275 W Warm Springs Rd, Ste 160","The Great Greek","2017-07-10 00:00:00"
NV,Henderson,,"2555 Wigwam Pkwy","Avanti Pizza","2017-07-05 00:00:00"
NV,"Las Vegas",Southeast,"7425 S Eastern Ave, Ste 102","Tea Space","2017-07-05 00:00:00"
NV,"Las Vegas",Southeast,"8846 S Eastern Ave, Ste 102","Island Flavor ","2017-07-04 00:00:00"
NV,Henderson,,"1647 W Warm Springs Rd",Teason,"2017-07-03 00:00:00"
NV,Henderson,,"1647 W Warm Springs Rd",Teason,"2017-06-30 00:00:00"
NV,Henderson,,"1647 W Warm Springs Rd",Teason,"2017-06-29 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Ricos Tacos El Tio","2017-06-28 00:00:00"
NV,Henderson,,"724 W Sunset Rd","Penn's Thai House","2017-06-26 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Ricos Tacos El Tio","2017-06-22 00:00:00"
NV,Henderson,,"856 S Boulder Hwy","Friendly Donut House","2017-06-17 00:00:00"
NV,Henderson,,"842 S Boulder Hwy","Johnny Mac's","2017-06-16 00:00:00"
NV,Henderson,,"842 S Boulder Hwy","Johnny Mac's","2017-06-16 00:00:00"
NV,Henderson,,"605 Mall Ring Cir, Ste 110","No 1 Boba tea","2017-06-15 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Ricos Tacos El Tio","2017-06-15 00:00:00"
NV,Henderson,,"565 Marks St, Ste 140","Mabuhay Asian Market","2017-06-12 00:00:00"
NV,Henderson,,"494 N Stephanie St","Corner Bakery Cafe","2017-06-08 00:00:00"
NV,Henderson,,"494 N Stephanie St","Corner Bakery Cafe","2017-06-08 00:00:00"
NV,Henderson,,"605 Mall Ring Cir, Ste 110","No 1 Boba tea","2017-06-06 00:00:00"
NV,"Las Vegas","Spring Valley","9640 W Tropicana, Ste 101","Juan's Flaming Fajitas & Cantina","2017-06-03 00:00:00"
NV,"Las Vegas","Spring Valley","5035 S Fort Apache Rd, Ste 104","Recess Italian Ice & Desserts","2017-06-03 00:00:00"
NV,"Las Vegas","Spring Valley","5035 S Fort Apache Rd, Ste 104","Recess Italian Ice & Desserts","2017-06-03 00:00:00"
NV,"Las Vegas",,"6265 S Valley View Blvd, Ste K","Cured & Whey","2017-06-03 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Jack In the Box","2017-06-01 00:00:00"
NV,Henderson,,"791 Marks St","Costco Wholesale Gas","2017-05-31 00:00:00"
NV,Henderson,,"35 E Basic Rd, Ste B","Pho King Phonomenal","2017-05-25 00:00:00"
NV,"Las Vegas",Southeast,"6087 S Pecos Rd, Ste 102","Olay's Thai Express","2017-05-16 00:00:00"
NV,Henderson,Anthem,"695 S Green Valley Pkwy",Target,"2017-04-27 00:00:00"
NV,Henderson,,"771 E Horizon Dr, Ste164","Nail Star","2017-04-26 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-26 00:00:00"
NV,Henderson,,"90 S Stephanie St, Ste 140","Fix8 Fitness Cafe","2017-04-20 00:00:00"
NV,Henderson,,"2895 N Green Valley Pkwy, Ste C","Boss's Slow Smoked BBQ","2017-04-12 00:00:00"
NV,"Las Vegas",Eastside,"2601 Atlantic St","Starboard Tack","2017-04-08 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-07 00:00:00"
NV,"Las Vegas",Southeast,"9890 S Maryland Pkwy, Ste 19","Full House BBQ","2017-04-05 00:00:00"
NV,"Las Vegas","Spring Valley","9640 W Tropicana, Ste 101","Juan's Flaming Fajitas & Cantina","2017-03-31 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-03-30 00:00:00"
NV,Henderson,,"1275 W Warm Springs Rd, Ste 160","The Great Greek","2017-03-29 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-03-24 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-03-24 00:00:00"
NV,"Las Vegas",,"43 S Stephanie St, Ste 120, EOS Gym","Jozo Coffee Tea Boba House","2017-03-23 00:00:00"
NV,Henderson,,"791 Marks St","Costco Wholesale Gas","2017-03-23 00:00:00"
NV,Henderson,,"709 E Horizon Dr, Ste 100","The Mad Batter Café & Bakery","2017-03-23 00:00:00"
NV,"Las Vegas",Southeast,"467 E Silverado Ranch Blvd",PhilHouse,"2017-03-22 00:00:00"
NV,"Las Vegas",Southeast,"467 E Silverado Ranch Blvd",PhilHouse,"2017-03-22 00:00:00"
NV,"Las Vegas",,"5380 Cameron St, Ste 4","Eco Electric","2017-03-22 00:00:00"
NV,Henderson,,"30 W Stephanie St","Lamps Plus","2017-03-22 00:00:00"
NV,"Las Vegas",,"2861 N Green Valley Pkwy","Sin City Smokers Barbecue and Catering","2017-03-13 00:00:00"
NV,Henderson,,"1650 W Warm Springs Rd","Hog's Heaven BBQ","2017-03-13 00:00:00"
NV,"Las Vegas",Southeast,"500 E Windmill Ln, Ste 175","Joe Maxx Coffee","2017-03-11 00:00:00"
NV,"Las Vegas",,"6265 S Valley View Blvd, Ste K","Cured & Whey","2017-03-11 00:00:00"
NV,"Las Vegas",University,"1771 E Flamingo Rd, Ste 206","American Red Cross","2017-03-11 00:00:00"
NV,Henderson,,"90 S Stephanie St, Ste 150","Hi-Coffee Cafe","2017-03-11 00:00:00"
NV,Henderson,,"1300 W Sunset Rd, Ste 1950, The Galleria Mall","Bravo Cucina Italiana","2017-03-08 00:00:00"
NV,Henderson,Anthem,"2530 St Rose Pkwy, Ste 130","Great Grubbing","2017-03-06 00:00:00"
NV,Henderson,Anthem,"10345 S Eastern Ave, Ste 110","Yanni's Bistro","2017-03-06 00:00:00"
NV,Henderson,,"641 Marks St, Ste A",Wingstop,"2017-03-05 00:00:00"
NV,"South Las Vegas","Spring Valley","6455 S Rainbow Blvd, Ste 101","Bonchon Chicken","2017-03-03 00:00:00"
NV,"Las Vegas",University,"1771 E Flamingo Rd, Ste 206","American Red Cross","2017-02-26 00:00:00"
NV,Henderson,,"90 S Stephanie St, Ste 140","Fix8 Fitness Cafe","2017-02-25 00:00:00"
NV,"Las Vegas",,"6265 S Valley View Blvd, Ste K","Cured & Whey","2017-02-24 00:00:00"
NV,Henderson,,"45 E Horizon Ridge Pkwy",Vons,"2017-02-23 00:00:00"
NV,Henderson,Anthem,"10271 S Eastern Ave, Ste 109","Kaizen Fusion Roll & Sushi","2017-02-21 00:00:00"
NV,Henderson,,"237 N Stephanie St, Ste J","Sushi Cafe","2017-02-16 00:00:00"
NV,Henderson,,"308 N Boulder Hwy","Tucky's Smokin BBQ","2017-02-16 00:00:00"
