state,city,neighborhood,address,name,date
NV,"Las Vegas",Westside,"4700 Meadows Ln","Cardenas Market","2017-07-23 00:00:00"
NV,"Las Vegas",,"6265 S Valley View Blvd, Ste K","Cured & Whey","2017-07-21 00:00:00"
NV,"Las Vegas",,"6265 S Valley View Blvd, Ste K","Cured & Whey","2017-07-21 00:00:00"
NV,"Las Vegas",,"6265 S Valley View Blvd, Ste K","Cured & Whey","2017-07-21 00:00:00"
NV,"Las Vegas","The Strip","3645 S Las Vegas Blvd","The Miss Behave Gameshow","2017-07-14 00:00:00"
NV,"Boulder City",,"1224 Arizona St","The Dillinger","2017-07-09 00:00:00"
NV,"Las Vegas","The Strip","3355 South Las Vegas Blvd, Ste 106",Chica,"2017-06-30 00:00:00"
NV,"Las Vegas",Westside,"3886 W Sahara Ave","Peru Chicken","2017-06-24 00:00:00"
NV,"Las Vegas",Southwest,"7775 S Rainbow Blvd, Ste 105","Soyo Korean Barstaurant","2017-06-04 00:00:00"
NV,"Las Vegas",,"5255 S Decatur Blvd, Ste118","Sushi House Goyemon","2017-05-27 00:00:00"
NV,"Las Vegas","Spring Valley","9773 W Flamingo Rd, Ste 1","Fiiz Drinks","2017-05-20 00:00:00"
NV,"North Las Vegas",,"1025 W Craig Rd","Pollo Campero","2017-05-20 00:00:00"
NV,"North Las Vegas",,"1025 W Craig Rd","Pollo Campero","2017-05-20 00:00:00"
NV,"Las Vegas",Eastside,"3890 S Maryland Pkwy","Crispy Town","2017-05-17 00:00:00"
NV,"Las Vegas","Spring Valley","5693 S Jones Blvd, Ste 106","Mr Mamas","2017-05-11 00:00:00"
NV,"North Las Vegas",,"1025 W Craig Rd","Pollo Campero","2017-05-10 00:00:00"
NV,"Las Vegas","Spring Valley","4165 S Grand Canyon Dr","Bite Breakfast & Lunch","2017-05-07 00:00:00"
NV,"Las Vegas","Spring Valley","5105 S Ft Apache, Ste 110","Infused Tea Lounge","2017-05-07 00:00:00"
NV,"Las Vegas","Spring Valley","9484 W Flamingo Rd, Ste 165","Rolled Ice Cream","2017-05-01 00:00:00"
NV,"Las Vegas",Westside,"3923 W Charleston Blvd","M&M Soul Food Cafe","2017-04-17 00:00:00"
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S","Jean Philippe Patisserie","2017-04-13 00:00:00"
NV,"Las Vegas",Southwest,"7950 W Windmill Ln","The Crossing Christian Church","2017-04-12 00:00:00"
NV,"Las Vegas",Southwest,"7950 W Windmill Ln","The Crossing Christian Church","2017-04-12 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-04-10 00:00:00"
NV,"Las Vegas",Westside,"4675 W Charleston Blvd","Freddy's Frozen Custard & Steakburgers","2017-04-09 00:00:00"
NV,"Las Vegas",Southeast,"2053 Pama Ln","Artisanal Foods","2017-04-08 00:00:00"
NV,"Las Vegas",Southeast,"2053 Pama Ln","Artisanal Foods","2017-04-08 00:00:00"
NV,"North Las Vegas",,"775 W Craig Rd, Ste 148","808 Hawaii Mixed Plate","2017-03-31 00:00:00"
NV,Henderson,Anthem,"9925 S Eastern Ave",Chick-fil-a,"2017-03-24 00:00:00"
NV,Henderson,Anthem,"9925 S Eastern Ave",Chick-fil-a,"2017-03-18 00:00:00"
NV,Henderson,Anthem,"9925 S Eastern Ave",Chick-fil-a,"2017-03-18 00:00:00"
NV,Henderson,Anthem,"9925 S Eastern Ave",Chick-fil-a,"2017-03-18 00:00:00"
NV,"Las Vegas",Centennial,"5720 Centennial Center Blvd","Total Wine & More","2017-03-18 00:00:00"
NV,"Las Vegas",Westside,"2101 S Decatur Blvd","Trader Joe's","2017-03-11 00:00:00"
NV,"Las Vegas",,"1911 Stella Lake, Ste 150","Gritz Cafe","2017-03-05 00:00:00"
NV,"Las Vegas",,"1911 Stella Lake, Ste 150","Gritz Cafe","2017-03-05 00:00:00"
NV,"Las Vegas",Chinatown,"3889 Spring Mountain Rd","Monzo Udon","2017-03-03 00:00:00"
NV,"Las Vegas",Chinatown,"3459 S Jones Blvd","168 Market","2017-02-27 00:00:00"
NV,"Las Vegas",,"232 North Jones Blvd","Calling All Paws","2017-02-25 00:00:00"
NV,"Las Vegas",Centennial,"8400 Farm Rd, Ste 110","Doggie Stylz Grooming","2017-02-25 00:00:00"
NV,"Las Vegas",Eastside,"2675 S Eastern Ave, Ste 300","Headlinerz Barbershop","2017-02-16 00:00:00"
NV,"Las Vegas",Centennial,"6640 N Durango Dr, Ste 180",Umami,"2017-02-16 00:00:00"
NV,"Las Vegas",,"14200 S Las Vegas Blvd",SPEEDVEGAS,"2017-02-12 00:00:00"
NV,"Las Vegas",,"6620 W Flamingo Rd, Ste 7","Shish Kabob House","2017-02-12 00:00:00"
NV,"Las Vegas",,"6620 W Flamingo Rd, Ste 7","Shish Kabob House","2017-02-12 00:00:00"
NV,"Las Vegas",Centennial,"6640 N Durango Dr, Ste 180",Umami,"2017-02-10 00:00:00"
NV,"Las Vegas",Centennial,"6640 N Durango Dr, Ste 180",Umami,"2017-02-10 00:00:00"
NV,"Las Vegas",Northwest,"4949 N Rancho Dr","The Oyster Bar","2017-02-02 00:00:00"
NV,"Boulder City",,"Hwy 93","Hoover Dam","2017-01-27 00:00:00"
NV,"Las Vegas",,"4983 W Flamingo Rd, Ste B","Shang Artisan Noodle","2017-01-18 00:00:00"
NV,"Las Vegas","South Summerlin","11011 W Charleston Blvd","Hearthstone Kitchen & Cellar","2016-12-28 00:00:00"
NV,"Las Vegas",Chinatown,"3889 Spring Mountain Rd","Monzo Udon","2016-12-24 00:00:00"
NV,"Las Vegas",Chinatown,"3775 Spring Mountain Rd, Ste 301","Izakaya Go","2016-12-21 00:00:00"
NV,"Las Vegas",,"7591 West Washington Ave, Ste 110",Cinnamon's,"2016-12-18 00:00:00"
NV,"Las Vegas","Spring Valley","5165 S Ft Apache Rd, Ste 195","Squeeze In","2016-12-17 00:00:00"
NV,"Las Vegas","Spring Valley","3555 S Fort Apache Rd, Ste 141","Cafe Breizh","2016-12-14 00:00:00"
NV,"Las Vegas","Spring Valley","3555 S Fort Apache Rd, Ste 141","Cafe Breizh","2016-12-11 00:00:00"
NV,"Las Vegas","Spring Valley","9484 W Flamingo Rd, Ste 165","Rolled Ice Cream","2016-12-03 00:00:00"
NV,"Las Vegas","Spring Valley","4246 S Durango Dr","Mint Indian Bistro","2016-12-03 00:00:00"
