state,city,neighborhood,address,name,date
PA,Pittsburgh,Lawrenceville,"3519 Butler St",Morcilla,"2017-07-25 00:00:00"
PA,Pittsburgh,"Strip District","102 19th St","East End Brewing Taproom","2017-07-20 00:00:00"
PA,Pittsburgh,Downtown,"136 6th St","Pork & Beans","2017-07-17 00:00:00"
PA,Pittsburgh,"Strip District","1125 Penn Ave","Colony Café","2017-04-21 00:00:00"
PA,Pittsburgh,"Point Breeze","6739 Reynolds St",Juju,"2017-04-17 00:00:00"
PA,Pittsburgh,"North Side","247 N Shore Dr","Hyde Park Prime Steakhouse","2017-04-11 00:00:00"
PA,Pittsburgh,Shadyside,"232 S Highland Ave","Millie's Homemade Ice Cream","2017-04-06 00:00:00"
PA,Pittsburgh,Bloomfield,"4766 Liberty Ave","Angelo's Pizzeria","2017-03-31 00:00:00"
PA,Pittsburgh,"North Side","822 Western Ave","Allegheny Sandwich Shoppe","2017-03-30 00:00:00"
PA,Pittsburgh,,"192 1/2 Castle Shannon Blvd","Ease A Petite Spa","2017-03-24 00:00:00"
PA,Pittsburgh,Downtown,"971 Liberty Ave","Condado Tacos","2017-03-16 00:00:00"
PA,Pittsburgh,"North Side","431 E Ohio St","The Farmer's Daughter Flowers","2017-03-08 00:00:00"
AZ,Scottsdale,,"4415 North Civic Center Plz","Aloft Scottsdale","2017-02-15 00:00:00"
PA,Pittsburgh,"Squirrel Hill","2114 Murray Ave","Tan Lac Vien","2017-02-13 00:00:00"
PA,Pittsburgh,"North Side","1501 Buena Vista St","The Commonplace At The Mexican War Streets","2017-02-03 00:00:00"
PA,Pittsburgh,"Squirrel Hill","2119 Murray Ave","Sumi's Cakery","2017-01-27 00:00:00"
PA,Pittsburgh,"South Side","1719 E Carson St","Tres Rios","2017-01-21 00:00:00"
PA,Pittsburgh,,"9176 Covenant Ave","First Watch - Breakfast, Brunch & Lunch","2016-12-15 00:00:00"
PA,"Mount Lebanon",,"691 Washington Rd","Commonwealth Press","2016-12-05 00:00:00"
PA,Pittsburgh,Lawrenceville,"5210 Butler St","Von Walter & Funk","2016-11-07 00:00:00"
PA,Pittsburgh,Bloomfield,"4709 Liberty Ave","Peanut Butter Jelly Time","2016-11-03 00:00:00"
PA,Pittsburgh,Dormont,"1429 Potomac Ave","Mekong Restaurant","2016-10-28 00:00:00"
PA,Pittsburgh,"West View",,"Titan Roofing","2016-10-19 00:00:00"
PA,Pittsburgh,Bloomfield,"4606 Penn Ave",Apteka,"2016-10-19 00:00:00"
PA,Pittsburgh,Lawrenceville,"5202 Butler St","B52 Cafe","2016-10-14 00:00:00"
OH,Cleveland,Edgewater,"11508 Clifton Blvd","Flower Child","2016-10-04 00:00:00"
PA,"West View","West View","644 Center Ave","Royal Myanmar","2016-10-01 00:00:00"
PA,Pittsburgh,,"2101 Greentree Rd, Ste A114","Evolve Massage & Wellness Center","2016-09-26 00:00:00"
PA,Pittsburgh,Dormont,"1419 Potomac Ave","Potomac Bakery","2016-09-19 00:00:00"
PA,Carnegie,Carnegie,"335 E Main St",Bakn,"2016-09-13 00:00:00"
OH,Cleveland,"Gateway District","1332 Carnegie Ave","Hotspot Cafe","2016-09-07 00:00:00"
