state,city,neighborhood,address,name,date
AZ,Phoenix,,"1941 E Oak St","Tacos Huicho","2017-05-09 00:00:00"
AZ,Phoenix,,"4568 E Cactus Rd","Valley Vietnamese food","2017-05-05 00:00:00"
AZ,Phoenix,,"1945 E Indian School Rd","Nogales Hot Dogs","2017-04-30 00:00:00"
AZ,Phoenix,,"16618 N 32nd St","Lupita's Hot Dogs","2017-04-28 00:00:00"
AZ,Phoenix,,"4550 E Cactus Rd","Doner Kebab Chef RD","2017-04-28 00:00:00"
AZ,Phoenix,,"4750 North Central Ave","YAMA SUSHI HOUSE","2017-04-24 00:00:00"
AZ,Phoenix,,"1739 W Glendale Ave","Silver Dragon Chinese Restaurant","2017-04-13 00:00:00"
AZ,Phoenix,,"10626 N 32nd St","32 Shea","2017-04-09 00:00:00"
AZ,Phoenix,,"3619 E Indian School Rd","Ocean Poke Co","2017-03-29 00:00:00"
AZ,Phoenix,,"950 Bell Rd","Blaze Fast Fire'd Pizza","2017-03-14 00:00:00"
AZ,Tempe,,"1753 E Broadway Rd, Ste 103",Pokedon,"2017-03-12 00:00:00"
AZ,Phoenix,,"1333 E Camelback Rd","Showcase Honda","2017-03-03 00:00:00"
AZ,Phoenix,,"1333 E Camelback Rd","Showcase Honda","2017-03-03 00:00:00"
AZ,Phoenix,,"7000 E Mayo Blvd, Ste 1090","Ohya Sushi, Korean Grill & Bar","2017-02-24 00:00:00"
AZ,Phoenix,,"914 E Camelback Rd","Cherryblossom Noodle Cafe","2017-02-20 00:00:00"
AZ,Phoenix,,"North Arcadia, 4925 N 40th St","North Italia","2017-02-19 00:00:00"
AZ,Phoenix,,"1575 E Camelback Rd","Fried Ice & Bubble Tea","2017-02-01 00:00:00"
AZ,Gilbert,,"919 N Val Vista Dr, Ste 101","Temari Fine Japanese Cuisine","2017-01-27 00:00:00"
AZ,Mesa,,"1840 S Val Vista Dr","Rodizio Grill","2017-01-25 00:00:00"
AZ,Phoenix,,"1255 E Northern Ave","Veggie Village","2017-01-24 00:00:00"
AZ,Phoenix,,"4402 N 7th Ave","Diamond's Chinese Restaurant","2017-01-21 00:00:00"
AZ,Phoenix,,"4811 N 16th St, Ste 104","ZK Grill","2017-01-17 00:00:00"
AZ,Phoenix,,"2836 E Indian School Rd, Ste A-1","Poki Bar Central","2017-01-17 00:00:00"
AZ,Phoenix,,"4001 E Bell Rd","Paradise Valley Burger Company","2017-01-13 00:00:00"
AZ,Phoenix,,"4575 E Cactus Rd, Ste 140","Garbanzo Mediterranean Grill","2016-12-08 00:00:00"
AZ,Glendale,,"18589 N 59th Ave, Ste 111","Oscar's Pier 83","2016-11-29 00:00:00"
AZ,Phoenix,,"21001 N Tatum Blvd, Ste 36-1210","Sizzle Korean Barbeque","2016-11-18 00:00:00"
AZ,Phoenix,,"2439 E Mcdowell Rd","Power Window Repair","2016-11-02 00:00:00"
AZ,Phoenix,,"3417 N 7th Ave","Pho Noodles","2016-10-29 00:00:00"
AZ,Phoenix,,"10652 N 32nd St","Aioli Gourmet Burgers","2016-10-26 00:00:00"
AZ,Phoenix,,"52 E Camelback Rd","Chipotle Mexican Grill","2016-10-13 00:00:00"
AZ,Phoenix,,"1935 E Camelback Rd","Cafe Zupas","2016-09-14 00:00:00"
AZ,Tempe,,"1250 E Apache Blvd, Ste 101","Chou's Kitchen","2016-08-26 00:00:00"
AZ,Phoenix,,"6102 N 16th St, Ste 1","George's Kitchen","2016-08-25 00:00:00"
AZ,Phoenix,,"7100 N 12th St, Bldg Two","Luci's at the Orchard","2016-08-21 00:00:00"
AZ,Phoenix,,"3375 E Shea Blvd","The Joy Bus Diner","2016-08-13 00:00:00"
AZ,Phoenix,,"4019 N 10th St","Flop Shop Automotive","2016-08-08 00:00:00"
AZ,Phoenix,,"5104 East McDowell Rd","Indian Delhi Palace","2016-08-06 00:00:00"
AZ,Phoenix,,"1255 E Northern Ave","Veggie Village","2016-08-01 00:00:00"
AZ,Phoenix,,"7100 N 12th St",Splurge,"2016-07-26 00:00:00"
AZ,Phoenix,,"1255 E Northern Ave","Veggie Village","2016-07-26 00:00:00"
AZ,Phoenix,,"1125 E Glendale Ave","Panera Bread","2016-07-13 00:00:00"
AZ,Phoenix,,"5150 N 7th St","Pizza Heaven Bistro","2016-07-11 00:00:00"
AZ,Phoenix,,"1915 E McDowell Rd","Couscous Express","2016-07-09 00:00:00"
AZ,Phoenix,,"8841 N 19th Ave","Sushi Bros","2016-07-06 00:00:00"
AZ,Phoenix,,"2808 E Indian School Rd","Angry Crab & BBQ","2016-06-30 00:00:00"
AZ,Phoenix,,"4750 N Central Ave","My Tea","2016-06-30 00:00:00"
AZ,Phoenix,,"7822 N 12th St","Red Thai","2016-06-26 00:00:00"
AZ,Scottsdale,,"6000 E Camelback Rd","Relish Burger Bistro","2016-06-24 00:00:00"
AZ,Chandler,,"961 W Ray Rd, Ste 11","House of Egg Roll","2016-06-18 00:00:00"
AZ,Mesa,,"1954 S Dobson Rd, Ste 5","Cafe Agit","2016-06-17 00:00:00"
AZ,Scottsdale,,"9619 N Hayden Rd, Ste 106","Shish Kabobs & Gyros","2016-06-04 00:00:00"
AZ,Tempe,,"725 S Rural Rd, Ste 103","Asian Fusion Cafe","2016-06-02 00:00:00"
AZ,Phoenix,,"100 E Camelback Rd, Ste 100","Shake Shack","2016-05-27 00:00:00"
AZ,Phoenix,,"1923 E Mcdowell Rd","Tacos Chiwas","2016-05-27 00:00:00"
AZ,Phoenix,,"7023 N 19th Ave","Thai Lotus Restaurant","2016-05-14 00:00:00"
AZ,Phoenix,,,"Liberty Home Repair","2016-05-10 00:00:00"
AZ,Scottsdale,,"6850 E Main St",ZuZu,"2016-05-08 00:00:00"
AZ,Scottsdale,,"2805 N Scottsdale Rd, Ste 103","Ahipoki Bowl","2016-05-07 00:00:00"
AZ,Phoenix,,"1923 E Mcdowell Rd","Tacos Chiwas","2016-05-06 00:00:00"
AZ,Phoenix,,"1008 E Camelback Rd","Oregano's Pizza Bistro","2016-05-02 00:00:00"
AZ,Phoenix,,"1331 E Northern Ave","Stumpy's Pizza & Subs","2016-04-30 00:00:00"
AZ,Phoenix,,"7330 N Dreamy Draw Dr","Aunt Chiladas Squaw Peak","2016-04-29 00:00:00"
AZ,Tolleson,,"9897 W Mcdowell Rd, Ste 220",Bomboba,"2016-04-24 00:00:00"
AZ,Phoenix,,"1575 E Camelback Rd","Sushi Station","2016-04-23 00:00:00"
AZ,Mesa,,"1832 W Broadway Rd, Ste 100",Koreatown,"2016-04-22 00:00:00"
AZ,Phoenix,,"4912 E Shea Blvd, Ste 108",Überrito,"2016-04-15 00:00:00"
AZ,Phoenix,,"5505 N 7th St, Ste 110","Pita Jungle","2016-04-10 00:00:00"
AZ,Phoenix,,"8950 N Central Ave","Popeyes Louisiana Kitchen","2016-04-05 00:00:00"
AZ,Chandler,,"2075 N Dobson Rd","Phoenix Palace","2016-04-02 00:00:00"
AZ,Chandler,,"2015 N Dobson Rd, Ste 9",BAMBU,"2016-04-02 00:00:00"
AZ,Glendale,,"4362 W Olive Ave","Cafe' Ga Hyang","2016-03-26 00:00:00"
AZ,Tempe,,"3223 S Mcclintock Dr","Tampopo Ramen","2016-03-21 00:00:00"
AZ,Phoenix,,"7835 N 19th Ave","Las Glorias Grill","2016-03-17 00:00:00"
AZ,Tempe,,"1030 W Broadway Rd","Arizona Donut","2016-03-14 00:00:00"
AZ,Mesa,,"3939 N Usery Pass Rd","Wind Cave Trail","2016-03-13 00:00:00"
AZ,Phoenix,,"10004 North 26th Dr","Native Grill & Wings","2016-03-12 00:00:00"
AZ,Phoenix,,"13843 N Tatum Blvd, Ste 15","Nee House Chinese Restaurant","2016-03-04 00:00:00"
AZ,Phoenix,,"1526 E McDowell Rd","Ollie Vaughn's","2016-03-03 00:00:00"
AZ,Phoenix,,"9841 N Black Canyon Hwy","Fajitas A Sizzlin Celebration","2016-02-27 00:00:00"
AZ,Phoenix,,"3544 W Glendale Ave","Sinbad's Restaurant","2016-02-20 00:00:00"
AZ,Phoenix,,"3801 E Greenway Rd","Saint Joan of Arc Roman Catholic Church","2016-02-17 00:00:00"
AZ,Glendale,,,"Glendale Appliance Masters","2016-01-28 00:00:00"
