state,city,neighborhood,address,name,date
NC,Charlotte,,"4151A Park Rd","Sir Edmond Halley's","2017-07-24 00:00:00"
NC,Matthews,,"10701 Monroe Rd","Sam's Xpress Car Wash","2017-07-20 00:00:00"
NC,Matthews,Arboretum,"10621 Monroe Rd",QuikTrip,"2017-07-18 00:00:00"
NC,"Mint Hill",Eastland,"9030 Lawyers Road","Taco Bell","2017-07-14 00:00:00"
NC,Charlotte,Ballantyne,"11318 N Community House Rd","Be's Noodles & Banh Mi","2017-07-12 00:00:00"
NC,Concord,,"7731 Gateway Ln NW","Hotshots Sports Bar & Grill - Concord","2017-07-10 00:00:00"
NC,Charlotte,"South Park","1701 Montford Dr","Good Food on Montford","2017-06-30 00:00:00"
SC,"Fort Mill",,"325 Carowinds Blvd",Culver's,"2017-06-26 00:00:00"
NC,Huntersville,,"8625C Lindholm Dr","Kung Foo Noodle","2017-06-21 00:00:00"
NC,Charlotte,"University City","8948 J M Keynes Dr","Yelp's Barbeque Bash @ City Barbeque","2017-06-19 00:00:00"
NC,"Indian Trail",,"5902 Indian Trail Fairview Rd","The Bridge","2017-06-16 00:00:00"
NC,Charlotte,NoDa,"3306A N Davidson St","FūD at Salud","2017-06-12 00:00:00"
NC,Charlotte,,"245 Clanton Rd","Red Clay Ciderworks","2017-06-08 00:00:00"
NC,Charlotte,Sedgefield,"2801 South Blvd","Monsoon Thai Cuisine","2017-06-06 00:00:00"
NC,Concord,,"10050 Edison Sq Dr NW","The Sweet Spot","2017-05-31 00:00:00"
NC,Cornelius,,"20609 Torrence Chapel Rd","Fresh Chef Kitchen","2017-05-26 00:00:00"
NC,Cornelius,,"20619 Torrence Chapel Rd","Bruegger's Bagels","2017-05-24 00:00:00"
NC,Charlotte,,"1500 W Morehead St, Ste E","Rhino Market & Deli","2017-05-22 00:00:00"
NC,Charlotte,,"7404 Waverly Walk Ave","Ted's Montana Grill","2017-05-18 00:00:00"
NC,Matthews,,"15060 Idlewild Rd, Ste I","Moochies Tavern","2017-05-16 00:00:00"
NC,Charlotte,"First Ward","314 N College St",Flight,"2017-05-12 00:00:00"
NC,Charlotte,,"445 W Trade St","Murphy's Kitchen & Tap","2017-05-10 00:00:00"
NC,Matthews,,"15080 Idlewild Rd, Ste I","China Cafe","2017-05-08 00:00:00"
NC,Concord,,"4001 Stough Rd","Frank Liske Park & Soccer Complex","2017-05-04 00:00:00"
NC,Charlotte,,"1717 Sardis Rd N","Best Wok","2017-05-01 00:00:00"
NC,Charlotte,Elizabeth,"1941 E 7th St","Sandwich Max","2017-04-28 00:00:00"
NC,Matthews,,"7800 Steven Mills Rd","Hwy 55 Burgers Shakes & Fries","2017-04-26 00:00:00"
NC,Matthews,,"1381 Chestnut Ln","Bisonte Pizza Co.","2017-04-21 00:00:00"
NC,Charlotte,,"8700 Pineville-Matthews Rd, Ste 570","Babushka's Pierogi","2017-04-19 00:00:00"
NC,Huntersville,,"9230 Beatties Ford Rd","Lancaster's BBQ","2017-04-17 00:00:00"
NC,Charlotte,Ballantyne,"9820 E Rea Rd","Greco Fresh Grille","2017-04-13 00:00:00"
NC,Charlotte,Eastland,"4900 Central Ave","Pho Quynh","2017-04-07 00:00:00"
NC,Charlotte,Derita,"2823 W Sugar Creek Rd","US Fried Chicken","2017-04-05 00:00:00"
NC,Charlotte,Arboretum,"1514 Galleria Blvd","City Barbeque","2017-04-03 00:00:00"
NC,"Indian Trail",,"13703 Hwy 74",Biscuitville,"2017-03-30 00:00:00"
NC,Charlotte,,"5033 South Blvd, Ste G","Jasmine Grill","2017-03-28 00:00:00"
NC,Charlotte,NoDa,"5210 N Tryon St","Las Lupitas","2017-03-24 00:00:00"
NC,Charlotte,Elizabeth,"1609 Eiizabeth Ave","Earl's Grocery","2017-03-22 00:00:00"
NC,Charlotte,Ballantyne,"13855 Conlan Cir, Ste J","Pei Wei","2017-03-20 00:00:00"
NC,Matthews,,"316 N Trade St","Jekyll & Hyde Taphouse and Grill","2017-03-16 00:00:00"
NC,"Indian Trail",,"6455 Old Monroe Rd","Hickory Tavern","2017-03-14 00:00:00"
NC,Charlotte,Elizabeth,"2001 E 7th St, Ste D","Bang Bang Burgers","2017-03-10 00:00:00"
NC,Charlotte,"South Park","720 Governor Morrison St, Ste 120","Yafo Kitchen","2017-03-08 00:00:00"
NC,Charlotte,Uptown,"137 Brevard Ct",Zablong,"2017-03-06 00:00:00"
NC,Charlotte,"Plaza Midwood","2903 Central Ave","Soul Central","2017-03-02 00:00:00"
NC,Charlotte,"South End","1910 South Blvd","Luciano's Ristorante Italiano","2017-02-21 00:00:00"
NC,Charlotte,Eastland,"5727 N Sharon Amity Rd, Ste D","Pollo Campero","2017-02-10 00:00:00"
NC,Davidson,,"428 S Main St","Whit's Frozen Custard","2017-02-03 00:00:00"
NC,Davidson,,"131 N Main St","Kindred Restaurant","2017-01-26 00:00:00"
NC,Charlotte,,"8334 Pineville Matthew Rd","Mr Tokyo Japanese Restaurant","2017-01-18 00:00:00"
