state,city,neighborhood,address,name,date
NV,"Las Vegas",Centennial,"7170 N Durango Dr, Ste 110",Starbucks,"2016-12-17 00:00:00"
NV,"Las Vegas",Downtown,"353 E Bonneville Ave, Ste 103",Juhl,"2016-12-12 00:00:00"
NV,"Las Vegas",Downtown,"201 N 3rd St","Pizza Rock","2016-10-30 00:00:00"
NV,"Las Vegas",Centennial,"6250 Rio Vista St","Bob Taylor's Ranch House","2016-10-30 00:00:00"
NV,"Las Vegas",Downtown,"1811 W Charleston Blvd","Real Donuts","2016-10-30 00:00:00"
NV,"Las Vegas","South Summerlin","2130 Park Centre Dr, Ste 100","Dave & Buster's","2016-10-30 00:00:00"
NV,"Las Vegas",Downtown,"511 E Charleston Blvd","24 Hour Smoke Shop & Gold Rush","2016-10-14 00:00:00"
NV,"Las Vegas",Southeast,"7211 S Eastern Ave, Ste 110","Wonderful Smiles Dental","2016-09-13 00:00:00"
NV,Henderson,,"129 N Gibson Rd","Hot Tub Liquidators","2016-07-27 00:00:00"
NV,"Las Vegas",Westside,"4125 W Charleston Blvd","Rainbow Gardens","2016-07-13 00:00:00"
NV,"Las Vegas","Spring Valley","6520 S Buffalo Dr, Ste 125","Classic Floors & Interiors","2016-06-24 00:00:00"
NV,"Las Vegas","Spring Valley","6925 S Rainbow Blvd","Jamba Juice","2016-06-24 00:00:00"
NV,"Las Vegas",Eastside,"1370 E Flamingo Rd, Ste F","Palermo's Pizza","2016-06-21 00:00:00"
NV,"Las Vegas",Eastside,"1370 E Flamingo Rd, Ste F","Palermo's Pizza","2016-06-14 00:00:00"
NV,"Las Vegas",Eastside,"1370 E Flamingo Rd, Ste F","Palermo's Pizza","2016-06-13 00:00:00"
NV,"Las Vegas",Southeast,"3421 E Tropicana Ave, Ste R","Majestic Eyebrow Threading","2016-06-11 00:00:00"
NV,"Las Vegas","The Strip","3770 Las Vegas Blvd S","Monte Carlo Hotel And Casino","2016-06-05 00:00:00"
NV,"Las Vegas",Downtown,"15 Fremont St","La Bayou Casino","2016-06-05 00:00:00"
NV,"Las Vegas","The Strip","2535 Las Vegas Blvd S","SLS Las Vegas Hotel & Casino","2016-06-05 00:00:00"
NV,Henderson,,"631 Marks St","David's Bridal","2016-06-04 00:00:00"
NV,"Las Vegas",,"2600 W Sahara Ave","David's Bridal","2016-06-04 00:00:00"
NV,"Las Vegas",Southwest,"4180 Blue Diamond Rd","Cato Fashions","2016-05-30 00:00:00"
NV,"Las Vegas",Downtown,"80 S Martin Luther King Blvd","Mattress Firm Rancho Oakey","2016-05-29 00:00:00"
NV,"Las Vegas",Westside,"8771 W Charleston Blvd","Carrabba's Italian Grill","2016-05-29 00:00:00"
NV,"Las Vegas",Southeast,"9905 S Eastern Ave","Montesano's Eateria","2016-03-15 00:00:00"
NV,"Las Vegas",Southeast,"9905 S Eastern Ave","Montesano's Eateria","2016-03-02 00:00:00"
NV,"Las Vegas",Summerlin,"10260 W Charleston Blvd, Ste 4","Rolling In Dough Bakery","2016-02-22 00:00:00"
NV,"Las Vegas",Southeast,"6587 S Las Vegas Blvd, Ste B-196","Pot Liquor CAS","2016-02-22 00:00:00"
NV,"Las Vegas","The Strip","3545 S Las Vegas Blvd","Sprinkles Cupcakes and Ice Cream","2016-02-14 00:00:00"
NV,Henderson,Anthem,"2260 Village Walk Dr, Ste 104","Pinot's Palette","2016-02-13 00:00:00"
NV,"Las Vegas",Westside,"6700 W Charleston Blvd, Unit C","Tony Marcs 420 Eats","2016-02-05 00:00:00"
NV,"Las Vegas",Westside,"450 S Buffalo Dr, Ste 114-115","Southern Style Eatery","2016-02-05 00:00:00"
NV,"Las Vegas",Downtown,"1531 Las Vegas Blvd S","OG Gentlemen's Club","2016-01-25 00:00:00"
AZ,Phoenix,,"12847 N Tatum Blvd","McAlister's Deli","2016-01-04 00:00:00"
NV,Henderson,,"100 N Green Valley Pkwy, Ste 340","Rainer S Vogel, MD","2015-12-07 00:00:00"
NV,"Las Vegas",Downtown,"495 S Main St","Jimmy John's","2015-12-07 00:00:00"
NV,"Las Vegas","The Strip","3411 S Las Vegas Blvd","White Castle","2015-11-20 00:00:00"
NV,"Las Vegas",Westside,"6362 W Sahara Ave","Prommares Thai Food","2015-11-18 00:00:00"
NV,Henderson,Southeast,"2990 St Rose Pkwy","A Slice of Chicago At the Inn Zone","2015-11-16 00:00:00"
NV,"Las Vegas",,"The Orleans Hotel & Casino, 4500 W Tropicana Ave",Sbarro,"2015-11-08 00:00:00"
NV,"Las Vegas",,"1100 N Martin Luther King Dr, Ste G","Mamma's Boy Cafe","2015-10-16 00:00:00"
NV,"North Las Vegas",,"1821 Las Vegas Blvd N","Jerry's Nugget Casino","2015-10-05 00:00:00"
NV,"Las Vegas",Downtown,"517 Fremont St, Ste A","Don't Tell Mama","2015-09-26 00:00:00"
NV,"Las Vegas",Westside,,"Superb Maids","2015-09-26 00:00:00"
NV,"Las Vegas",Downtown,"506 Fremont St","Park on Fremont","2015-09-19 00:00:00"
NV,"Las Vegas",Downtown,"425 Fremont St","Fremont Street Experience","2015-09-19 00:00:00"
NV,"Las Vegas",Downtown,"1 S Main St","Hash House A Go Go","2015-08-27 00:00:00"
NV,"Las Vegas",Downtown,"100 6th St","La Comida","2015-08-20 00:00:00"
NV,"Las Vegas",Eastside,"375 Hughes Center Dr","Bahama Breeze","2015-07-30 00:00:00"
NV,Henderson,Anthem,"2654 W Horizon Ridge Pkwy","Fausto's Mexican Grill","2015-07-23 00:00:00"
