state,city,neighborhood,address,name,date
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd, Ste 9A","K Blossom Boutique & Cosmetics","2017-07-21 00:00:00"
NV,"Las Vegas",Downtown,"124 S 6th St, Ste 160","Smooth Eats","2017-06-24 00:00:00"
NV,Henderson,,"169 Gannett Peak St","McG's Rollin' Workshop","2017-06-24 00:00:00"
NV,Henderson,,"169 Gannett Peak St","McG's Rollin' Workshop","2017-06-19 00:00:00"
NV,"Las Vegas",Eastside,"1590 E Flamingo Rd","Bar Code Burger Bar","2017-06-17 00:00:00"
NV,Henderson,,"404 S Boulder Hwy","US Post Office","2017-06-07 00:00:00"
NV,"Las Vegas","The Strip","3708 S Las Vegas Blvd","Blue Ribbon","2017-06-03 00:00:00"
NV,"Las Vegas","The Strip","3500 Las Vegas Blvd S","The Forum Shops at Caesars","2017-05-27 00:00:00"
NV,"North Las Vegas",,"6584 N Decatur Blvd, Ste 120","Salted Malted Bakery & Creamery","2017-05-25 00:00:00"
NV,"Las Vegas",Westside,"1250 S Buffalo Dr, Ste 150","Social Security Administration","2017-05-24 00:00:00"
NV,"North Las Vegas",,"845 W Craig Rd, Ste 103","Paletas y Helados de Michoacan","2017-05-24 00:00:00"
NV,"Las Vegas",,"8826 S Eastern Ave, Ste 113","Jun's Korean Restaurant","2017-05-23 00:00:00"
NV,"Las Vegas",,"2525 Kyle Canyon Rd","Spring Mountain National Recreation Area","2017-05-21 00:00:00"
NV,"Las Vegas",Southwest,"4870 Blue Diamond Rd, Ste 150","Vitality Bowls","2017-05-16 00:00:00"
NV,"Las Vegas",Northwest,"4950 W Craig Rd, Ste 3","United Blood Services","2017-05-14 00:00:00"
NV,"North Las Vegas",,"1025 W Craig Rd","Pollo Campero","2017-05-09 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S","The Capital Grille","2017-05-03 00:00:00"
NV,"Las Vegas",Centennial,"6101 N Decatur Blvd","WinCo Foods","2017-05-03 00:00:00"
NV,"North Las Vegas",,"6120 N Decatur Blvd, Ste 100",Starbucks,"2017-04-25 00:00:00"
NV,Henderson,Anthem,"2220 Village Walk Dr, Ste 150",REI,"2017-04-13 00:00:00"
NV,"Las Vegas",,"2480 S Rancho Dr",Chick-fil-A,"2017-04-13 00:00:00"
NV,"Las Vegas",,"2480 S Rancho Dr",Chick-fil-A,"2017-04-12 00:00:00"
NV,"Las Vegas","Spring Valley","8250 W Flamingo Rd","Department of Motor Vehicles","2017-03-28 00:00:00"
NV,"Las Vegas",,"43 S Stephanie St, Ste 120, EOS Gym","Jozo Coffee Tea Boba House","2017-03-23 00:00:00"
NV,"Las Vegas",,"43 S Stephanie St, Ste 120, EOS Gym","Jozo Coffee Tea Boba House","2017-03-22 00:00:00"
NV,"Las Vegas","The Strip","3200 S Las Vegas Blvd","Green Crush","2017-03-09 00:00:00"
NV,"Las Vegas",Westside,"400 S Rampart Blvd, Ste 165","Leoné Café","2017-03-03 00:00:00"
NV,"Las Vegas","South Summerlin","2010 Festival Plaza Dr, Ste 110","New Balance","2017-02-21 00:00:00"
NV,"Las Vegas","The Strip","3720 S Las Vegas Blvd","Mastro's Ocean Club","2017-02-14 00:00:00"
NV,"Las Vegas","The Strip","3600 S Las Vegas Blvd","Fountains of Bellagio","2017-02-13 00:00:00"
NV,Henderson,Anthem,"9925 S Eastern Ave",Chick-fil-a,"2017-02-10 00:00:00"
NV,Sloan,,"S Las Vegas Blvd","Seven Magic Mountains","2017-02-10 00:00:00"
NV,"Las Vegas",Summerlin,"1910 Village Center Cir, Ste 9","Tail and Fin","2017-02-08 00:00:00"
NV,"Las Vegas",Chinatown,"5808 Spring Mountain Rd, Ste 101","Hobak Korean BBQ","2017-02-07 00:00:00"
NV,"North Las Vegas",,"6315 Losee Rd, Ste 101","Bahama Buck's","2017-02-07 00:00:00"
NV,"Las Vegas",,"Red Rock National Conservation Area","Oak Creek Canyon","2017-02-06 00:00:00"
NV,"North Las Vegas",,"6885 Aliante Pkwy, Ste 107",Scoops,"2017-02-06 00:00:00"
NV,"North Las Vegas",,"7021 N Aliante Pkwy, Ste 1",Starbucks,"2017-02-06 00:00:00"
NV,"North Las Vegas",,"3415 W Craig Rd","Chicago Style Taco Shop","2017-02-06 00:00:00"
NV,"Las Vegas",Chinatown,"5288 Spring Mountain Rd","Viet Noodle Bar","2017-02-06 00:00:00"
NV,"Las Vegas",,"8221 W Charleston Blvd","Lost Creek -  Children's Discovery Trail","2017-02-06 00:00:00"
NV,"Las Vegas",Chinatown,"4600 Spring Mountain Rd","Ronald's Donuts","2017-02-03 00:00:00"
NV,"Las Vegas",Downtown,"1126 Fremont St",PublicUs,"2017-02-03 00:00:00"
NV,Henderson,,"460 N Stephanie St",Chick-fil-A,"2017-02-03 00:00:00"
NV,Henderson,,"460 N Stephanie St",Chick-fil-A,"2017-02-02 00:00:00"
NV,"North Las Vegas",,"6462 Losee Rd, Ste 120","Spartan Sports Nutrition","2017-01-31 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd, Ste 8","Liquid Glam Nail Bar","2017-01-30 00:00:00"
NV,"North Las Vegas",,"2255 E Centennial Pkwy",Starbucks,"2017-01-30 00:00:00"
NV,Henderson,Anthem,"10271 S Eastern Ave, Ste 116","Tea And Whisk","2017-01-25 00:00:00"
NV,"Las Vegas",,"7501 W Lake Mead Blvd, Ste 107","Vegas Discount Nutrition Superstore","2017-01-25 00:00:00"
NV,"Las Vegas","The Strip","3720 S Las Vegas Blvd","Cucina by Wolfgang Puck","2017-01-23 00:00:00"
NV,"Las Vegas",Downtown,"1225 S Main St",ReBAR,"2017-01-23 00:00:00"
NV,"Las Vegas",Southeast,"5100 Las Vegas Blvd","Welcome To Las Vegas Sign","2017-01-21 00:00:00"
NV,Henderson,Anthem,"11261 S Eastern Ave, Ste 200","Standard & Pour","2017-01-21 00:00:00"
NV,"Las Vegas",Southeast,"2840 E Tropicana Ave","Dutch Bros. Coffee","2017-01-20 00:00:00"
NV,Henderson,,"661 Marks St, Ste A",Starbucks,"2017-01-20 00:00:00"
NV,"Las Vegas",,"Red Rock National Conservation Area","First Creek Trail","2017-01-20 00:00:00"
NV,"Las Vegas","Spring Valley","5165 S Fort Apache Rd, Ste 150","Makai Pacific Island Grill","2017-01-19 00:00:00"
NV,"Las Vegas",Chinatown,"5288 Spring Mountain Rd, Ste 101","Is Sweet","2017-01-17 00:00:00"
NV,"Las Vegas",,"4860 W Flamingo Rd","JINYA Ramen Bar","2017-01-16 00:00:00"
