state,city,neighborhood,address,name,date
AZ,Scottsdale,,"8880 E Via Linda","Andreoli Italian Grocer","2016-09-02 00:00:00"
AZ,Glendale,,"6334 W Bell Rd","Sushi Catcher","2016-08-31 00:00:00"
AZ,Scottsdale,,"3213 N Hayden Rd","The Local Donut","2016-08-30 00:00:00"
AZ,Scottsdale,,"7366 E Shea Blvd, Ste 106","The Baked Bear","2016-08-30 00:00:00"
AZ,Phoenix,,"5050 N 7th St","AZ Pops","2016-08-30 00:00:00"
AZ,Phoenix,,"3957 E Camelback Rd",Sushiholic,"2016-08-30 00:00:00"
AZ,Phoenix,,"100 E Camelback Rd, Ste 152","Lou Malnati's Pizzeria","2016-08-30 00:00:00"
AZ,Mesa,,"1832 W Broadway Rd, Ste 100",Koreatown,"2016-08-30 00:00:00"
AZ,Scottsdale,,"7135 E Camelback",Creamistry,"2016-08-02 00:00:00"
AZ,Glendale,,"5820 W Peoria Ave, Ste 106","LA Fitness","2016-08-01 00:00:00"
AZ,Glendale,,"7510 W Aspera Blvd, Ste 107","Fired Pie","2016-07-26 00:00:00"
AZ,Peoria,,"6710 W Thunderbird Rd","Tacos Tijuana","2016-07-04 00:00:00"
AZ,Scottsdale,,"2805 N Scottsdale Rd, Ste 103","Ahipoki Bowl","2016-07-04 00:00:00"
AZ,Tempe,,"1245 W Elliot Rd, Ste 103","Donut Parlor","2016-07-04 00:00:00"
AZ,Glendale,,"5932 W Bell Rd, Ste D112","Island Teriyaki","2015-10-12 00:00:00"
AZ,Peoria,,"8275 W Lake Pleasant Pkwy, Ste 107",Donutsville,"2015-10-12 00:00:00"
AZ,Peoria,,"8386 W Thunderbird Rd, Ste 103","Muscle Maker Grill","2015-10-12 00:00:00"
AZ,Phoenix,,"3331 W Peoria Ave","Planet Fitness - Phoenix - Metro Center","2015-04-24 00:00:00"
AZ,Mesa,,"1524 E University","Backyard Taco","2015-04-24 00:00:00"
AZ,Glendale,,"9390 W Hanna Ln, Ste B-101","Fractured Prune Doughnuts","2015-04-24 00:00:00"
AZ,Mesa,,"5251 E Brown Rd, Ste 104","Gelato Dolce Vita","2015-04-24 00:00:00"
AZ,Tempe,,"740 S Mill Ave, Ste 185","Hot N Juicy Crawfish","2014-04-27 00:00:00"
AZ,Phoenix,,"114 W Adams St, Ste C101","Harumi Sushi","2014-03-20 00:00:00"
AZ,Scottsdale,,"7158 E 5th Ave","Original ChopShop","2014-03-19 00:00:00"
AZ,Glendale,,"4920 W Thunderbird Rd, Ste 117","Ohya Sushi, Korean Kitchen & Bar","2014-03-19 00:00:00"
AZ,Phoenix,,"2022 N 7th St","Green New American Vegetarian","2014-03-18 00:00:00"
AZ,Phoenix,,"4542 N 19th Ave","Vape Shop AZ","2014-02-24 00:00:00"
AZ,Peoria,,"16134 North 83rd Avenue","The Cheesecake Factory","2014-02-16 00:00:00"
AZ,Glendale,,"5555 W Thunderbird Rd","Banner Thunderbird Medical Center","2014-02-11 00:00:00"
AZ,Tempe,,"933 E University Dr, Ste 106","The Flame Broiler","2014-01-15 00:00:00"
AZ,Peoria,,"10160 N 67th Ave","LA Fitness","2013-12-23 00:00:00"
AZ,Glendale,,"4312 W Cactus Rd, Ste 10","Shawarma King","2013-12-22 00:00:00"
AZ,Phoenix,,"2014 N 7th St",Nami,"2013-12-17 00:00:00"
AZ,Glendale,,"4920 W Thunderbird Rd, Ste 117","Ohya Sushi, Korean Kitchen & Bar","2013-11-27 00:00:00"
AZ,Glendale,,"18295 North 83Rd Ave","LA Fitness","2013-10-22 00:00:00"
AZ,Glendale,,"18295 North 83Rd Ave","LA Fitness","2013-09-23 00:00:00"
AZ,Phoenix,,"Hwy 51","51 Freeway","2013-09-22 00:00:00"
AZ,Glendale,,"18295 North 83Rd Ave","LA Fitness","2013-09-17 00:00:00"
AZ,Glendale,,"17550 N 79th Ave","Costco Wholesale","2013-09-15 00:00:00"
AZ,Glendale,,"4410 W Union Hills Dr","Asiana Market","2013-09-14 00:00:00"
AZ,Peoria,,"7515 W Bell Rd",McDonald's,"2013-09-13 00:00:00"
AZ,Glendale,,"18295 North 83Rd Ave","LA Fitness","2013-09-13 00:00:00"
AZ,Glendale,,"5536 W. Bell Road","LA Fitness","2013-09-12 00:00:00"
AZ,Phoenix,,"Hwy 51","51 Freeway","2013-09-12 00:00:00"
AZ,Glendale,,"18295 North 83Rd Ave","LA Fitness","2013-09-11 00:00:00"
AZ,Glendale,,"18295 North 83Rd Ave","LA Fitness","2013-09-10 00:00:00"
AZ,Peoria,,"10160 N 67th Ave","LA Fitness","2013-09-09 00:00:00"
AZ,Glendale,,"17550 N 79th Ave","Costco Wholesale","2013-09-08 00:00:00"
AZ,Peoria,,"8425 W Thunderbird Rd","Burger King","2013-09-08 00:00:00"
AZ,Peoria,,"7575 W Cactus Rd","Lee Lee International Supermarket","2013-09-04 00:00:00"
AZ,Glendale,,"7720 W Bell Rd","Trader Joe's","2013-09-03 00:00:00"
AZ,Glendale,,"17550 N 79th Ave","Costco Wholesale","2013-09-03 00:00:00"
AZ,Phoenix,,"3446 West Camelback Rd","Great Wall Cuisine","2013-09-01 00:00:00"
AZ,Glendale,,"4410 W Union Hills Dr","Asiana Market","2013-09-01 00:00:00"
AZ,Glendale,,"18589 N 59th Ave, Ste 111","Oscar's Pier 83","2013-09-01 00:00:00"
AZ,Tempe,,"5000 S Arizona Mills Cir","Saks Fifth Avenue Outlet-Off 5th","2013-08-31 00:00:00"
AZ,Phoenix,,"1312 E Indian School Rd","Reathrey Sekong","2013-08-31 00:00:00"
AZ,Chandler,,"5040 W Wild Horse Pass","Star Ginger","2013-08-31 00:00:00"
AZ,Phoenix,,"2131 E Camelback Rd, Ste 100","Dunkin' Donuts","2013-08-31 00:00:00"
AZ,Peoria,,"8285 W Bell Rd","In-N-Out Burger","2013-08-30 00:00:00"
AZ,Phoenix,,"3049 W Agua Fria Fwy","Fired Pie","2013-08-28 00:00:00"
AZ,Glendale,,"17550 N 79th Ave","Costco Wholesale","2013-08-27 00:00:00"
AZ,Peoria,,"8285 W Bell Rd","In-N-Out Burger","2013-08-27 00:00:00"
AZ,Peoria,,"7455 W Cactus Rd","Fry's Food Stores","2013-08-18 00:00:00"
AZ,Peoria,,"8387 Thunderbird Rd","Dutch Bros Coffee","2013-08-18 00:00:00"
