state,city,neighborhood,address,name,date
AZ,Scottsdale,,"7014 E Camelback Rd","Nespresso Boutique","2017-07-25 00:00:00"
AZ,Goodyear,,"625 S Cotton Ln, Ste 40","Pottery Barn Warehouse Sale","2017-07-24 00:00:00"
AZ,Goodyear,,"625 S Cotton Ln, Ste 40","Pottery Barn Warehouse Sale","2017-07-24 00:00:00"
AZ,Goodyear,,"625 S Cotton Ln, Ste 40","Pottery Barn Warehouse Sale","2017-07-24 00:00:00"
AZ,"Fountain Hills",,"11445 N Saguaro Blvd","Fountain Hills Theater","2017-07-09 00:00:00"
AZ,Scottsdale,,"14747 Northsight Blvd, Ste 116","China Jade","2017-07-09 00:00:00"
AZ,"Fountain Hills",,"11445 N Saguaro Blvd","Fountain Hills Theater","2017-07-09 00:00:00"
AZ,Scottsdale,,"7135 E Camelback Rd, Ste 195","Olive & Ivy","2017-04-29 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd","Nespresso Boutique","2017-04-22 00:00:00"
AZ,Scottsdale,,"14692 N Frank Lloyd Wright Blvd, Ste 147","La Cucina Bistro & Wine Bar","2017-03-25 00:00:00"
AZ,Chandler,,"3401 W Frye Rd, Ste 13","Which Wich","2017-02-11 00:00:00"
AZ,Tempe,,"1015 S Rural Rd","The Halal Guys","2017-02-06 00:00:00"
AZ,Scottsdale,,"13901 North 73rd St","Times Square Neighborhood Italian Restaurant","2017-01-26 00:00:00"
AZ,Chandler,,"2050 N Alma School Rd","Taqueria Mi Casita","2017-01-25 00:00:00"
AZ,Chandler,,"2050 N Alma School Rd","Taqueria Mi Casita","2017-01-24 00:00:00"
AZ,Chandler,,"2100 W Chandler Blvd, Ste 38","Rocket Burger & Subs","2017-01-24 00:00:00"
AZ,Gilbert,,"1520 W Guadalupe Rd, Ste 101","TOGO'S Sandwiches","2017-01-23 00:00:00"
AZ,Scottsdale,,"17007 N Scottsdale Rd","Carrabba's Italian Grill","2017-01-22 00:00:00"
