state,city,neighborhood,address,name,date
ON,Whitby,,"939 Dundas Street W",Butchies,"2017-07-25 00:00:00"
ON,Scarborough,Scarborough,"3300 Midland Avenue, Unit 37","Latea Era","2017-07-22 00:00:00"
ON,Toronto,"Upper Beach","924 Kingston Road","The Beech Tree","2017-07-20 00:00:00"
ON,Toronto,,"6355 Yonge Street",Starbucks,"2017-07-18 00:00:00"
ON,Toronto,,"6355 Yonge Street",Starbucks,"2017-07-18 00:00:00"
ON,Toronto,"Upper Beach","242 Coxwell Avenue","Godspeed Brewery","2017-07-17 00:00:00"
ON,Toronto,Scarborough,"3250 Midland Avenue","Noodle Bar","2017-07-16 00:00:00"
ON,Markham,"Brown's Corners","8241 Woodbine Avenue, Unit 6 & 7",Initium,"2017-07-16 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"951 Rue Rachel Est","Pit Caribou","2017-07-16 00:00:00"
ON,Toronto,Scarborough,"4045 Sheppard Avenue, Scarborough","Big Bite Burrito","2017-07-16 00:00:00"
ON,Toronto,,"284 Rushton Road","Kurtis Coffee","2017-07-16 00:00:00"
ON,Toronto,Riverdale,"722 Queen St E","KABOOM Chicken","2017-07-16 00:00:00"
ON,Toronto,Scarborough,"2260 Markham Road",McDonalds,"2017-07-16 00:00:00"
ON,Markham,,"505 Highway 7, Unit 50","Game Of Cheese","2017-07-16 00:00:00"
ON,Toronto,,"3401 Dufferin Street, Unit 20","Jamie's Italian","2017-07-16 00:00:00"
ON,Toronto,,"176 Wicksteed Avenue","Adamson Barbecue","2017-07-15 00:00:00"
ON,Toronto,"Dufferin Grove","1214 Dundas Street W",Ufficio,"2017-07-10 00:00:00"
ON,Scarborough,Scarborough,"1920 Ellesmere Road","Terry's Restaurant & Bar","2017-07-08 00:00:00"
ON,Markham,,"505 Highway 7 E, Unit 15, Commerce Gate","Matcha Tea & Dessert","2017-07-07 00:00:00"
ON,Markham,Unionville,"169 Enterprise Boulevard","Lucullus Bakers & Roasters","2017-07-06 00:00:00"
QC,Montréal,Ville-Marie,"300 Rue Ontario Est","La Distillerie No.1","2017-07-06 00:00:00"
ON,Markham,Unionville,"179 Enterprise Boulevard, Unit M-109","Good Catch Boil House","2017-07-06 00:00:00"
