state,city,neighborhood,address,name,date
AZ,Tempe,,"107 E Baseline Rd, Ste A-4","Solo Café Gourmet Coffee & Tea House","2017-07-24 00:00:00"
AZ,Tempe,,"927 E University Dr",BurgerFi,"2017-07-23 00:00:00"
AZ,Chandler,,"3111 W Chandler Blvd","Boba Tea Company","2017-07-23 00:00:00"
AZ,Tempe,,"927 E University Dr",BurgerFi,"2017-07-22 00:00:00"
AZ,Chandler,,"3111 W Chandler Blvd, Ste 1042","Attic Salt","2017-07-22 00:00:00"
AZ,Mesa,,"1911 W Main St, Ste 3D","Ice Lab","2017-07-21 00:00:00"
AZ,Mesa,,"1911 W Main St, Ste 3D","Ice Lab","2017-07-20 00:00:00"
AZ,Phoenix,,"3243 N 3rd St",Ocotillo,"2017-07-20 00:00:00"
AZ,Mesa,,"837 N Dobson Rd","Bed Bath & Beyond","2017-07-19 00:00:00"
AZ,Mesa,,"1038 W Southern Ave, Ste 1","Green Corner Restaurant","2017-07-18 00:00:00"
AZ,Tempe,,"3255 S Rural Rd","Fry's Food Stores","2017-07-17 00:00:00"
AZ,Mesa,,"1995 W Main St, Ste 101","Spice Spirit Chinese Cuisine and Bar","2017-07-17 00:00:00"
AZ,Scottsdale,,"4801 E Cactus Rd","Salty Sow","2017-07-16 00:00:00"
AZ,Tempe,,"1300 E 8th St, Ste 100","Infusion Coffee & Tea","2017-07-16 00:00:00"
AZ,Phoenix,,"4837 E Indian School Rd","Phoenix Knife House","2017-07-16 00:00:00"
AZ,Tempe,,"9920 S Rural Rd, Ste 105","Babbo Italian Eatery","2017-07-16 00:00:00"
AZ,Tempe,,"940 East Baseline Rd","Big Lots - Tempe: Baseline","2017-07-15 00:00:00"
AZ,Phoenix,,"4900 E Indian School Rd","German Sausage Company","2017-07-15 00:00:00"
AZ,Mesa,,"1038 W Southern Ave, Ste 1","Green Corner Restaurant","2017-07-13 00:00:00"
AZ,Mesa,,"111 S Dobson Rd","Nan Zhou - Hand Drawn Noodle House","2017-07-13 00:00:00"
AZ,Phoenix,,"3400 E Sky Harbor Blvd","Modern Burger","2017-07-05 00:00:00"
AZ,Tempe,,"805 W Baseline Rd, Ste 2","Pepperwood Water & Ice Cream","2017-07-02 00:00:00"
AZ,Tempe,,"725 W Baseline Rd","Food City","2017-07-02 00:00:00"
AZ,Phoenix,,"4613 E Thomas Rd","A T Oasis Coffee & Tea Shop","2017-07-01 00:00:00"
AZ,Scottsdale,,"10701 N Scottsdale","Poke Bar","2017-06-30 00:00:00"
AZ,Tempe,,"805 W Baseline Rd, Ste 2","Pepperwood Water & Ice Cream","2017-06-28 00:00:00"
AZ,Scottsdale,,"10701 N Scottsdale","Poke Bar","2017-06-27 00:00:00"
AZ,Tempe,,"1734 E Southern Ave","Outback Steakhouse","2017-06-26 00:00:00"
AZ,Chandler,,"2100 W Chandler Blvd, Ste 38","Rocket Burger & Subs","2017-06-24 00:00:00"
AZ,Gilbert,,"2151 E Baseline Rd","Natural Grocers","2017-06-23 00:00:00"
AZ,Mesa,,"1948 W Broadway Rd, Ste 101","LA Crab Shack","2017-06-17 00:00:00"
AZ,Tempe,,"9920 S Rural Rd, Ste 111","Poké Wave","2017-06-15 00:00:00"
AZ,Scottsdale,,"4801 E Cactus Rd","Salty Sow","2017-06-13 00:00:00"
AZ,Phoenix,,"3131 S Central Ave","Nina Mason Pulliam Rio Salado Audubon Center","2017-06-12 00:00:00"
