state,city,neighborhood,address,name,date
AZ,Scottsdale,,"7158 E 5th Ave","Original ChopShop","2017-07-24 00:00:00"
AZ,Scottsdale,,"7366 E Shea Blvd, Ste 102","il Capo Pizzeria","2017-07-24 00:00:00"
AZ,Scottsdale,,"4420 N Saddlebag Trl, Ste 100",Bevvy,"2017-07-19 00:00:00"
AZ,Scottsdale,,"7366 E Shea Blvd, Ste 112","The Grande Stand","2017-07-19 00:00:00"
AZ,Glendale,,"6751 N Sunset Blvd, Ste E-110","Whiskey Rose Bar & Grill","2017-07-19 00:00:00"
AZ,Scottsdale,,"7105 E 1st Ave",Fourtillfour,"2017-07-15 00:00:00"
AZ,Scottsdale,,"4227 North Brown Ave","Regroup Coffee + Bicycles","2017-07-14 00:00:00"
AZ,Glendale,,"20210 N 59th Ave, Ste 102","Stevie's New York Style Pizza","2017-07-11 00:00:00"
AZ,Phoenix,,"3222 E Indian School Rd","Frasher's Smokehouse","2017-07-11 00:00:00"
AZ,Glendale,,"20585 N 59th Ave","Dillon's KC BBQ","2017-07-11 00:00:00"
AZ,Glendale,,"20280 N 59th Ave, Ste 119","The Coffee Bean & Tea Leaf","2017-07-11 00:00:00"
AZ,Glendale,,"17037 N 59th Ave","Popo's Fiesta Del Sol Mexican Food","2017-07-11 00:00:00"
AZ,Chandler,,"58 S San Marcos Pl","Murphy's Law","2017-07-03 00:00:00"
AZ,Scottsdale,,"8120 N Hayden Rd","Sweet Provisions","2017-07-03 00:00:00"
AZ,Phoenix,,"34710 N North Valley Pkwy",Chili's,"2017-07-03 00:00:00"
AZ,Scottsdale,,"7217 E 4th Ave","Even Stevens Sandwiches","2017-07-03 00:00:00"
AZ,Phoenix,,"3049 W Agua Fria Fwy","George and Son's","2017-07-03 00:00:00"
AZ,"Cave Creek",,"6895 E Cave Creek Rd","Harold's Corral","2017-07-03 00:00:00"
AZ,Scottsdale,,"10240 N 90th St, Ste 105","Naked BBQ","2017-07-03 00:00:00"
AZ,Phoenix,,"3033 W Agua Fria Fwy","AMC Deer Valley 30","2017-07-03 00:00:00"
AZ,Gilbert,,"3175 S Market St","Costa Vida Fresh Mexican Grill","2017-07-02 00:00:00"
AZ,Gilbert,,"3131 S Market St, Ste 111","Menchie's Frozen Yogurt","2017-07-02 00:00:00"
AZ,Gilbert,,"2910 S San Tan Village Pkwy","Kneaders Bakery & Cafe","2017-07-02 00:00:00"
AZ,Gilbert,,"2743 S Market St, Ste 101","NYPD Pizza","2017-07-02 00:00:00"
AZ,Gilbert,,"2743 S Market St, Ste 104","Waffle Love - Gilbert","2017-07-02 00:00:00"
AZ,Chandler,,"1509 N Arizona Ave","American Way Market","2017-07-02 00:00:00"
AZ,Scottsdale,,"7217 E 1st St","Bootleggers Modern American Smokehouse","2017-07-02 00:00:00"
AZ,Gilbert,,"2887 S Market St",Costco,"2017-07-02 00:00:00"
AZ,Gilbert,,"3131 S Market St, Ste 101","Egg N' Joe","2017-07-02 00:00:00"
AZ,Phoenix,,"1701 E Thomas Rd, Ste 201","Suzanne Abraham, DPM","2017-07-02 00:00:00"
