state,city,neighborhood,address,name,date
NV,"Las Vegas",Centennial,"7170 N Durango Dr, Ste 120","FedEx Office Print & Ship Center","2017-07-20 00:00:00"
NV,"Las Vegas","South Summerlin","2070 Park Center Dr","Regal Cinemas Downtown Summerlin 5","2017-07-02 00:00:00"
NV,"Las Vegas",,"5739 E Russell Rd","ARCO ampm","2017-07-02 00:00:00"
NV,"Las Vegas",,"5739 E Russell Rd","ARCO ampm","2017-07-01 00:00:00"
NV,"North Las Vegas",,"2815 E Craig Rd","Cracker Barrel Old Country Store","2017-06-30 00:00:00"
NV,"Las Vegas","Spring Valley","9460 W Flamingo Rd, Ste 100","Sweet Tomatoes","2017-06-24 00:00:00"
NV,"Las Vegas",Southeast,"5757 Wayne Newton Blvd","Belgian Beer Cafe","2017-06-23 00:00:00"
NV,"Las Vegas","Spring Valley","9484 W Flamingo Rd, Ste 165","Rolled Ice Cream","2017-06-08 00:00:00"
NV,"Las Vegas",Southwest,"7150 S Durango Dr, Ste 160","Freedom Firearms","2017-06-07 00:00:00"
NV,Henderson,,"1570 W Horizon Ridge, Ste 160","Fat Boy","2017-06-07 00:00:00"
NV,"Las Vegas",Southwest,"7150 S Durango Dr","Putter's Bar & Grill","2017-06-01 00:00:00"
NV,"Las Vegas",,"7481 West Lake Mead","Teriyaki Madness","2017-02-28 00:00:00"
NV,"Las Vegas",Centennial,"7090 N Durango Dr, Ste 140","Babystacks Cafe","2017-02-27 00:00:00"
NV,"Las Vegas",,"3101 N Tenaya Way","PT's Brewing","2017-02-27 00:00:00"
NV,"Las Vegas",Northwest,"3370 Novat St","Timbers - Novat","2017-02-23 00:00:00"
NV,"Las Vegas",Centennial,"7290 W Azure Dr, Ste 110","Southwest Bikes","2017-02-22 00:00:00"
NV,"Las Vegas",Centennial,"7240 W Azure Dr, Ste 155","Capriotti's Sandwich Shop","2017-02-22 00:00:00"
NV,"Las Vegas",Southwest,,"Law Dawg Trail Tours","2017-02-22 00:00:00"
NV,"Las Vegas",Southwest,,"Law Dawg Trail Tours","2017-02-21 00:00:00"
NV,"Las Vegas",Southeast,"5775 S Eastern, Ste 103","Alfredo's Jewelry","2017-02-20 00:00:00"
NV,"Las Vegas",Centennial,"7295 W Azure Dr","Discount Tire Store - Las Vegas, NV","2017-02-18 00:00:00"
NV,"Las Vegas",Northwest,"7660 W Cheyenne Ave","The Cracked Egg","2017-02-17 00:00:00"
NV,"Las Vegas",Centennial,"8440 Farm Rd",Starbucks,"2017-02-17 00:00:00"
NV,"Las Vegas",Centennial,"7240 W Azure Dr, Ste 155","Capriotti's Sandwich Shop","2017-02-15 00:00:00"
NV,"Las Vegas","Spring Valley","8650 W Tropicana Ave, Ste B-107","Las Vegas Veterinary Specialty Center","2017-02-01 00:00:00"
NV,"Las Vegas",Downtown,"1616 S Las Vegas Blvd, Ste 120","Viva Las Arepas","2017-02-01 00:00:00"
NV,"Las Vegas",,"5375 Kyle Canyon Rd","Mt Charleston Lodge Restaurant","2017-02-01 00:00:00"
NV,"Las Vegas",Centennial,"6250 Rio Vista St","Bob Taylor's Ranch House","2017-01-27 00:00:00"
NV,"Las Vegas",Eastside,"Hard Rock Hotel & Casino, 4455 Paradise Rd","The Joint at Hard Rock","2017-01-26 00:00:00"
NV,"Las Vegas",Westside,"333 S Valley View Blvd","Brews & Blues Festival","2017-01-26 00:00:00"
NV,"Las Vegas","Spring Valley","5165 S Fort Apache Rd, Ste 150","Makai Pacific Island Grill","2017-01-26 00:00:00"
NV,"Las Vegas",,"7000 Las Vegas Blvd N","Glittering Lights","2017-01-25 00:00:00"
NV,"Las Vegas","Spring Valley","5875 S Rainbow Blvd, Ste102","Float Centers of Nevada","2017-01-22 00:00:00"
NV,"Las Vegas",,"7530 W Lake Mead Blvd","Sprouts Farmers Market","2017-01-18 00:00:00"
NV,"Las Vegas",Centennial,"5717 Sky Pointe Dr","The Lodge Tenaya","2017-01-18 00:00:00"
NV,"Las Vegas",Centennial,"5765 Centennial Center Blvd, Ste 160","Nothing Bundt Cakes","2017-01-13 00:00:00"
NV,"Las Vegas","Spring Valley","5745 S Durango Dr","The Lodge Coffee House & Tavern","2017-01-13 00:00:00"
NV,"Las Vegas",Centennial,"7501 N Cimarron Rd, Ste 109",Algobertos,"2016-11-13 00:00:00"
NV,"Las Vegas",Centennial,"7240 W Azure Dr, Ste 145","Hunt & Gather Cafe","2016-11-12 00:00:00"
NV,"Las Vegas",Summerlin,"10810 W Charleston Blvd","Islands Restaurant","2016-11-10 00:00:00"
NV,"Las Vegas",Centennial,"6480 Sky Pointe Dr",Target,"2016-11-08 00:00:00"
NV,"Las Vegas",Centennial,"7120 North Durango Dr","LULU Hawaiian BBQ 2","2016-11-05 00:00:00"
NV,Henderson,,"1716 W Horizon Ridge Pkwy, Ste 100","Kitchen Table","2016-11-04 00:00:00"
NV,"Las Vegas",Centennial,"7120 North Durango Dr","LULU Hawaiian BBQ 2","2016-11-04 00:00:00"
NV,Henderson,Southeast,"11624 Bermuda Rd","The Bar At Bermuda & St. Rose","2016-11-02 00:00:00"
NV,"Las Vegas",Centennial,"7950 W Tropical Pkwy","Payless Shoes","2016-10-30 00:00:00"
NV,"Las Vegas",Centennial,"8426 Farm Rd, Ste 110","Papa Murphy's","2016-10-23 00:00:00"
NV,Henderson,,"1300 W Sunset Rd, Ste 2940","World Of Beer","2016-10-22 00:00:00"
NV,Henderson,,"1300 W Sunset Rd, Ste 2940","World Of Beer","2016-10-21 00:00:00"
NV,"Las Vegas",Centennial,"7155 Grand Montecito Pkwy","Robertos Taco Shop","2016-10-20 00:00:00"
NV,Henderson,,"693 N Stephanie St","Rita's Italian Ice","2016-10-13 00:00:00"
NV,"Las Vegas",Northwest,"7300 W Cheyenne Ave","Terrible Herbst","2016-10-13 00:00:00"
NV,"Las Vegas",Centennial,"5700 Sky Pointe Dr","Jefe's Taco Shop","2016-10-12 00:00:00"
NV,"Las Vegas",Northwest,"10450 W Cheyenne Ave, Ste120","China A Go Go","2016-10-10 00:00:00"
NV,"Las Vegas",Northwest,"10490 W Cheyenne Ave","The Edge of Town","2016-10-10 00:00:00"
NV,"Las Vegas",Summerlin,"10290 W Charleston Blvd",McDonald's,"2016-10-10 00:00:00"
NV,"Las Vegas",Southeast,"901-999 E Landing Strip Ave","Village Pub & Grill","2016-10-10 00:00:00"
NV,"Las Vegas",Southwest,"7775 S Rainbow Blvd, Ste 105","Soyo Korean Barstaurant","2016-10-08 00:00:00"
NV,"Las Vegas",Centennial,"5655 Centennial Center Blvd, Ste 120","Sweet Poké","2016-09-29 00:00:00"
NV,"Las Vegas",Southeast,"3130 E Sunset Rd, Ste A","Sunrise Coffee","2016-09-29 00:00:00"
