state,city,neighborhood,address,name,date
AZ,Phoenix,,"25 N 40th St","Arizona Animal Welfare League & SPCA","2017-07-23 00:00:00"
AZ,Scottsdale,,"13802 N Scottsdale Rd, Unit 110","Natural Grocers","2017-07-01 00:00:00"
AZ,Mesa,,"1139 S Dobson Rd, Ste 101","Boba Tree Lin Tea House","2017-06-29 00:00:00"
AZ,Gilbert,,"384 N Gilbert Rd, Ste 104","Even Stevens Sandwiches","2017-06-15 00:00:00"
AZ,Scottsdale,,"7217 E 4th Ave","Even Stevens Sandwiches","2017-06-09 00:00:00"
AZ,Tempe,,"1015 S Rural Rd","Even Stevens Sandwiches","2017-06-08 00:00:00"
AZ,Phoenix,,"100 E McDowell Rd","Phoenix Theatre","2017-05-20 00:00:00"
AZ,"Paradise Valley",,"6204 N Scottsdale Rd, Ste 106","Tottie's Asian Fusion 2","2017-05-09 00:00:00"
AZ,Scottsdale,,"3370 N Hayden Rd","The Blind Pig","2017-05-09 00:00:00"
AZ,Chandler,,"2025 N Dobson Rd","Pho Dam","2017-04-25 00:00:00"
AZ,Scottsdale,,"8608 E Shea Blvd","Scottsdale Beer Company","2017-04-24 00:00:00"
AZ,Scottsdale,,"15279 N Scottsdale Rd",Express,"2017-04-24 00:00:00"
AZ,Scottsdale,,"7119 E Shea Blvd, Ste 107","Top Nails","2017-04-22 00:00:00"
AZ,Chandler,,"135 W Boston St","Ice Cream Sammies","2017-04-16 00:00:00"
AZ,Chandler,,"1964 N Alma School Rd, Ste 1","Bella Gusto Urban Pizzeria","2017-04-14 00:00:00"
AZ,Scottsdale,,"7012 E Greenway Pkwy, Ste 160","Desert Mountain Fine Art","2017-03-31 00:00:00"
AZ,Phoenix,,"7111 E Mayo Blvd","Whole Foods Market","2017-03-30 00:00:00"
AZ,Scottsdale,,"13802 N Scottsdale Rd, Unit 110","Natural Grocers","2017-03-30 00:00:00"
AZ,Phoenix,,"924 E Roosevelt St","Welcome Diner","2017-03-23 00:00:00"
AZ,Phoenix,,"1125 N 3rd Ave","Japanese Friendship Garden - Ro Ho En","2017-03-17 00:00:00"
AZ,Tempe,,"1300 E 8th St, Ste 100","Infusion Coffee & Tea","2017-03-10 00:00:00"
AZ,Scottsdale,,"7301 E Indian Plz",Dakota,"2017-03-03 00:00:00"
AZ,Scottsdale,,,"Aioli Gourmet Burgers and Catering Food Truck","2017-02-22 00:00:00"
AZ,Phoenix,,"4410 N 40th St","La Grande Orange Grocery","2017-02-18 00:00:00"
AZ,Scottsdale,,"7620 E Indian School Rd","Merci French Cafe & Patisserie","2017-02-16 00:00:00"
AZ,Phoenix,,"1100 N Central Ave","MATCH Restaurant & Cocktails","2017-02-10 00:00:00"
AZ,Scottsdale,,"8320 N Hayden Rd, Ste E107","Altitude Coffee Lab","2017-02-05 00:00:00"
AZ,Scottsdale,,"14832 N Frank Lloyd Wright Blvd","Hash Kitchen","2017-01-30 00:00:00"
AZ,Scottsdale,,"4227 North Brown Ave","Regroup Coffee + Bicycles","2017-01-16 00:00:00"
AZ,Phoenix,,"10810 N Tatum Blvd","Whole Foods Market","2017-01-13 00:00:00"
AZ,Gilbert,,"1385 E Warner Rd, Ste 103","Udder Delights","2017-01-09 00:00:00"
AZ,Phoenix,,"1437 N 1st St","Giant Coffee","2016-12-02 00:00:00"
AZ,Mesa,,"1244 S Val Vista Dr","Whole Grain Natural Bread","2016-11-30 00:00:00"
NC,Pineville,,"716 Main St","Mama's Coffee House","2016-11-29 00:00:00"
NC,Pineville,,"11025 Carolina Place Pkwy, Ste D22","Barnes & Noble","2016-11-27 00:00:00"
AZ,Scottsdale,,"8980 E Shea Blvd","Mimi's Cafe","2016-11-26 00:00:00"
AZ,Scottsdale,,"4402 N Miller Rd","Sprouts Farmers Market","2016-10-20 00:00:00"
AZ,Chandler,,"595 S Galleria Way",Costco,"2016-10-13 00:00:00"
AZ,Chandler,,"2551 W Queen Creek Rd, Ste 4","Sauce Pizza & Wine","2016-10-13 00:00:00"
AZ,Scottsdale,,"4225 N Marshall Way, Ste 102","Chocolade van Brugge","2016-10-13 00:00:00"
AZ,Scottsdale,,"13802 N Scottsdale Rd, Unit 110","Natural Grocers","2016-10-08 00:00:00"
AZ,Scottsdale,,"13802 N Scottsdale Rd, Unit 110","Natural Grocers","2016-10-08 00:00:00"
AZ,Chandler,,"2955 W Ray Rd","Whole Foods Market","2016-10-06 00:00:00"
AZ,Scottsdale,,"11055 N Scottsdale Rd","Hopdoddy Burger Bar","2016-10-05 00:00:00"
AZ,Mesa,,"1832 W Broadway Rd, Ste 100",Koreatown,"2016-09-30 00:00:00"
AZ,Tempe,,"225 W University Dr, Ste 101","Cartel Coffee Lab","2016-09-30 00:00:00"
AZ,Scottsdale,,"7701 E Frank Lloyd Wright Blvd","Right Toyota","2016-09-21 00:00:00"
AZ,Gilbert,,"366 N Gilbert Rd","Nico Heirloom Kitchen","2016-09-02 00:00:00"
AZ,Chandler,,"5055 W Ray Rd, Ste B8","Swaddee Thai Cuisine","2016-08-28 00:00:00"
AZ,Phoenix,,"Sky Harbor International Airport","Peets Coffee And Tea","2016-08-18 00:00:00"
AZ,Chandler,,"2100 S Gilbert Rd, Ste 22, Palette Collective","Provision Coffee Bar","2016-08-12 00:00:00"
AZ,Chandler,,"2100 S Gilbert Rd, Ste 22, Palette Collective","Provision Coffee Bar","2016-08-10 00:00:00"
AZ,Scottsdale,,"15507 N Scottsdale Rd, Ste 100","Corner Bakery Cafe","2016-07-14 00:00:00"
AZ,Chandler,,"10 N San Marcos Pl","Crust Chandler-Simply Italian","2016-07-02 00:00:00"
AZ,Phoenix,,"1625 N Central Ave","Phoenix Art Museum","2016-07-01 00:00:00"
AZ,Chandler,,"5055 W Ray Rd, Ste 15","Pink Polish","2016-06-30 00:00:00"
AZ,Scottsdale,,"7134 E Stetson Dr","Herb Box Catering Company and Epicurean Marketplace","2016-06-25 00:00:00"
AZ,Scottsdale,,"7134 E Stetson Dr","Herb Box Catering Company and Epicurean Marketplace","2016-06-23 00:00:00"
AZ,Chandler,,"3161 W Chandler Blvd",Starbucks,"2016-06-23 00:00:00"
AZ,Scottsdale,,"7901 E Thomas Rd, Ste 108","Tottie's Asian Fusion","2016-06-23 00:00:00"
