state,city,neighborhood,address,name,date
NV,"Las Vegas","South Summerlin","11011 W Charleston Blvd","Libre Mexican Cantina","2016-09-30 00:00:00"
NV,"Las Vegas","The Strip","3600 S Las Vegas Blvd","Harvest by Roy Ellamar","2016-03-25 00:00:00"
NV,"Las Vegas",Southwest,"8595 S Decatur Blvd","Lee's Discount Liquor","2015-04-29 00:00:00"
NV,"Las Vegas",,"5031 Wagon Trail Ave, Ste 107","Bikram Yoga Las Vegas","2015-04-08 00:00:00"
NV,"Las Vegas",Downtown,"500 S Main St","MTO Café","2015-04-08 00:00:00"
NV,"Las Vegas",Westside,"1225 S Fort Apache Rd, Ste 100","Via Brasil Steakhouse on South Fort Apache and Charleston","2015-03-22 00:00:00"
NV,"Las Vegas",Chinatown,"5030 Spring Mountain Rd","Kung Fu Tea","2015-03-22 00:00:00"
NV,"Las Vegas",Southeast,"1310 E Silverado Ranch Blvd, Ste 105","Kaiseki Yuzu","2015-03-12 00:00:00"
NV,Henderson,Southeast,"9470 S Eastern Ave","Taco Y Taco","2015-01-20 00:00:00"
AZ,Phoenix,,"5444 E Washington St, Ste A","Draw 10 Bar & Grill","2015-01-20 00:00:00"
NV,"Las Vegas",,"3185 S Highland Dr","Rollin Smoke Barbeque","2015-01-06 00:00:00"
NV,"Las Vegas",Southeast,"6587 Las Vegas Blvd S, Ste 171",GameWorks,"2015-01-06 00:00:00"
NV,"Las Vegas",Chinatown,"3959 W Spring Mountain Rd","Fat Dumpling","2015-01-06 00:00:00"
NV,"Las Vegas",Southeast,"1310 E Silverado Ranch Blvd, Ste 105","Kaiseki Yuzu","2014-12-08 00:00:00"
NV,"Las Vegas","South Summerlin","11011 W Charleston Blvd","Hearthstone Kitchen & Cellar","2014-11-23 00:00:00"
NV,"Las Vegas",Westside,"4860 W Desert Inn Rd, Ste 9","Pho Lan","2014-11-23 00:00:00"
NV,"Las Vegas",Eastside,"3000 Paradise Rd","Lee's Annual Wine Tasting Expo","2014-11-17 00:00:00"
NV,"Las Vegas",Eastside,"3000 Paradise Rd","Westgate Las Vegas Resort & Casino","2014-11-17 00:00:00"
NV,"Las Vegas",Westside,"7777 W Sahara Ave","Four Sevens Sports Bar & Restaurant","2014-11-02 00:00:00"
NV,"Las Vegas",,"2801 N Tenaya Way, Ste A","Aces & Ales","2014-11-02 00:00:00"
NV,Henderson,,"570 N Stephanie St","The Burlington Coat Factory","2014-10-31 00:00:00"
NV,"Las Vegas",Downtown,"900 S Las Vegas Blvd, Ste 120","The Goodwich","2014-10-31 00:00:00"
NV,"Las Vegas",Southeast,"440 E Silverado Ranch Blvd, Ste C","Wells Fargo Bank","2014-10-31 00:00:00"
NV,"Las Vegas",Downtown,"1218 S Main St","Velveteen Rabbit","2014-10-31 00:00:00"
NV,"Las Vegas",Southeast,"9869 S Eastern Ave","Banfield Pet Hospital","2014-10-11 00:00:00"
NV,"Las Vegas",Southeast,"9875 S Eastern Ave, Ste E-2","Sheffield Spice & Tea Co","2014-10-11 00:00:00"
NV,"North Las Vegas",,"2040 E Craig Rd, Ste 101","Old School Pizzeria","2014-08-22 00:00:00"
NV,"Las Vegas",Southwest,"7770 S Jones Blvd","Sporting Life Bar","2014-08-22 00:00:00"
NV,"Las Vegas",Westside,"5959 W Sahara Ave","Burlington Coat Factory","2014-08-18 00:00:00"
NV,"Las Vegas","The Strip","3655 Las Vegas Blvd S","Gordon Ramsay Steak","2014-08-18 00:00:00"
NV,"Las Vegas","The Strip","Bally's Hotel & Casino, 3645 Las Vegas Boulevard South","Liaison Nightclub","2014-07-26 00:00:00"
NV,"Las Vegas",Eastside,"3475 E Flamingo Rd, Ste 500","Spay & Neuter Center of So. Nevada","2014-07-26 00:00:00"
NV,"Las Vegas",Downtown,"10 E Charleston Blvd","Cornish Pasty","2014-07-24 00:00:00"
NV,"North Las Vegas",,"2325 E Cheyenne Ave","Mariana's Supermarkets","2014-07-24 00:00:00"
NV,"Las Vegas",Summerlin,"10820 W Charleston Blvd","Distill - A Local Bar","2014-05-24 00:00:00"
NV,"Las Vegas",Southeast,"2601 E Sunset Rd","Sunset Park","2014-05-24 00:00:00"
NV,"Las Vegas",Westside,"3441 W Sahara Ave, Ste D2-D3","Diya Eyebrow Threading","2014-05-07 00:00:00"
NV,Henderson,Anthem,"2900 Ivanpah Dr","Cactus Wren Park","2014-05-07 00:00:00"
NV,"Las Vegas",Southeast,"6515 S Las Vegas Blvd","Fleming's Prime Steakhouse & Wine Bar","2014-04-26 00:00:00"
NV,"Las Vegas",Centennial,"6650 N Durango Dr",PetSmart,"2014-04-26 00:00:00"
NV,"Las Vegas","Spring Valley","8665 W Flamingo Rd, Ste 105","Cafe Darak","2014-04-26 00:00:00"
NV,"Las Vegas",Southeast,"9065 S Eastern Ave","Las Vegas Athletic Club","2014-04-13 00:00:00"
NV,"Las Vegas","The Strip","3545 S Las Vegas Blvd","Chayo Mexican Kitchen + Tequila Bar","2014-04-08 00:00:00"
NV,"Las Vegas",Chinatown,"5020 Spring Mountain Rd, Ste 1","Japanese Curry Zen","2014-03-22 00:00:00"
NV,"Las Vegas","The Strip","Mandalay Bay Hotel Casino, 3950 S Las Vegas Blvd","Cirque du Soleil - Michael Jackson One","2014-03-22 00:00:00"
NV,"Las Vegas",Westside,"2605 S Decatur Blvd, Ste 120-122","Bar Kada Avenue","2014-03-03 00:00:00"
NV,"Las Vegas",,"2151 N Rainbow Blvd","Cost Plus World Market","2014-03-03 00:00:00"
NV,"North Las Vegas",,"775 W Craig Rd, Ste 148","808 Hawaii Mixed Plate","2014-02-18 00:00:00"
NV,"Las Vegas",,"4000 W Flamingo Rd","Ping Pang Pong","2014-02-18 00:00:00"
NV,"Las Vegas","Spring Valley","9615 W Flamingo Rd","Las Vegas Athletic Club","2014-02-11 00:00:00"
NV,"Las Vegas",Chinatown,"4810 Spring Mountain Rd, Ste B",BAMBU,"2014-01-26 00:00:00"
NV,"Las Vegas",Chinatown,"3400 S Jones Blvd, Ste 15","HK Star","2014-01-24 00:00:00"
NV,"Las Vegas",Chinatown,"6850 Spring Mountain","Hot Tofu","2014-01-23 00:00:00"
NV,"Las Vegas",Southeast,"9750 S Maryland Pkwy",Smith's,"2014-01-23 00:00:00"
NV,"Las Vegas",Chinatown,"4745 Spring Mountain Rd","Pho So 1","2014-01-23 00:00:00"
NV,"Las Vegas",Downtown,"508  Fremont St","Radio City Pizzeria","2014-01-12 00:00:00"
NV,"Las Vegas",Downtown,"707 Fremont St","Downtown Container Park","2014-01-12 00:00:00"
NV,"Las Vegas",Downtown,"450 Fremont St, Ste 135","Banger Brewing","2014-01-12 00:00:00"
NV,"Las Vegas",Southwest,"7920 S Rainbow Blvd, Ste 100",Serenade,"2014-01-12 00:00:00"
NV,"Las Vegas",Centennial,"7881 W Tropical Pkwy","The Home Depot","2013-12-28 00:00:00"
NV,"Las Vegas","The Strip","3799 Las Vegas Blvd S","Hakkasan Restaurant","2013-12-28 00:00:00"
NV,"Las Vegas",Southwest,"3870 Blue Diamond Rd, Bldg R","Dollar Tree","2013-12-28 00:00:00"
NV,"Las Vegas",Centennial,"7181 N Hualapai Way, Ste 115","Divine Eatery","2013-12-28 00:00:00"
NV,"Las Vegas","The Strip","3950 S Las Vegas Blvd","Border Grill","2013-12-28 00:00:00"
NV,"Las Vegas",Downtown,"222 S Martin L King Blvd","Costco Business Center","2013-12-28 00:00:00"
NV,"Las Vegas","The Strip","3535 S Las Vegas Blvd","Nashville Unplugged Live","2013-12-17 00:00:00"
NV,"Las Vegas",Downtown,"Plaza Hotel & Casino, 1 Main St","Oscar's Steakhouse","2013-12-17 00:00:00"
NV,"Las Vegas",Downtown,"707 E Fremont St, Ste 1300","ChillSpot by SasaSweets","2013-12-17 00:00:00"
NV,"Las Vegas","Spring Valley","5516 S Ft Apache Rd, Ste 120","Crosscountry Mortgage","2013-12-17 00:00:00"
NV,"Las Vegas",,"6261 Dean Martin Dr",SkinnyFATS,"2013-12-05 00:00:00"
NV,"Las Vegas",Westside,"8800 W Charleston Blvd","Ross Dress for Less","2013-12-05 00:00:00"
NV,"W Henderson",Southeast,"9955 S Eastern Ave","Lowe's Home Improvement","2013-12-05 00:00:00"
NV,"Las Vegas",Southwest,"4000 Blue Diamond Rd, Blue Diamond Crossing","Ross Dress for Less","2013-12-05 00:00:00"
NV,"Las Vegas",,"5675 S Valley View","Standard Restaurant Supply","2013-12-05 00:00:00"
NV,"Las Vegas",Centennial,"7931 W Tropical Pkwy, Centennial Centre","Ross Dress for Less","2013-12-05 00:00:00"
NV,Henderson,,"724 W Sunset Rd","Penn's Thai House","2013-11-25 00:00:00"
NV,"Las Vegas",Chinatown,"5115 Spring Mountain Rd, Ste 234","Kaba Curry","2013-11-25 00:00:00"
NV,"Las Vegas",Centennial,"7375 Tule Springs Rd","Moon Valley Nurseries","2013-11-25 00:00:00"
NV,Henderson,Anthem,"2650 W Horizon Ridge Pkwy","Albertsons Supermarkets","2013-11-25 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S","Sur La Table","2013-11-03 00:00:00"
NV,"Las Vegas",Westside,"730 S Rampart Blvd","Total Wine & More","2013-11-03 00:00:00"
NV,"Las Vegas",,"3700 W Flamingo Rd","Aki Matsuri Festival","2013-11-01 00:00:00"
NV,"Las Vegas",Chinatown,"4681 Spring Mountain Rd","Hotai Furniture","2013-11-01 00:00:00"
NV,"Las Vegas",Westside,"3713 W Sahara Ave","Herbs & Rye","2013-10-18 00:00:00"
NV,"Las Vegas",Downtown,"1616 S Las Vegas Blvd, Ste 130","Art of Flavors","2013-10-14 00:00:00"
NV,"Las Vegas",Centennial,"7920 W Tropical Pkwy, Ste 170","SinCity Burgers","2013-10-14 00:00:00"
NV,"Las Vegas",Chinatown,"5020 Spring Mountain Rd, Ste 3","Snowflake Shavery","2013-10-02 00:00:00"
NV,"Las Vegas",Southeast,"470 E Windmill Ln, Ste 100","Bachi Burger","2013-10-01 00:00:00"
NV,"Las Vegas",Westside,"440 S Rampart Blvd","Echo & Rig","2013-09-30 00:00:00"
NV,"Las Vegas",Southwest,"7925 Virtue Ct","Chaiya Meditation Monastery Monthly Food Fair","2013-09-30 00:00:00"
NV,Henderson,Southeast,"2950 Saint Rose Pkwy",Homegoods,"2013-09-28 00:00:00"
NV,"Las Vegas",Southwest,"Desert Marketplace",HomeGoods,"2013-09-28 00:00:00"
NV,"Las Vegas",Southeast,"9850 S Maryland Pkwy, Ste 4","Hancock Fabrics","2013-09-28 00:00:00"
NV,"Las Vegas",Downtown,"1616 S Las Vegas Blvd, Ste 130","Art of Flavors","2013-09-19 00:00:00"
NV,"Las Vegas","The Strip","Forum Shops Caesar's Palace, 3500 Las Vegas Blvd S, Ste T18","Sushi Roku","2013-09-17 00:00:00"
NV,"Las Vegas",,"9310 S Eastern Ave, Ste 112",AT&T,"2013-09-17 00:00:00"
NV,"Las Vegas","The Strip","3327 Las Vegas Blvd S","Table 10","2013-09-17 00:00:00"
NV,"Las Vegas","The Strip","3930 Las Vegas Blvd","Rx Boiler Room","2013-09-09 00:00:00"
NV,"Las Vegas",Southeast,"9775 S Maryland Pkwy, Ste C","Fantastic Sams","2013-09-09 00:00:00"
NV,"Las Vegas",Chinatown,"5020 Spring Mountain Rd, Ste 3","Snowflake Shavery","2013-09-09 00:00:00"
NV,Henderson,,"1080 W Sunset Rd","Floor & Decor","2013-09-09 00:00:00"
NV,"Las Vegas",Southeast,"455 E Pebble Rd","US Post Office","2013-09-09 00:00:00"
NV,"Las Vegas",Chinatown,"3870 Spring Mountain Rd, Ste A","Pacific West Flooring","2013-08-30 00:00:00"
NV,"Las Vegas","The Strip","The Forum Shops At Caesars, 3500 Las Vegas Blvd S, Ste G1","Spago by Wolfgang Puck","2013-08-30 00:00:00"
NV,"Las Vegas",Centennial,"7010 N Durango Dr, Ste 140","Rachel's Kitchen","2013-08-18 00:00:00"
NV,"Las Vegas",Downtown,"520 Fremont St","The Beat Coffeehouse & Records","2013-08-18 00:00:00"
NV,"Las Vegas","The Strip","The Forum Shops At Caesars, 3500 Las Vegas Blvd S, Ste G1","Spago by Wolfgang Puck","2013-08-16 00:00:00"
