state,city,neighborhood,address,name,date
NV,Henderson,,"7665 Commercial Way","TruGreen Lawn Care","2017-07-24 00:00:00"
NV,Henderson,,"100 S Green Valley Pkwy","Sprocket Bar & Restaurant","2017-07-23 00:00:00"
NV,Henderson,Southeast,"3175 St Rose Pkwy, Ste 121","Sunset Clinic","2017-07-14 00:00:00"
NV,"Las Vegas","Spring Valley","9640 W Tropicana, Ste 101","Juan's Flaming Fajitas & Cantina","2017-07-06 00:00:00"
NV,"Las Vegas",Southwest,"7920 S Rainbow Blvd, Ste 100",Serenade,"2017-06-30 00:00:00"
NV,"Las Vegas",Southwest,"7920 S Rainbow Blvd, Ste 105","Doh Korean BBQ","2017-06-30 00:00:00"
NV,"Las Vegas",Downtown,"1934 E Sahara Ave","Irwin Glassman, MD FACOG - WHASN","2017-06-19 00:00:00"
NV,"Las Vegas",Southeast,"1850 E Serene Ave, Ste 106","Kusina Ni Lorraine Express","2017-06-09 00:00:00"
NV,Henderson,Anthem,"2850 Siena Heights","Steinberg Diagnostic Medical Imaging","2017-06-03 00:00:00"
NV,"Las Vegas",Southeast,"1850 E Serene Ave, Ste 106","Kusina Ni Lorraine Express","2017-06-03 00:00:00"
NV,"Las Vegas",Southeast,"3663 E Sunset Rd, Ste 403","Jeff E Moxley DDS PC","2017-06-01 00:00:00"
NV,Henderson,Southeast,"3175 St Rose Pkwy, Ste 121","Sunset Clinic","2017-05-30 00:00:00"
NV,Henderson,,"725 S Green Valley Pkwy, Ste 120","Donut Mania","2017-05-28 00:00:00"
NV,"Las Vegas","The Strip","3720 S Las Vegas Blvd","Mastro's Ocean Club","2017-05-19 00:00:00"
NV,"Las Vegas",Southeast,"580 E Windmill","Rocco's Ny Pizza & Pasta","2017-05-16 00:00:00"
NV,"Las Vegas",Southeast,"9775 S Maryland Pkwy, Ste C","China AAA","2017-04-27 00:00:00"
NV,"Las Vegas",,"2720 N Tenaya Way","Sierra Health and Life","2017-04-18 00:00:00"
NV,"Las Vegas",Southeast,"505 E Windmill Ln, Ste D","China a Go Go","2017-02-14 00:00:00"
NV,"Las Vegas",Summerlin,"653 N Town Center Dr, Ste 104","Summerlin Pediatric Dentistry","2017-02-10 00:00:00"
NV,Henderson,Anthem,"3001 St Rose Pkwy","St. Rose Dominican Hospital - Siena Campus","2017-02-06 00:00:00"
NV,"Las Vegas",Summerlin,"801 S Pavilion Center Dr",Costco,"2017-02-02 00:00:00"
NV,Henderson,,"510 N Stephanie St","Babies""R""Us","2017-01-17 00:00:00"
NV,"Las Vegas",Southeast,"467 E Silverado Ranch, Unit 125","Teppan Bento","2016-11-04 00:00:00"
NV,"Las Vegas",,"2411 W Sahara Ave","Oyster Bar","2016-10-27 00:00:00"
NV,Henderson,Anthem,"10890 S Eastern Ave, Ste 108","Burger Joint","2016-10-24 00:00:00"
NV,"Las Vegas",Southeast,"9915 S Eastern Blvd, Ste 110","Oil and Vine - Food and Drink for the Heart","2016-10-10 00:00:00"
NV,"Las Vegas","Spring Valley","5761 South Fort Apache, Fl 2","Belly Bliss","2016-10-07 00:00:00"
NV,"Las Vegas",Eastside,"3027-3059 Ave","LVH Theater","2016-10-02 00:00:00"
NV,"Las Vegas",Downtown,"124 S 6th St, Ste 140","Donut Bar","2016-09-16 00:00:00"
NV,"Las Vegas",,"7050 Wetlands Park Ln","Wetlands Park","2016-09-09 00:00:00"
NV,"Las Vegas","Spring Valley","6037 S Fort Apache Rd, Ste 150","Baby's First Image","2016-09-05 00:00:00"
NV,"Las Vegas","The Strip","3782 Las Vegas Blvd S","T-Mobile Arena","2016-09-02 00:00:00"
NV,"Las Vegas",Southeast,"3355 E Tropicana Ave, Ste D","Thai Room","2016-08-31 00:00:00"
NV,"Las Vegas",Chinatown,"3755 Spring Mountain Rd, Ste 101","The Halal Guys","2016-08-21 00:00:00"
NV,"Las Vegas",Southwest,"8350 Dean Martin Dr","Cracker Barrel Old Country Store","2016-08-19 00:00:00"
NV,"Las Vegas",Southeast,"9620 S Las Vegas Blvd, Ste E-7","Yanni's Greek Grill","2016-08-17 00:00:00"
NV,"Las Vegas","Spring Valley","6500 Ikea Way",IKEA,"2016-08-05 00:00:00"
NV,"Las Vegas","Spring Valley","6500 Ikea Way","IKEA - Cafe","2016-08-05 00:00:00"
NV,"Las Vegas",Westside,"9340 W Sahara Ave, Ste 106","Khoury's Mediterranean Restaurant","2016-08-02 00:00:00"
NV,"Las Vegas",Chinatown,"5808 Spring Mountain Rd, Ste 101","Hobak Korean BBQ","2016-07-31 00:00:00"
NV,Henderson,Anthem,"10839 S Eastern Ave","Egg Works","2016-07-29 00:00:00"
NV,"Las Vegas",Downtown,"1203 E Charleston Blvd, Ste 140","Mariscos Playa Escondida","2016-07-27 00:00:00"
NV,"Las Vegas",Southeast,"750 E Pyle Ave, Ste 108-109","Tokyo Peking Asian Restaurant","2016-07-25 00:00:00"
NV,"Las Vegas",Southeast,"6605 S Las Vegas Blvd, Ste B207","Nēche Restaurant & Ultra Lounge","2016-07-24 00:00:00"
NV,"Las Vegas",Chinatown,"3615 Spring Mountain Rd","All Pro Paint & Body Collision","2016-07-09 00:00:00"
NV,"Las Vegas",Chinatown,"3650 S Decatur Blvd, Ste 31","JJANGA Japanese Restaurant","2016-07-07 00:00:00"
NV,"Las Vegas",Southeast,"410 E Silverado Ranch Blvd","Bank of America","2016-07-01 00:00:00"
NV,Henderson,,"2657 Windmill Pkwy, Ste 647","Rx Garage Doors","2016-07-01 00:00:00"
NV,Henderson,Anthem,"2300 Paseo Verde Pkwy","The Pond","2016-06-27 00:00:00"
NV,"Las Vegas",Anthem,"9985 S Eastern Ave","Wings Restaurants","2016-06-09 00:00:00"
NV,"Las Vegas",Summerlin,"10100 W Charleston Blvd, Ste 150","Vintner Grill","2016-06-07 00:00:00"
NV,Henderson,Anthem,"861 Coronado Center Dr, Ste 131","Donna Miller, MD FACOG - WHASN","2016-05-25 00:00:00"
NV,"Las Vegas",Southeast,"9620 Las Vegas Blvd S, Ste N8","Stripside Comics & Sportscards","2016-05-11 00:00:00"
