state,city,neighborhood,address,name,date
NV,"Las Vegas",Summerlin,"2227 N Rampart Blvd","Omelet House Summerlin","2017-07-12 00:00:00"
NV,"Las Vegas","The Strip","3950 S Las Vegas Blvd","Libertine Social","2017-07-03 00:00:00"
NV,"Las Vegas",Westside,"221 N Rampart Blvd","Hawthorn Grill","2017-06-28 00:00:00"
NV,"Las Vegas","The Strip","3355 South Las Vegas Blvd, Ste 106",Chica,"2017-06-24 00:00:00"
NV,"Las Vegas",Summerlin,"2620 Regatta Dr, Ste 106","Marché Bacchus","2017-06-24 00:00:00"
NV,"Las Vegas",Southwest,"8680 W Warm Springs Rd","The Black Sheep","2017-06-24 00:00:00"
NV,"Las Vegas","Spring Valley","3370 S Hualapai Way, Ste 125","Showboy BakeShop","2017-06-19 00:00:00"
NV,"Las Vegas",Eastside,"3790 E Flamingo Rd","Blueberry Hill Family Restaurant","2017-06-19 00:00:00"
NV,"Las Vegas",Chinatown,"4480 Spring Mountain Rd, Ste 100","Sparrow + Wolf","2017-06-19 00:00:00"
NV,"Las Vegas",Chinatown,"4300 W Spring Mountain Rd","HK Seafood Garden","2017-06-13 00:00:00"
NV,"Las Vegas",Westside,"3315 S Valley View Blvd","Home-Made Ice Cream","2017-06-13 00:00:00"
NV,"Boulder City",,"1410 Nevada Hwy","A & W Root Beer","2017-06-07 00:00:00"
NV,"Las Vegas",Westside,"230 S Rainbow Blvd","Aria Mediterranean Restaurant","2017-06-04 00:00:00"
NV,"Las Vegas",Chinatown,"5115 W Spring Mountain Rd, Ste 208","Baan Thai Restaurant","2017-06-04 00:00:00"
NV,"Las Vegas","Spring Valley","9475 West Desert Inn Rd","Herbst Market","2017-05-31 00:00:00"
NV,"North Las Vegas",,"2101 Texas Star Ln","Austins Steakhouse","2017-05-24 00:00:00"
NV,"North Las Vegas",,"2101 Texas Star Ln","Texas Station Gambling Hall & Hotel","2017-05-24 00:00:00"
NV,"Las Vegas",,"9500 S Eastern Ave",Boteco,"2017-05-24 00:00:00"
NV,"Las Vegas",Eastside,"3025 E Desert Inn Rd, Ste1","Rivas Mexican Grill #2","2017-05-24 00:00:00"
NV,"Las Vegas","The Strip","300 W Sahara Ave","Lucky Dragon Las Vegas","2017-05-11 00:00:00"
NV,"Las Vegas",Southeast,"115 E Tropicana Ave","Jarrett & Raja","2017-05-08 00:00:00"
NV,"Las Vegas",Chinatown,"4215 Spring Mountain Rd, Ste B106B","Volcano Tea House","2017-05-08 00:00:00"
NV,"Las Vegas","The Strip","3655 Las Vegas Blvd S","HEXX kitchen + bar","2017-05-08 00:00:00"
NV,"Las Vegas","The Strip","115 E Tropicana Ave","Hooters Casino Hotel","2017-05-08 00:00:00"
NV,"Las Vegas","Spring Valley","6115 S Fort Apache Rd, Ste 112","Andre's Bistro & Bar","2017-05-08 00:00:00"
NV,"Las Vegas","The Strip","3645 S Las Vegas Blvd","The Paul Lynde Show","2017-05-03 00:00:00"
NV,"Las Vegas",Westside,"Arizona Charlie's Decatur","Ron's Steakhouse","2017-05-02 00:00:00"
NV,"Las Vegas",Northwest,"6020 W Craig Rd, Ste 110",Starbucks,"2017-05-02 00:00:00"
NV,"Las Vegas","The Strip","3475 Las Vegas Blvd S","Harrah's Showroom At Harrah's Las Vegas","2017-05-02 00:00:00"
NV,"Las Vegas",,"3460 Cavaretta Ct","The Space","2017-04-19 00:00:00"
NC,Charlotte,,"5501 Josh Birmingham Pkwy",Starbucks,"2017-04-18 00:00:00"
NV,"Las Vegas",Chinatown,"3400 S Jones Blvd, Ste 5C","Asian BBQ & Noodles","2017-04-18 00:00:00"
NC,Charlotte,,"5501 Josh Birmingham Pkwy","Charlotte Douglas International Airport","2017-04-11 00:00:00"
NV,"Las Vegas",Summerlin,"801 S Pavillion Center Dr","Costco Gas","2017-03-25 00:00:00"
NV,"Las Vegas",Southwest,"7150 S Durango Dr, Ste 190","Ohjah Noodle House","2017-03-21 00:00:00"
NV,"Las Vegas",Downtown,"301 Fremont St",McDonald's,"2017-03-19 00:00:00"
NV,"Las Vegas","Spring Valley","4145 S Grand Canyon Dr, Ste A-102","Viet Bistro","2017-03-13 00:00:00"
NV,"Las Vegas",Westside,"501 S Decatur Blvd","Pop's Philly Steaks","2017-03-13 00:00:00"
NV,"Las Vegas","South Summerlin","10965 Lavender Hill Dr","Menchie's Frozen Yogurt","2017-03-13 00:00:00"
NV,"Las Vegas",Downtown,"600 E Fremont St","Siegel's 1941","2017-03-13 00:00:00"
NV,"Las Vegas",Downtown,"1120 S Main St, Ste 110","Makers & Finders Coffee","2017-03-12 00:00:00"
NV,"Las Vegas","Spring Valley","9415 W Tropicana Ave",McDonald's,"2017-03-12 00:00:00"
NV,"Las Vegas",,"16935 Bonnie Springs Rd","Bonnie Springs Restaurant","2017-03-11 00:00:00"
NV,"Las Vegas",Chinatown,"3950 Schiff Dr","Chengdu Taste","2017-03-05 00:00:00"
NV,"Las Vegas",Westside,"1717 S Decatur Blvd","Pierogi Cafe","2017-03-01 00:00:00"
NV,"Las Vegas",Westside,"1717 S Decatur Blvd","Fantastic Indoor Swapmeet","2017-03-01 00:00:00"
NV,"Las Vegas",Summerlin,,"Integrity Home Services","2017-02-22 00:00:00"
NV,"Las Vegas","The Strip","3770 Las Vegas Blvd S","Park Theater","2017-02-17 00:00:00"
NV,"Las Vegas",,"4983 W Flamingo Rd, Ste B","Shang Artisan Noodle","2017-02-04 00:00:00"
NV,"Las Vegas","South Summerlin","10940 Rosemary Park Dr","Maggiano's Little Italy","2017-02-04 00:00:00"
NV,"Las Vegas",,"6370 W Flamingo Rd, Ste 29","Noosh Bakery","2017-01-29 00:00:00"
NV,"Las Vegas",Westside,"238 S Rainbow Blvd","Toddy Shop","2017-01-29 00:00:00"
NV,"Las Vegas",Westside,,"United Garage Door","2017-01-24 00:00:00"
NV,"Las Vegas","The Strip","3782 S Las Vegas Blvd, South Tenant Block, Bldg D1",Bruxie,"2017-01-22 00:00:00"
NV,"Las Vegas",Westside,"3154 W Sahara Ave","Dairy Queen","2017-01-22 00:00:00"
NV,"Las Vegas",,"4500 W Tropicana Ave",Bailiwick,"2017-01-21 00:00:00"
NV,"Las Vegas",,"4860 W Flamingo Rd","JINYA Ramen Bar","2017-01-16 00:00:00"
