state,city,neighborhood,address,name,date
NV,"Las Vegas","The Strip","3411 S Las Vegas Blvd","White Castle","2016-09-25 00:00:00"
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S","ARIA Resort & Casino","2016-09-16 00:00:00"
NV,"Las Vegas",Downtown,"Downtown Container Park, 707 Fremont St","The Perch","2016-05-22 00:00:00"
AZ,Scottsdale,,"14144 N 100th St, Ste B100","Federico's Mexican Food","2016-05-01 00:00:00"
AZ,Tempe,,"3141 S McClintock Dr, Unit 13","Johnny's Burgers & Dogs","2015-07-01 00:00:00"
AZ,Scottsdale,,"9211 E Via De Ventura","CleanFreak Car Wash","2015-06-15 00:00:00"
AZ,Phoenix,,"139 E Adams St","Steve's Greenhouse Grill","2015-05-30 00:00:00"
AZ,Phoenix,,,Uber,"2015-05-24 00:00:00"
AZ,Phoenix,,"1935 E Camelback Rd","Cafe Zupas","2015-05-24 00:00:00"
AZ,Phoenix,,"2501 E Camelback Rd, Ste 24","SOLO Trattoria","2015-05-14 00:00:00"
AZ,Scottsdale,,"7217 E 1st St","Bootleggers Modern American Smokehouse","2015-04-25 00:00:00"
AZ,Mesa,,"1620 W University Dr, Ste 5","Restaurant Huauchinangos Mexican Food","2015-04-21 00:00:00"
AZ,Scottsdale,,"15768 N Frank Lloyd Wright Blvd","Cafe Rio Mexican Grill","2015-04-21 00:00:00"
AZ,Scottsdale,,"10401 E McDowell Mountain Ranch Rd, Ste 1","Twisted Lizard Tavern & Grill","2015-01-04 00:00:00"
AZ,Phoenix,,"2848 E Bell Rd, Ste 107","Glockmeister Phoenix","2014-12-31 00:00:00"
AZ,Phoenix,,"3202 E Greenway Rd","Gorditas El Tio","2014-12-31 00:00:00"
AZ,Scottsdale,,"10111 E Bell Rd","Basha's Supermarket","2014-12-29 00:00:00"
AZ,Scottsdale,,"5001 N Scottsdale Rd","4th Floor Grille & Sports Bar","2014-12-29 00:00:00"
AZ,Phoenix,,"North Arcadia, 4925 N 40th St","North Italia","2014-12-29 00:00:00"
AZ,Scottsdale,,"9301 E Shea Blvd","Chompie's Deli","2014-12-28 00:00:00"
AZ,Scottsdale,,"11511 E Via Linda","Francis & Sons Car Wash","2014-12-21 00:00:00"
AZ,Scottsdale,,"11162 N Frank Lloyd Wright Blvd, Ste A-3","The Good Egg - Ancala","2014-12-21 00:00:00"
AZ,Scottsdale,,"8606 E Shea Blvd","Pier 1 Imports","2014-12-15 00:00:00"
AZ,Scottsdale,,"7111 E Thomas Rd",Filiberto's,"2014-11-26 00:00:00"
AZ,Scottsdale,,"16601 N Pima Rd","Westworld of Scottsdale","2014-11-15 00:00:00"
AZ,Scottsdale,,"15444 N 100th St","Horizon Park & Community Center","2014-11-11 00:00:00"
AZ,Phoenix,,"5632 N 7th St","The Yard","2014-11-11 00:00:00"
AZ,Scottsdale,,"15029 N Thompson Peak Pkwy, Ste B-111","The UPS Store","2014-11-11 00:00:00"
AZ,Phoenix,,"5632 N 7th St","The Yard","2014-11-06 00:00:00"
AZ,Scottsdale,,"7293 N Scottsdale Rd","Blue 32 Sports Grill","2014-10-30 00:00:00"
AZ,Scottsdale,,"15033 N Thompson Peak Pkwy, Ste D105","Which Wich","2014-10-25 00:00:00"
AZ,Scottsdale,,"9393 N 90th St, Ste 122","Ajo Al's","2014-09-14 00:00:00"
AZ,Scottsdale,,"6929 N Hayden Rd, Ste C2","Goldmans Deli","2014-09-14 00:00:00"
AZ,Scottsdale,,"9119 E Talking Stick Way","Octane Raceway","2014-09-14 00:00:00"
AZ,Scottsdale,,"15024 N Scottsdale Rd","North Italia","2014-08-18 00:00:00"
AZ,Tempe,,"8475 S Emerald Dr","C2 Tactical","2014-08-17 00:00:00"
AZ,Tempe,,"1301 E University Dr","Republic Ramen + Noodles","2014-08-17 00:00:00"
AZ,Phoenix,,"4647 E Chandler Blvd, Ste 3","Merchant Firearms","2014-08-17 00:00:00"
AZ,Phoenix,,"2401 E Camelback Rd","The Ritz-Carlton","2014-08-17 00:00:00"
AZ,Scottsdale,,"7051 E 5th Ave","5th and Wine","2014-08-16 00:00:00"
AZ,Scottsdale,,"14860 N Northsight Blvd","Scottsdale Gun Club","2014-08-16 00:00:00"
AZ,Phoenix,,"1628 N 44th St","Del Taco","2014-08-04 00:00:00"
AZ,Scottsdale,,"4422 N 75th St","The Lodge","2014-08-04 00:00:00"
AZ,Scottsdale,,"17050 N Thompson Peak Pkwy","Temple Bar Sports Grill","2014-07-30 00:00:00"
