state,city,neighborhood,address,name,date
AZ,Scottsdale,,"15147 N Scottsdale Rd, Unit H133","Breakfast Kitchen Bar","2017-07-22 00:00:00"
AZ,Scottsdale,,"9815 E Bell Rd, Ste 105","Family Eyecare Of Scottsdale","2017-07-21 00:00:00"
AZ,Scottsdale,,"20511 N Hayden Rd","Kale & Clover","2017-06-14 00:00:00"
AZ,Scottsdale,,"9500 Via De Ventura","Opa Life Greek Cafe","2017-05-25 00:00:00"
AZ,Tempe,,"1490 E Weber Dr","Singh Meadows","2017-01-21 00:00:00"
AZ,Scottsdale,,"17025 N Scottsdale Rd, Ste 110","Nothing Bundt Cakes","2016-12-12 00:00:00"
AZ,Scottsdale,,"15345 North Scottsdale Rd","Flywheel Sports","2016-11-18 00:00:00"
AZ,Scottsdale,,"7220 E 1st Ave",Patties,"2016-09-18 00:00:00"
AZ,Phoenix,,"5350 E High St, Ste 105","Rick Bronson's House of Comedy","2016-05-23 00:00:00"
AZ,Scottsdale,,,"A Advanced Garage Door Service","2016-02-22 00:00:00"
AZ,Scottsdale,,"15551 N Greenway Hayden Lp, Ste 120","Barre3 - Scottsdale","2016-02-02 00:00:00"
AZ,Scottsdale,,"6107 N Scottsdale Rd, Ste 108","Barre3 - Paradise Valley","2016-02-02 00:00:00"
AZ,Phoenix,,,"Arizona Carpet and Restoration","2015-12-05 00:00:00"
AZ,Scottsdale,,"20751 N Pima Rd",Kindermusik,"2015-11-20 00:00:00"
AZ,Scottsdale,,"15689 N Pima Rd, Ste 126","Digital Doc","2015-11-14 00:00:00"
AZ,Scottsdale,,"20875 N Pima Rd","DELIA'S Cleaners","2015-10-27 00:00:00"
AZ,Scottsdale,,"3839 N Drinkwater Blvd","Beneficial Beans","2015-09-28 00:00:00"
AZ,Scottsdale,,"15059 N Scottsdale Rd, Ste 100","American Girl Store","2015-08-19 00:00:00"
AZ,Scottsdale,,"7177 E Rancho Vista Dr","Optima Camelview","2015-08-16 00:00:00"
AZ,Scottsdale,,"20825 N Pima Rd","Market Street Kitchen","2015-08-10 00:00:00"
AZ,Scottsdale,,"9500 E Via De Ventura","Butterfly Wonderland","2015-08-10 00:00:00"
AZ,Phoenix,,"21001 N Tatum Blvd","FIT4MOM - Phoenix","2015-08-07 00:00:00"
AZ,Phoenix,,"21001 N Tatum Blvd","FIT4MOM - Phoenix","2015-08-07 00:00:00"
AZ,Scottsdale,,"7116 E Mercer Ln, Ste 105-106","Basically Bows & Bowties","2015-08-07 00:00:00"
AZ,Scottsdale,,"20567 N Hayden Rd, Ste110","Primp and Blow - A Blow Dry Bar","2015-08-07 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd, Ste 2072","Things Remembered","2015-08-07 00:00:00"
AZ,Scottsdale,,"10460 N 90th St","Flower Child","2015-08-07 00:00:00"
AZ,Scottsdale,,"15816 N Pima Rd","Cobblestone Auto Spa","2015-07-30 00:00:00"
