state,city,neighborhood,address,name,date
NV,"Las Vegas",Eastside,"4455 Paradise Rd","Elite Event: Awe Shucks at Oyster Bar","2017-07-25 00:00:00"
NV,"Las Vegas",Southeast,"455 E Pebble Rd","US Post Office","2017-07-24 00:00:00"
NV,"Las Vegas",Southeast,"467 E Silverado Ranch Blvd, Ste 140","Kung Fu Tea","2017-07-23 00:00:00"
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S","ARIA Resort & Casino","2017-07-18 00:00:00"
NV,"Las Vegas",Southeast,"9770 S Maryland Pkwy 10",Starbucks,"2017-07-16 00:00:00"
NV,"Las Vegas",Southeast,"8164 S Las Vegas Blvd, Ste 100",Starbucks,"2017-07-16 00:00:00"
NV,"Las Vegas",Southeast,"9770 S Maryland Pkwy 10",Starbucks,"2017-07-16 00:00:00"
NV,Henderson,Anthem,"10010 S Eastern Ave","Wells Fargo Bank","2017-07-15 00:00:00"
NV,Henderson,Anthem,"10010 S Eastern Ave","Wells Fargo Bank","2017-07-14 00:00:00"
NV,"Las Vegas",Chinatown,"4250 W Spring Mountain Rd","Four Seasons Diner","2017-07-10 00:00:00"
NV,"Las Vegas",Southeast,"7435 S Eastern Ave","Daisho Sushi","2017-07-09 00:00:00"
NV,"Las Vegas",Eastside,"4178 Koval Ln","Ellis Island Casino & Brewery","2017-07-06 00:00:00"
NV,"Las Vegas",Eastside,"4178 Koval Ln","Ellis Island Casino & Brewery","2017-07-06 00:00:00"
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S","ARIA Resort & Casino","2017-07-04 00:00:00"
NV,"Las Vegas",Southeast,"445 E Windmill Ln, Ste 2D","Wells Fargo Bank","2017-07-03 00:00:00"
NV,Henderson,Anthem,"10271 S Eastern Ave, Ste 116","Tea And Whisk","2017-07-03 00:00:00"
NV,"Las Vegas",Chinatown,"3755 Spring Mountain Rd",Starbucks,"2017-06-29 00:00:00"
NV,"Las Vegas",Southeast,"8150 S Maryland Pkwy, Ste D-1",Starbucks,"2017-06-27 00:00:00"
NV,"Las Vegas",Southeast,"9770 S Maryland Pkwy 10",Starbucks,"2017-06-25 00:00:00"
NV,"Las Vegas",Southeast,"8975 S Eastern Ave, Ste A",Starbucks,"2017-06-23 00:00:00"
NV,"Las Vegas",Southeast,"8846 S Eastern Ave, Ste 102","Island Flavor ","2017-06-23 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S","Victoria's Secret","2017-06-22 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S, Ste 600","Fashion Show","2017-06-22 00:00:00"
NV,"Las Vegas",Eastside,"325 Hughes Center Dr","Bandito Latin Kitchen & Cantina","2017-06-21 00:00:00"
NV,"Las Vegas",Southeast,"455 E Silverado Ranch Blvd","Jack In the Box","2017-06-18 00:00:00"
NV,"Las Vegas",Southeast,"505 E Windmill Ln, Ste D","China a Go Go","2017-06-16 00:00:00"
NV,"Las Vegas",Chinatown,"5300 Spring Mountain Rd, Ste 109","Mr. Z Tea Co","2017-06-09 00:00:00"
NV,"Las Vegas",Southeast,"8846 S Eastern Ave, Ste 102","Island Flavor ","2017-06-06 00:00:00"
NV,"Las Vegas",Southeast,"1343 E Silverado Ranch Blvd",McDonald's,"2017-06-04 00:00:00"
NV,Henderson,Southeast,"9510 S Eastern Ave, Ste 100","Twin Peaks","2017-06-04 00:00:00"
NV,"Las Vegas",Southwest,"7790 S Jones Blvd",VegeWay,"2017-06-04 00:00:00"
NV,"Las Vegas",Southwest,"7790 S Jones Blvd",VegeWay,"2017-06-04 00:00:00"
NV,"Las Vegas",Chinatown,"3910 Spring Mountain Rd, Ste 3","Samurai Motors","2017-05-24 00:00:00"
NV,"Las Vegas",Chinatown,"3910 Spring Mountain Rd, Ste 3","Samurai Motors","2017-05-24 00:00:00"
NV,"Las Vegas",Chinatown,"3675 South Rainbow Blvd","Great Clips","2017-05-03 00:00:00"
NV,"Las Vegas",Southeast,"1775 E Tropicana Ave, Ste 30","Cafe Mayakovsky","2017-04-23 00:00:00"
NV,"Las Vegas",Chinatown,"5150 Spring Mountain Rd, Ste 10","QQ Tea Plus","2017-04-23 00:00:00"
NV,"Las Vegas",Summerlin,"801 S Pavillion Center Dr","Costco Gas","2017-04-20 00:00:00"
NV,"Las Vegas",Chinatown,"3755 Spring Mountain Rd",Starbucks,"2017-04-19 00:00:00"
