state,city,neighborhood,address,name,date
NC,Charlotte,,"2230 Park Rd, Ste 101","Inizio Pizza Napoletana","2017-07-20 00:00:00"
NC,Charlotte,Starmount,"9501 South Blvd","Popeyes Louisiana Kitchen","2017-07-19 00:00:00"
NC,Charlotte,,"Charlotte Douglas International Airport - Main Terminal",Starbucks,"2017-06-30 00:00:00"
NC,Charlotte,"Myers Park","900 Metropolitan Ave",Starbucks,"2017-06-30 00:00:00"
NC,Charlotte,"Steele Creek","13540 Hoover Creek Blvd, Ste 800",Michaels,"2017-06-28 00:00:00"
NC,Charlotte,Uptown,"320 S Tryon St","Potbelly Sandwich Shop","2017-06-27 00:00:00"
NC,Charlotte,"Steele Creek","2015 Ayrsley Town Blvd","Salsas Mexican Grille","2017-06-26 00:00:00"
NC,Charlotte,,"412 W Palmer St","Palmer St","2017-06-22 00:00:00"
NC,Charlotte,"South End","116 West Blvd","Pop the Top Craft Beer Shop","2017-06-22 00:00:00"
NC,Charlotte,,"4125 Yancey Rd","Queen Park Social","2017-06-21 00:00:00"
NC,Charlotte,Uptown,"210 E Trade St, Ste D-290","Studio Movie Grill","2017-06-12 00:00:00"
NC,Charlotte,,"4500 Park Rd, Ste 100","Viva Chicken","2017-06-12 00:00:00"
NC,Charlotte,Starmount,"5920 South Blvd","The Burrito Factory","2017-05-17 00:00:00"
NC,Charlotte,Elizabeth,"101 N Kings Dr","Elizabeth Park","2017-05-11 00:00:00"
NC,Charlotte,"South Park","3920 Sharon Rd, Ste B130","Sabor Latin Street Grill","2017-05-10 00:00:00"
NC,Charlotte,,"4117 Park Rd","United States Post Office","2017-05-08 00:00:00"
NC,Matthews,,"120 South Trade St","Charlotte Food Fight","2017-05-08 00:00:00"
NC,Matthews,,"2125 Matthews Township Pkwy","Costco Gasoline","2017-05-06 00:00:00"
NC,Charlotte,Elizabeth,"300 Hawthorne Ln","Independence Park","2017-05-04 00:00:00"
NC,Charlotte,,"1600 E Woodlawn Rd, Ste 110","Ben & Jerry's","2017-05-03 00:00:00"
NC,Charlotte,,"1600 E Woodlawn Rd","Bonchon Chicken","2017-05-01 00:00:00"
NC,Charlotte,Starmount,"5100 S Blvd, Ste C","Crispy Banh Mi","2017-04-27 00:00:00"
NC,Charlotte,"South End","300 East Blvd","300 East","2017-04-26 00:00:00"
NC,Charlotte,Starmount,"9201 South Blvd","Subaru South Blvd","2017-04-25 00:00:00"
NC,Charlotte,,"3000 S Tryon St","Lenny Boy Brewing Co.","2017-04-25 00:00:00"
NC,Charlotte,,"4440 S Tryon St",McDonald's,"2017-04-24 00:00:00"
NC,Charlotte,"South Park","4732 Sharon Road, Ste M","Gigi's Cupcakes of Charlotte","2017-04-21 00:00:00"
NC,Gastonia,,"604 E Franklin Blvd","Tony's Ice Cream Company","2017-04-19 00:00:00"
NC,Gastonia,,"182 S South St","Webb Custom Kitchen","2017-04-18 00:00:00"
NC,Charlotte,"Steele Creek","2127 Ayrsley Town Blvd, Ste 101-B","Carolina Beer Temple","2017-04-17 00:00:00"
NC,Charlotte,NoDa,"3205 N Davidson St, Ste 105","Sabor Latin Street Grill - Noda","2017-04-09 00:00:00"
NC,Charlotte,"First Ward","201 N McDowell St","United States Postal Service","2017-04-04 00:00:00"
NC,Matthews,,"3531 Matthews Mint Hill Rd","Osaka Japanese Cuisine","2017-04-03 00:00:00"
NC,Charlotte,"South End","2041 South Blvd","Owen's Bagel & Deli","2017-04-02 00:00:00"
NC,Charlotte,"Plaza Midwood","913 Central Ave","Two Scoops Creamery","2017-03-30 00:00:00"
NC,Charlotte,Elizabeth,"116 Middleton Dr","Zio Casual Italian","2017-03-28 00:00:00"
NC,Charlotte,Dilworth,"1608 East Blvd","Kid Cashew","2017-03-24 00:00:00"
NC,Matthews,,"1369 Chestnut Ln","YUME Bistro","2017-03-20 00:00:00"
NC,Charlotte,Elizabeth,"415 Hawthorne Ln","Sabor Latin Street Grill","2017-03-09 00:00:00"
NC,Charlotte,"South End","2000 South Blvd, Ste 510","O-Ku Sushi","2017-03-01 00:00:00"
NC,Charlotte,,"4201 Park Rd","Park Road Shopping Center","2017-02-27 00:00:00"
NC,Charlotte,"Myers Park","1111 Metropolitan Ave, Ste 20","Le Macaron French Pastries","2017-02-24 00:00:00"
NC,Charlotte,"Myers Park","915 Charlottetowne Ave","Original Pancake House","2017-02-10 00:00:00"
NC,Charlotte,Dilworth,"1000 Blythe Blvd","Panera Bread","2017-02-06 00:00:00"
NC,Charlotte,"South End","1750 Camden Rd, Ste F","Blue Hem","2017-01-24 00:00:00"
NC,Charlotte,"South End","1616 Camden Rd, Ste 100","Fidelli Kitchen","2017-01-23 00:00:00"
NC,Charlotte,,"1919 Commonwealth Ave","Petra's Bar","2017-01-19 00:00:00"
NC,Charlotte,,"528 S Turner Ave","Blue Blaze Brewing","2017-01-17 00:00:00"
NC,Matthews,,"195 N Trade St","Temple Mojo","2017-01-16 00:00:00"
NC,Charlotte,"South End","1320 South Church St","Lady M Cake Boutique","2017-01-13 00:00:00"
NC,Matthews,,"2233 Matthews Township Pkwy, Ste E","Kabab-Je Rotisserie & Grille","2017-01-10 00:00:00"
NC,Charlotte,Elizabeth,"815 Providence Rd","Hubee D's","2017-01-09 00:00:00"
NC,Charlotte,"Fourth Ward","100 W Trade St",Stoke,"2017-01-05 00:00:00"
NC,Charlotte,"South End","2000-2104 South Blvd","Atherton Mill","2017-01-04 00:00:00"
NC,Charlotte,Uptown,"101 South Tryon St","Mcalister's Deli","2016-12-14 00:00:00"
NC,Huntersville,,"10010C Rose Commons Dr","Killingtons Restaurant & Pub","2016-12-12 00:00:00"
NC,Charlotte,"South End","125 Remount Rd","Canine Cafe","2016-12-06 00:00:00"
NC,Charlotte,"Fourth Ward","100 W Trade St","Coco and the Director","2016-11-30 00:00:00"
NC,Charlotte,Starmount,"624 Tyvola Rd 101, Ste F11",Wingstop,"2016-11-22 00:00:00"
NC,Charlotte,"South End","1700 Camden Rd","Central Coffee Co","2016-11-15 00:00:00"
NC,Charlotte,Ballantyne,"12206 Copper Way, Ste 124","Growler USA - America's Microbrew Pub","2016-11-14 00:00:00"
NC,Charlotte,"Steele Creek","14157 Steele Creek Rd","Buffalo Wild Wings","2016-11-10 00:00:00"
NC,Charlotte,"South End","1501 South Blvd","Einstein Bros Bagels","2016-11-07 00:00:00"
NC,Charlotte,,"9630 Monroe Rd","Cinemark Movie Bistro - Charlotte","2016-11-04 00:00:00"
NC,Charlotte,"Sherwood Forest","4219 Providence Rd, Ste 3","AQUA e VINO","2016-11-02 00:00:00"
NC,Charlotte,"South End","170 W Summit Ave","Golden Cow Creamery","2016-09-14 00:00:00"
NC,Charlotte,Uptown,"200 S College St","Dunkin' Donuts","2016-09-02 00:00:00"
NC,Charlotte,Derita,"2625 S Blvd",McDonald's,"2016-08-30 00:00:00"
NC,Charlotte,Uptown,"200 S Tryon St","Hazelnuts Creperie","2016-08-24 00:00:00"
NC,Charlotte,Dilworth,"1511 E Blvd","Babalu Tapas & Tacos","2016-08-22 00:00:00"
NC,Charlotte,Uptown,"510 S College St","Rico's Acai","2016-08-16 00:00:00"
NC,Charlotte,Dilworth,"1315 East Blvd, Ste 150","Shear Excellence","2016-08-11 00:00:00"
NC,Charlotte,NoDa,"1721 N Davidson St","Joe's Doughs","2016-08-10 00:00:00"
