state,city,neighborhood,address,name,date
NC,Charlotte,Elizabeth,"1523 Elizabeth Ave","Luca: Modern Italian Kitchen","2017-07-26 00:00:00"
NC,Charlotte,Sedgefield,"2717 S Blvd","Harris Teeter","2017-07-19 00:00:00"
NC,Waxhaw,,"115 E North Main St","The Dreamchaser's Brewery","2017-07-05 00:00:00"
NC,Charlotte,NoDa,"2909 N Davidson St, Ste 200","Heist Brewery","2017-07-02 00:00:00"
NC,Charlotte,,"2517 Park Rd",Shell,"2017-06-16 00:00:00"
NC,Charlotte,NoDa,"3306-C N Davidson St","Salud Cerveceria","2017-06-08 00:00:00"
NC,Matthews,,"195 N Trade St","Temple Mojo","2017-05-23 00:00:00"
NC,Pineville,,"204 S Polk St","Autobell Car Wash","2017-05-14 00:00:00"
NC,Charlotte,"South End","2201 South Blvd, Ste 210","Southview Dentistry","2017-04-28 00:00:00"
NC,Matthews,,"213 N Trade St","Seaboard Taproom and Wine Bar","2017-04-22 00:00:00"
NC,Charlotte,,"6420 Carmel Rd","Wild East","2017-04-14 00:00:00"
NC,Charlotte,"Plaza Midwood","913 Central Ave","Two Scoops Creamery","2017-04-14 00:00:00"
NC,Charlotte,,"4500 Park Rd, Ste 100","Viva Chicken","2017-04-03 00:00:00"
NC,Charlotte,NoDa,"2909 N Davidson St, Ste 200","Heist Brewery","2017-03-26 00:00:00"
NC,Charlotte,,"1600 E Woodlawn Rd, Ste 150",Hibiscus,"2017-03-24 00:00:00"
NC,Charlotte,NoDa,"3201 N Davidson St","Cabo Fish Taco","2017-03-21 00:00:00"
NC,Charlotte,"First Ward","820 E 7th St, Ste A","1st Ward Beverage","2017-03-18 00:00:00"
NC,Charlotte,Ballantyne,"12239 N Community House Rd, Ste 102","Miro Spanish Grille","2017-03-16 00:00:00"
NC,Charlotte,,"4500 Park Rd, Ste 100","Viva Chicken","2017-03-07 00:00:00"
NC,Charlotte,Starmount,"500 Tyvola Rd","Costco Wholesale","2017-03-04 00:00:00"
NC,Pineville,,"333 Main St","Flipside's Corner Grind","2017-03-03 00:00:00"
NC,Charlotte,"First Ward","204 N Tryon","204 North Kitchen & Cocktails","2017-03-02 00:00:00"
NC,Charlotte,"South End","125 Remount Rd","Dilworth Packing","2017-03-01 00:00:00"
SC,"Fort Mill",,"3071 Hwy 21","Regent Park Cafe","2017-02-04 00:00:00"
NC,Pineville,,"333 Main St","Flipside's Corner Grind","2017-02-04 00:00:00"
NC,Charlotte,,"4500 Park Rd, Ste 100","Viva Chicken","2017-01-18 00:00:00"
NC,Charlotte,"South End","1829 Cleveland Ave","Bonterra Restaurant & Wine Room","2017-01-18 00:00:00"
NC,Charlotte,"South End","1434 Winnifred St","Bulldog Beer & Wine - South End","2017-01-13 00:00:00"
NC,Charlotte,,"4500 Park Rd, Ste 100","Viva Chicken","2017-01-09 00:00:00"
NC,Charlotte,"Steele Creek","14318 RiverGate View, Ste 500","MOD Pizza","2017-01-08 00:00:00"
NC,Charlotte,,"245 Clanton Rd","Red Clay Ciderworks","2016-12-09 00:00:00"
AZ,Phoenix,,"3400 E Sky Harbor Blvd, Ste 3300","Phoenix Sky Harbor International Airport","2016-12-04 00:00:00"
AZ,Phoenix,,"3110 N Central Ave, Ste 185",Starbucks,"2016-11-20 00:00:00"
NC,Charlotte,"Plaza Midwood",,"The Dumpling Lady","2016-11-20 00:00:00"
AZ,Phoenix,,"1805 E Sky Harbor Cir S","Hertz Rent A Car","2016-11-20 00:00:00"
NC,Charlotte,,"1730 Abbey Pl","Luisa's Brick Oven","2016-11-20 00:00:00"
AZ,Phoenix,,"122 N Second St","Compass Arizona Grill","2016-11-20 00:00:00"
AZ,Phoenix,,"122 North 2nd St","Hyatt Regency Phoenix","2016-11-18 00:00:00"
AZ,Phoenix,,"10919 S Central Ave","South Mountain Park","2016-11-18 00:00:00"
AZ,Tempe,,"1340 E 8th St, Ste 104","Four Peaks Brewing","2016-11-18 00:00:00"
AZ,Phoenix,,"810 N 2nd St","Angels Trumpet Ale House","2016-11-17 00:00:00"
AZ,Phoenix,,"2 E Jefferson St, Ste 150","The Arrogant Butcher","2016-11-17 00:00:00"
NC,Charlotte,"Steele Creek","9308 Robert Irwin Dr","Zaxby's Chicken Fingers & Buffalo Wings","2016-11-14 00:00:00"
NC,Charlotte,NoDa,"3306A N Davidson St","FūD at Salud","2016-10-30 00:00:00"
NC,Charlotte,"Steele Creek","14523 Carowinds Blvd",Scarowinds,"2016-10-30 00:00:00"
NC,Charlotte,Dilworth,"1514 East Blvd","JJ's Red Hots","2016-10-24 00:00:00"
NC,Charlotte,,"8500 Pineville Matthews Rd",Nakato,"2016-10-12 00:00:00"
NC,Charlotte,"North Charlotte","2921 N Tryon St","NoDa Brewing Company","2016-10-08 00:00:00"
NC,Charlotte,Starmount,"5920 South Blvd","The Burrito Factory","2016-10-01 00:00:00"
NC,Charlotte,,"3000 S Tryon St","Lenny Boy Brewing Co.","2016-09-17 00:00:00"
NC,Charlotte,"Third Ward",,"Papi Queso","2016-09-14 00:00:00"
NC,Charlotte,"South End","2421 South Blvd","AAA - South End","2016-08-31 00:00:00"
NC,Charlotte,"South Park","4525 Cameron Valley Pkwy","Carolinas Healthcare Urgent Care","2016-08-28 00:00:00"
NC,Charlotte,Uptown,"Uptown Charlotte","Charlotte Pride Festival and Parade","2016-08-28 00:00:00"
NC,Charlotte,"Steele Creek","2414 Sandy Porter Rd","Mac's Speed Shop","2016-08-12 00:00:00"
NC,Charlotte,Sedgefield,"2226 Park Rd","Food Lion","2016-08-03 00:00:00"
NC,Charlotte,Starmount,"5100 S Blvd, Ste C","Crispy Banh Mi","2016-07-29 00:00:00"
SC,"Fort Mill",,"1046 Regent Pkwy, Ste 107","Lee Cafe","2016-07-25 00:00:00"
NC,Charlotte,,"4402 Stuart Andrew Blvd, Ste A","Thirsty Nomad Brewing","2016-07-24 00:00:00"
NC,Charlotte,"South End","1440 S Tryon St","Twisted Eats","2016-07-24 00:00:00"
SC,"Fort Mill",,"3401 Hwy 21","Zaxby's Chicken Fingers & Buffalo Wings","2016-07-24 00:00:00"
NC,Charlotte,"South End","1440 S Tryon St","Twisted Eats","2016-07-23 00:00:00"
NC,"Mint Hill",,"4400 Morris Park Dr","Barking Duck Brewing","2016-07-17 00:00:00"
NC,Charlotte,"South End","125 Remount Rd, Unit D","Penn Station East Coast Subs","2016-07-17 00:00:00"
NC,Charlotte,"South End","125 Remount Rd, Unit D","Penn Station East Coast Subs","2016-07-16 00:00:00"
NC,Charlotte,"South End","125 Remount Rd, Unit D","Penn Station East Coast Subs","2016-07-16 00:00:00"
NC,Charlotte,Ballantyne,"11222 Providence Rd W",Publix,"2016-06-23 00:00:00"
NC,Charlotte,,"4548 Old Pineville Rd","Old Pineville Premium Pub","2016-06-16 00:00:00"
NC,Charlotte,,"528 S Turner Ave","Blue Blaze Brewing","2016-06-12 00:00:00"
SC,"Fort Mill",,"3150 Hwy 21 N","The Flipside Cafe","2016-06-12 00:00:00"
NC,Charlotte,"Plaza Midwood","1911 Central Ave","Pure Pizza","2016-06-06 00:00:00"
NC,Concord,,"329 Mcgill Ave","Cabarrus Brewing Company","2016-06-05 00:00:00"
