state,city,neighborhood,address,name,date
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S","Jean Georges Steakhouse","2017-07-20 00:00:00"
NV,"Las Vegas",Southwest,"7315 W Warm Springs Rd",Tennesseasonings,"2017-07-18 00:00:00"
NV,"Las Vegas","The Strip","3940 Las Vegas Blvd S, Fl 64",Rivea,"2017-07-17 00:00:00"
NV,Henderson,Anthem,"10940 S Eastern Ave, Ste 107",CRAFTkitchen,"2017-06-29 00:00:00"
NV,"Las Vegas",Southeast,"South Point Hotel & Casino, 9777 S Las Vegas Blvd","Silverado Steakhouse","2017-06-29 00:00:00"
NV,"Las Vegas","The Strip","3355 Las Vegas Blvd S","Yardbird Southern Table & Bar","2017-06-28 00:00:00"
NV,"Las Vegas","The Strip","3782 Las Vegas Blvd S","T-Mobile Arena","2017-06-26 00:00:00"
NV,"Las Vegas",,"3700 W Flamingo Rd","Kiss By Monster Mini Golf","2017-06-21 00:00:00"
NV,"Las Vegas",,"4985 W Tropicana Ave","Parsley Modern Mediterranean","2017-06-20 00:00:00"
NV,"Las Vegas","The Strip","3355 South Las Vegas Blvd, Ste 106",Chica,"2017-06-20 00:00:00"
NV,"Las Vegas",Chinatown,"4480 Spring Mountain Rd, Ste 100","Sparrow + Wolf","2017-06-19 00:00:00"
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S",Herringbone,"2017-06-14 00:00:00"
NV,"Las Vegas","Spring Valley","6090 S Rainbow Blvd",Rosallie,"2017-06-12 00:00:00"
NV,"Las Vegas","The Strip","3770 Las Vegas Blvd S","Park Theater","2017-06-12 00:00:00"
NV,"Las Vegas",Southeast,"5757 Wayne Newton Blvd","McCarran Airport Terminal 3","2017-06-06 00:00:00"
NV,"Las Vegas",,"9500 S Eastern Ave",Boteco,"2017-05-22 00:00:00"
NV,"Las Vegas","The Strip","3600 S Las Vegas Blvd","Harvest by Roy Ellamar","2017-05-22 00:00:00"
NV,"Las Vegas",Sunrise,"6055 E Lake Mead Blvd","Maria's Mexican Restaurant & Bakery","2017-05-18 00:00:00"
NV,"North Las Vegas",,"6320 Simmons St","Crunch Donut Factory","2017-05-16 00:00:00"
NV,"North Las Vegas",,"775 W Craig Rd, Ste 148","808 Hawaii Mixed Plate","2017-05-15 00:00:00"
NV,"Las Vegas",,"1951 N Decatur Blvd","El Tricolor Bakery","2017-05-14 00:00:00"
NV,"Las Vegas",Westside,"4760 W Sahara Ave, Ste 21","Playa Papagayos","2017-05-13 00:00:00"
NV,"Las Vegas","Spring Valley","6115 S Fort Apache Rd, Ste 112","Andre's Bistro & Bar","2017-05-10 00:00:00"
NV,"Las Vegas","The Strip","3200 S Las Vegas Blvd, Ste 1240","Sugar Factory","2017-05-07 00:00:00"
NV,"Las Vegas","Spring Valley","6225 Harrison St","Water Heater Pros","2017-05-04 00:00:00"
NV,"Las Vegas",Westside,,"United Garage Door","2017-05-04 00:00:00"
NV,"Las Vegas","The Strip","3799 Las Vegas Blvd S",Morimoto,"2017-05-02 00:00:00"
NV,"Las Vegas","The Strip","3400 Las Vegas Blvd S","Portofino by Chef Michael LaPlaca","2017-04-29 00:00:00"
NV,"Las Vegas",Southeast,"600 E Warm Springs Rd, Ste 180","Table 34","2017-04-29 00:00:00"
NV,"Las Vegas","The Strip","3950 S Las Vegas Blvd",Aureole,"2017-04-27 00:00:00"
NV,"Las Vegas",Downtown,"124 S 6th St, Ste 100","Carson Kitchen","2017-04-25 00:00:00"
NV,"Las Vegas","The Strip","3355 Las Vegas Blvd S","Delmonico Steakhouse","2017-04-23 00:00:00"
NV,"Las Vegas",,"4001 S Decatur Blvd, Ste 39","Metro Pizza","2017-04-22 00:00:00"
NV,Henderson,Anthem,"11261 S Eastern Ave, Ste 200","Standard & Pour","2017-04-21 00:00:00"
NV,"Las Vegas","Spring Valley","5035 S Fort Apache Rd, Ste 104","Recess Italian Ice & Desserts","2017-04-18 00:00:00"
NV,Henderson,,"2291 N Green Valley Pkwy","Sweet Addiction, Cookies & Ice Cream","2017-04-17 00:00:00"
NV,"Las Vegas",Southwest,"4830 Blue Diamond Rd, Ste 130","The Habit Burger Grill","2017-04-16 00:00:00"
NV,"Las Vegas",Eastside,"860 East Twain, Ste 102","AL's Donuts","2017-04-16 00:00:00"
NV,"Las Vegas",Southeast,"3035 E Tropicana Ave, Ste E","Homie's Cinnamon Rolls and Comfort Cafe","2017-04-16 00:00:00"
NV,"Las Vegas",Southeast,"6075 S Las Vegas Blvd","Maverick Helicopters","2017-04-06 00:00:00"
NV,"Las Vegas","The Strip","3708 Las Vegas Blvd S","RetroSpecs & Co.","2017-04-06 00:00:00"
NV,"Las Vegas","The Strip","3635 Las Vegas Blvd S","Lip Smacking Foodie Tours","2017-04-06 00:00:00"
NV,"Las Vegas","The Strip","3327 S Las Vegas Blvd","Buddy V's Ristorante","2017-04-05 00:00:00"
NV,"Las Vegas",Downtown,"508 Fremont St","Evel Pie","2017-04-04 00:00:00"
NV,"Las Vegas",Eastside,"953 E Sahara Ave, Ste E-14","Arawan Thai Bistro and Dessert","2017-04-04 00:00:00"
NV,"Las Vegas",Southeast,"500 E Windmill Ln, Ste 175","Joe Maxx Coffee","2017-04-03 00:00:00"
NV,"Las Vegas","The Strip","3799 Las Vegas Blvd S","Fiamma Trattoria & Bar","2017-03-28 00:00:00"
NV,"Las Vegas","Spring Valley","9595 W Tropicana Ave","Metro Diner","2017-03-27 00:00:00"
NV,"Las Vegas",Eastside,"4455 Paradise Rd","Oyster Bar","2017-03-08 00:00:00"
NV,Henderson,Anthem,"2505 Anthem Village Dr, Ste B","Amy's Donut Factory & Gourmet Creamery","2017-03-07 00:00:00"
NV,Henderson,,"1770 W Horizon Ridge, Ste 100",Served,"2017-03-06 00:00:00"
NV,"Las Vegas",Chinatown,"3950 Schiff Dr","Chengdu Taste","2017-03-04 00:00:00"
NV,Henderson,,"2708 N Green Valley Pkwy","Mothership Coffee Roasters","2017-03-02 00:00:00"
NV,"Las Vegas",,"8876 S Eastern Ave","Squeeze In","2017-02-28 00:00:00"
NV,"Las Vegas",Eastside,"4480 Paradise Rd","Ferraro's Italian Restaurant & Wine Bar","2017-02-27 00:00:00"
NV,"Las Vegas",Westside,"1717 S Decatur Blvd","Pierogi Cafe","2017-02-26 00:00:00"
NV,"Las Vegas",Eastside,"953 E Sahara Ave, Ste A5","Lotus of Siam","2017-02-22 00:00:00"
NV,"Las Vegas",,"7290 W Lake Mead Blvd",Yogurtland,"2017-02-21 00:00:00"
NV,"Las Vegas","South Summerlin","3555 S Town Center Dr, Ste 105","Due Forni","2017-02-20 00:00:00"
NV,"Las Vegas",Chinatown,"3400 S Jones Blvd, Ste 16","Niu-Gu Restaurant","2017-02-19 00:00:00"
NV,"Las Vegas",Westside,"3641 W Sahara Ave","Mount Everest India's Cuisine","2017-02-18 00:00:00"
NV,"Las Vegas","The Strip","3950 S Las Vegas Blvd","Libertine Social","2017-02-13 00:00:00"
NV,"North Las Vegas",,"6120 N Decatur Blvd, Ste 103","tsp. Baking Company","2017-02-12 00:00:00"
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S","BARDOT Brasserie","2017-02-06 00:00:00"
NV,"Las Vegas",Chinatown,"3934 Schiff Dr","Yunnan Garden","2017-02-04 00:00:00"
NV,"Las Vegas","Spring Valley","4460 S Durango Dr, Ste D","Donut Mania","2017-01-30 00:00:00"
NV,"Las Vegas","Spring Valley","4155 S Buffalo Dr, Ste 105","Off the Hook","2017-01-30 00:00:00"
AZ,Phoenix,,"2334 E McDowell Rd","La Barquita Restaurant","2017-01-13 00:00:00"
AZ,Phoenix,,"910 N 5th St",Melt,"2017-01-13 00:00:00"
AZ,Phoenix,,"4400 N Central Ave","Lux Central","2017-01-12 00:00:00"
AZ,Phoenix,,"3717 E Indian School Rd","Beckett's Table","2017-01-12 00:00:00"
AZ,Phoenix,,"1301 W Grand Ave","Barrio Cafe Gran Reserva","2017-01-11 00:00:00"
AZ,Phoenix,,"1535 E Buckeye Rd","Welcome Chicken + Donuts","2017-01-11 00:00:00"
NV,"Las Vegas","The Strip","3655 S Las Vegas Blvd","Beer Park","2017-01-10 00:00:00"
AZ,Phoenix,,"1526 E McDowell Rd","Ollie Vaughn's","2017-01-10 00:00:00"
NV,"Las Vegas",,"7531 W Lake Mead Blvd","Pink Box Doughnuts","2017-01-09 00:00:00"
AZ,Phoenix,,"4743 N 20th St",Tratto,"2017-01-08 00:00:00"
AZ,Phoenix,,"13623 N 32nd St","Original Breakfast House","2017-01-07 00:00:00"
