state,city,neighborhood,address,name,date
ON,Mississauga,"Port Credit","231 Lakeshore Road E","Voy Jamaican  Restaurant","2017-07-22 00:00:00"
ON,Mississauga,,"75 Annagem Blvd","Moxie's Grill & Bar","2017-07-15 00:00:00"
ON,Mississauga,,"1900 Dundas Street W","The Erin Mills Pump & Patio","2017-07-15 00:00:00"
ON,Etobicoke,Etobicoke,"876 Browns Line","Morocco House","2017-07-08 00:00:00"
ON,Toronto,Etobicoke,"664 The Queensway","Luci Restaurant","2017-07-03 00:00:00"
ON,Etobicoke,Etobicoke,"3795 Lake Shore Boulevard W","Woody's Burger Bar and Grill","2017-06-30 00:00:00"
ON,Mississauga,Summerville,"1425 Dundas Street E, Suite 3","JAM House Seafood Restaurant","2017-06-20 00:00:00"
ON,Markham,,"10801 McCowan Road","Markham Fair Grounds","2017-06-20 00:00:00"
ON,Whitchurch-Stouffville,,"6236 Main Street","Main Street Bakehouse","2017-06-20 00:00:00"
ON,Etobicoke,Etobicoke,"3575 Lake Shore Boulevard W","George the Greek","2017-06-09 00:00:00"
ON,Mississauga,,"77 City Centre Dr, 100","YEE: A Night In New Orleans @ Ruth's Chris Mississauga","2017-06-06 00:00:00"
ON,Mississauga,"Erin Mills","2385 Burnhamthorpe Road W","Brasas Churrasqueira Rotisserie & Grill","2017-06-03 00:00:00"
ON,Mississauga,,"780 Burnhamthorpe Road W, Unit 2A","Sugar Marmalade","2017-05-30 00:00:00"
ON,Toronto,Yorkville,"874 Yonge Street","FAT Lamb Kouzina","2017-05-28 00:00:00"
ON,Mississauga,,"6660 Kennedy Road, Unit 1","Ricks Good Eats","2017-05-26 00:00:00"
ON,Markham,,"7010 Warden Avenue, Unit 17-18","Yin Ji Chang Fen","2017-05-23 00:00:00"
NV,"Las Vegas","The Strip","3377 S Las Vegas Blvd, Ste 2410","Mercato Della Pescheria","2017-05-19 00:00:00"
ON,Mississauga,"East Credit","815 Britannia Road W, Unit 2","Heart Sushi","2017-05-18 00:00:00"
NV,"Las Vegas",Southeast,"7400 Las Vegas Blvd S","Las Vegas South Premium Outlets","2017-05-16 00:00:00"
NV,"Las Vegas",Downtown,"875 S Grand Central Pkwy","Las Vegas North Premium Outlets","2017-05-16 00:00:00"
NV,"Las Vegas","Spring Valley","3455 S Durango Dr, Ste 112","La Maison de Maggie","2017-05-16 00:00:00"
NV,"Las Vegas",Downtown,"875 South Grand Central Pkwy, Unit 1258","Amorino Gelato","2017-05-16 00:00:00"
NV,"Las Vegas","The Strip","3049 S Las Vegas Blvd","Tacos El Gordo","2017-05-15 00:00:00"
NV,"Las Vegas",,"5255 S Decatur Blvd, Ste 107","The Patio Desserts & Drinks","2017-05-15 00:00:00"
NV,Henderson,,"460 N Stephanie St",Chick-fil-A,"2017-05-15 00:00:00"
NV,"Las Vegas",Southeast,"5757 Wayne Newton Blvd","Centurion Club By American Express","2017-05-15 00:00:00"
NV,"Las Vegas","The Strip","3570 S Las Vegas Blvd","Bacchanal Buffet","2017-05-15 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-05-15 00:00:00"
ON,"North York",,"Yorkdale Mall, 3401 Dufferin St",Zara,"2017-05-09 00:00:00"
ON,Toronto,Etobicoke,"3319 Bloor Street  W",Bonimi,"2017-05-06 00:00:00"
ON,Mississauga,,"1177 Central Parkway W","Owl of Minerva","2017-04-28 00:00:00"
ON,Mississauga,,"5083 Dixie Road",Osmow's,"2017-04-26 00:00:00"
ON,Toronto,Roncesvalles,"67 Roncesvalles Avenue","Sushi Nomi","2017-04-22 00:00:00"
ON,Etobicoke,Etobicoke,"374 Royal York Road","Sanremo Bakery","2017-04-14 00:00:00"
ON,Mississauga,Summerville,"1607 Dundas Street E","The Brick","2017-04-14 00:00:00"
ON,Mississauga,,"2970 Drew Rd, Unit 101","Swagruhas Dosa Home","2017-04-12 00:00:00"
ON,Toronto,Scarborough,"3517 Kennedy Road, Unit 1","Fat Ninja Bite","2017-04-08 00:00:00"
ON,Markham,,"3160 Steeles Avenue E, Unit 5B","Sasaki Fine Pastry","2017-04-08 00:00:00"
ON,Toronto,,"95 Ronald Avenue",Ginger's,"2017-04-05 00:00:00"
ON,Mississauga,,"1100 Dundas Street W","Sally Lee Hair Unisex","2017-04-04 00:00:00"
ON,Mississauga,Summerville,"1825 Dundas Street E","End of the Roll","2017-04-03 00:00:00"
ON,Etobicoke,Etobicoke,"3455 Lakeshore Boulevard W","850 Degrees","2017-04-02 00:00:00"
ON,Oakville,,"234 Kerr Street","Agabi Cuisine","2017-04-01 00:00:00"
ON,"Richmond Hill",,"328 Highway 7 E","Lucullus Bakery","2017-03-31 00:00:00"
ON,Mississauga,"East Credit","660 Eglinton Avenue W","My Pho","2017-03-30 00:00:00"
ON,Mississauga,"East Credit","5348 Mavis Road",Lowe's,"2017-03-30 00:00:00"
ON,Mississauga,Dixie,"1225 Dundas Street E, Suite 14B","Corner By Spoon and Fork","2017-03-28 00:00:00"
ON,Etobicoke,Etobicoke,"1840 The Queensway",Homesense,"2017-03-27 00:00:00"
ON,Etobicoke,Etobicoke,"1950 The Queensway","Saks OFF 5TH","2017-03-27 00:00:00"
ON,Mississauga,,"50 Matheson Boulevard","Highland Farms","2017-03-23 00:00:00"
ON,Oakville,,"478 Dundas Street W, Unit 7","Big Wolf's Deli Sandwiches","2017-03-21 00:00:00"
ON,Mississauga,,"80 Courtneypark Drive E, Unit K2","Twin Fish Thai Cuisine","2017-03-17 00:00:00"
ON,Toronto,Etobicoke,"25 The West Mall","The Keg Steakhouse + Bar","2017-03-11 00:00:00"
ON,Toronto,Etobicoke,"1606-25 The West Mall",Starbucks,"2017-03-11 00:00:00"
ON,Mississauga,"Erin Mills","2933 Eglinton Avenue W","Nations Fresh Foods","2017-03-05 00:00:00"
ON,Oakville,,"2530 Winston Park Drive Unit B1, Unit B1","Chipotle Mexican Grill","2017-03-04 00:00:00"
ON,Mississauga,"Erin Mills","3025 Woodchester Drive","Erin Mills Acura","2017-03-04 00:00:00"
ON,Mississauga,,"1065 Canadian Place, Unit 133","Smilez Jamaican Restaurant","2017-03-02 00:00:00"
ON,Mississauga,Summerville,"1475 Dundas Street E","Value Village","2017-03-02 00:00:00"
ON,Mississauga,"East Credit","6020 Hurontario Street",Starbucks,"2017-03-01 00:00:00"
ON,Mississauga,,"155 Sq One Dr","Whole Foods Market","2017-02-26 00:00:00"
ON,Mississauga,"East Credit","720 Bristol Road W","Hinote Sushi Restaurant","2017-02-25 00:00:00"
ON,Toronto,"Entertainment District","11 Charlotte St","Khao San Road","2017-02-25 00:00:00"
ON,Mississauga,,"4040 Creditview Road","Wonton Chai Noodle","2017-02-20 00:00:00"
ON,Mississauga,"East Credit","5900 Rodeo Drive","Costco Wholesale","2017-02-17 00:00:00"
ON,Mississauga,"East Credit","5935 Mavis Rd","Adidas Canada Heartland","2017-02-16 00:00:00"
ON,Brampton,,"8 Strathearn Ave, Ste 11","Taste Of Punjab","2017-02-14 00:00:00"
ON,Mississauga,,"100 City Centre Drive",Chatime,"2017-02-12 00:00:00"
ON,Toronto,Etobicoke,"4941 Dundas Street W",Insadong,"2017-02-12 00:00:00"
ON,Mississauga,"Lorne Park","1107 Lorne Park Rd","Tu Casa Fine Dining","2017-02-06 00:00:00"
ON,Mississauga,Birchwood,"1715 Lakeshore Road W","Michael's Back Door Restaurant","2017-01-31 00:00:00"
ON,Toronto,"Downtown Core","220 Yonge Street",Uniqlo,"2017-01-28 00:00:00"
ON,Toronto,"Entertainment District","126 John Street",Marshall's,"2017-01-28 00:00:00"
ON,Toronto,"Downtown Core","105 McCaul Street, Unit 29-31","Manpuku Japanese Eatery","2017-01-28 00:00:00"
ON,Toronto,Ryerson,"10 Dundas Street E",Winners,"2017-01-28 00:00:00"
ON,Mississauga,"East Credit","660 Eglinton Avenue W, Suite 5B","Masala Bites","2017-01-27 00:00:00"
ON,Mississauga,,"Golden Square Centre, 1177 Central Parkway W, Suite 9","The Fritter King","2017-01-23 00:00:00"
ON,Etobicoke,Etobicoke,"50 Queen Elizabeth Boulevard",Costco,"2017-01-22 00:00:00"
ON,Mississauga,,"5165 Dixie Road","The Belfast Lounge","2017-01-21 00:00:00"
ON,Mississauga,Birchwood,"1731 Lakeshore Road W","Clarkson Mediterranean Bistro","2017-01-19 00:00:00"
ON,Mississauga,"East Credit","1201 Britannia Road W, Unit 2","Thai Rice","2017-01-18 00:00:00"
ON,Toronto,Scarborough,"3517 Kennedy Road, Unit 3","Nichiban Sushi4U","2017-01-16 00:00:00"
ON,Mississauga,Dixie,"1492 Dundas Street E, Unit 1","Crabby Joe's Tap and Grill","2017-01-13 00:00:00"
ON,Oakville,,"2501 Hampshire Gate","Galleria Supermarket","2017-01-07 00:00:00"
ON,Toronto,,"276 Jane Street","Los Arrieros","2017-01-04 00:00:00"
ON,Toronto,"Brockton Village","1319 Bloor Street W","Value Village","2017-01-04 00:00:00"
ON,Oakville,,"2431 Trafalgar Rd","HomeSense and Winners","2017-01-02 00:00:00"
ON,Mississauga,,"720 Burnhamthorpe Road W, Unit 1","Kenzo Ramen","2016-12-31 00:00:00"
ON,Mississauga,,"325 Central Parkway W, Unit 2 & 4","Foodie North","2016-12-30 00:00:00"
ON,Toronto,,"3401 Dufferin Street, Unit 500",Nordstrom,"2016-12-29 00:00:00"
ON,Toronto,,"1 Yorkdale Road","Dine on 3 - Yorkdale Mall Food Court","2016-12-29 00:00:00"
ON,Mississauga,,"777 Dundas Street W","Oil Changers","2016-12-29 00:00:00"
ON,Toronto,,"3401 Dufferin Street, Yorkdale Mall","Mii Sandwich Co.","2016-12-29 00:00:00"
ON,Toronto,,"Yorkdale Shopping Center, 3401 Dufferin St at Highway 401","Louis Vuitton Toronto Holt Renfrew Yorkdale","2016-12-29 00:00:00"
ON,Mississauga,,"1170 Burnhamthorpe Road W","Nuri Village","2016-12-26 00:00:00"
ON,Mississauga,,"315 Traders Boulevard E, Unit 5","Charlotte's Homemade Goodies","2016-12-17 00:00:00"
ON,Scarborough,Scarborough,"1823 Lawrence Ave E","Shawarma Empire","2016-12-12 00:00:00"
ON,Toronto,"Downtown Core","260 Yonge Street",Nordstrom,"2016-12-10 00:00:00"
ON,Toronto,"Alexandra Park","420 Queen Street W",Pokito,"2016-12-10 00:00:00"
ON,Toronto,"West Queen West",,"Lip Lab by Bite","2016-12-10 00:00:00"
ON,Mississauga,,"100 City Centre Drive","Apple Store","2016-12-08 00:00:00"
ON,Mississauga,,"90 Courtneypark Drive E","Mi'hito Sushi Laboratory","2016-12-07 00:00:00"
ON,Toronto,Etobicoke,"Sherway Gardens, 25 The West Mall, Suite 1210",Sephora,"2016-12-06 00:00:00"
ON,Etobicoke,Etobicoke,"Sherway Gardens, 25 The West Mall,","Sporting Life","2016-12-04 00:00:00"
ON,Toronto,,"5555 Eglinton Avenue W, Unit 110","Palmyra Mediterranean House","2016-12-03 00:00:00"
ON,Mississauga,Cooksville,"60 Dundas Street E, Unit 5A","Pho Lam","2016-12-03 00:00:00"
ON,Mississauga,Cooksville,"2580 Shepard Avenue","Semi Fast Food Korean Restaurant","2016-11-30 00:00:00"
