state,city,neighborhood,address,name,date
NV,"Las Vegas",Eastside,"325 Hughes Center Dr","Bandito Latin Kitchen & Cantina","2017-06-15 00:00:00"
NV,"Las Vegas",Southeast,"8880 S Maryland Pkwy","Tables Board Game Spot","2017-06-14 00:00:00"
NV,"Las Vegas","Spring Valley","5105 S Ft Apache, Ste 110","Infused Tea Lounge","2017-06-12 00:00:00"
NV,"Las Vegas","Spring Valley","9595 W Tropicana Ave","Metro Diner","2017-06-12 00:00:00"
NV,"Las Vegas",Downtown,"927 Fremont St","The Kitchen at Atomic","2017-06-12 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S, Ste 1132","RA Sushi Bar Restaurant","2017-05-23 00:00:00"
NV,"Las Vegas",Westside,"9921 W Charleston Blvd","The Cracked Egg","2017-03-23 00:00:00"
NV,"Las Vegas","South Summerlin","10955 Oval Park Dr, Ste D3","Wolfgang Puck Bar & Grill Summerlin","2017-03-19 00:00:00"
NV,"Las Vegas",Westside,"238 S Rainbow Blvd","Toddy Shop","2017-03-13 00:00:00"
NV,"Las Vegas",Southeast,"3130 E Sunset Rd","Table Thai Bar & Bistro","2017-03-11 00:00:00"
NV,"Las Vegas",Chinatown,"3950 Schiff Dr","Chengdu Taste","2017-03-11 00:00:00"
NV,Henderson,,"65 S Stephanie St","HI-Scores Bar-Arcade","2017-02-26 00:00:00"
NV,"Las Vegas",Centennial,"7570 Norman Rockwell Ln","Streets of New York","2016-12-28 00:00:00"
NV,"Las Vegas",Southeast,"6885 S Las Vegas Blvd","Total Wine & More","2016-12-26 00:00:00"
NV,"Las Vegas","The Strip","300 W Sahara Ave","Pearl Ocean","2016-12-24 00:00:00"
NV,"Las Vegas",Downtown,"508 Fremont St","Evel Pie","2016-12-22 00:00:00"
NV,"Las Vegas",,"7591 West Washington Ave, Ste 110",Cinnamon's,"2016-12-22 00:00:00"
NV,"Las Vegas",Downtown,"124 S 6th St","Bocho Sushi","2016-12-22 00:00:00"
NV,Henderson,,"1275 W Warm Springs Rd, Ste 160","The Great Greek","2016-12-22 00:00:00"
NV,"Las Vegas","The Strip","3663 S Las Vegas Blvd, Ste 360C","Zombie Burlesque","2016-12-05 00:00:00"
NV,"Las Vegas","The Lakes","8615 W Sahara Ave","Chef Marc's Trattoria","2016-12-05 00:00:00"
NV,"Las Vegas","South Summerlin","10965 Lavender Hill Dr","Menchie's Frozen Yogurt","2016-11-13 00:00:00"
NV,"Las Vegas",Chinatown,"3939 W Spring Mountain Rd","The Golden Tiki","2016-11-02 00:00:00"
NV,"Las Vegas",Downtown,"450 Fremont St, Ste 135","Banger Brewing","2016-11-02 00:00:00"
NV,Henderson,,"724 W Sunset Rd","Penn's Thai House","2016-10-22 00:00:00"
NV,"Las Vegas",Eastside,"4480 Paradise Rd","Azuza Hookah Lounge & Cafe","2016-10-21 00:00:00"
NV,"Las Vegas",,"6820 W Flamingo Rd, Ste A","D' Pinoy Joint","2016-10-21 00:00:00"
NV,"Las Vegas",,"2411 W Sahara Ave","Oyster Bar","2016-10-21 00:00:00"
NV,"Las Vegas",Eastside,"1350 East Flamingo Rd, Unit 15B","Itea Boba & Dessert","2016-10-21 00:00:00"
