state,city,neighborhood,address,name,date
AZ,Tempe,,"400 E Rio Salado Pkwy","Matt's Big Breakfast","2017-07-21 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd","Harkins Camelview at Fashion Square","2017-07-15 00:00:00"
AZ,Scottsdale,,"7135 E Camelback Rd, Ste 173","18|8 Fine Men's Salons - Water Front","2017-07-11 00:00:00"
AZ,Phoenix,,"907 N 14th St","Rito's Mexican Food","2017-06-08 00:00:00"
AZ,Phoenix,,"111 W Monroe St, Ste 131","Downtown Phoenix Dental","2017-06-08 00:00:00"
AZ,Mesa,,"1450 S Country Club Dr","Carolina's Mexican Food Mesa","2017-05-25 00:00:00"
AZ,Scottsdale,,"2928 N 68th St","Zizzo Tailor Design Boutique","2017-05-24 00:00:00"
AZ,Scottsdale,,"814 N Hayden Rd","Hayden Road Animal Hospital","2017-05-20 00:00:00"
AZ,Scottsdale,,"6137 North Scottsdale Rd, Ste 102","MAD Greens - Hilton Village","2017-05-17 00:00:00"
AZ,Scottsdale,,"2301 N Scottsdale Rd, Ste 600","Discount Tire Store - Scottsdale, AZ","2017-05-13 00:00:00"
AZ,Scottsdale,,"7120 E Becker Ln","Il Bosco Pizza","2017-05-12 00:00:00"
AZ,Scottsdale,,"7141 E Lincoln Dr","AJ's Fine Foods","2017-05-11 00:00:00"
AZ,Chandler,,"2090 South Arizona Ave","Cobblestone Auto Spa","2017-05-08 00:00:00"
AZ,Chandler,,"2580 W Chandler Blvd","NYPD Pizza","2017-05-07 00:00:00"
AZ,Scottsdale,,"7620 E McKellips Rd","Mucha Lucha Taco Shop","2017-05-05 00:00:00"
AZ,Scottsdale,,"7120 E Becker Ln","Il Bosco Pizza","2017-04-22 00:00:00"
AZ,Mesa,,"2024 S Don Carlos","Assured Tax Service","2017-04-14 00:00:00"
AZ,Chandler,,"4040 S Arizona Ave, Ste 17","Rita's Burritos","2017-04-08 00:00:00"
AZ,Chandler,,"1085 W Queen Creek Rd, Ste 1","Pei Wei","2017-04-02 00:00:00"
AZ,Scottsdale,,"7120 E Becker Ln","Il Bosco Pizza","2017-03-31 00:00:00"
AZ,Tempe,,"3141 S McClintock Dr, Unit 13","Johnny's Burgers & Dogs","2017-03-24 00:00:00"
AZ,Scottsdale,,"814 N Hayden Rd","Hayden Road Animal Hospital","2017-03-22 00:00:00"
AZ,Scottsdale,,"7120 E Becker Ln","Il Bosco Pizza","2017-03-21 00:00:00"
AZ,Scottsdale,,"7001 N Scottsdale Rd, Ste 171","Wildflower Bread Company","2017-03-17 00:00:00"
AZ,Scottsdale,,"2334 N Scottsdale Rd, Ste A133","Defalco's Italian Grocery","2017-03-15 00:00:00"
AZ,Tempe,,"400 E Rio Salado Pkwy","Matt's Big Breakfast","2017-03-10 00:00:00"
AZ,Scottsdale,,"1800 N Scottsdale Rd","Paul's Ace Hardware - Scottsdale","2017-03-09 00:00:00"
AZ,Scottsdale,,"7770 E Mcdowell Rd","Fry's & Fry's Marketplace","2017-02-27 00:00:00"
AZ,Scottsdale,,"2334 N Scottsdale Rd, Ste A133","Defalco's Italian Grocery","2017-02-25 00:00:00"
AZ,Phoenix,,"4502 E Oak St",Costco,"2017-02-24 00:00:00"
AZ,Phoenix,,"2929 W Thunderbird Rd","Lowe's Home Improvement","2017-02-21 00:00:00"
AZ,Phoenix,,"2929 W Thunderbird Rd","Lowe's Home Improvement","2017-02-21 00:00:00"
AZ,Phoenix,,"907 N 14th St","Rito's Mexican Food","2017-01-25 00:00:00"
AZ,Scottsdale,,"7777 E Indian School Rd","Wag N' Wash Healthy Pet Center","2017-01-25 00:00:00"
AZ,Scottsdale,,"8449 E McDonald Dr","Paul's Ace Hardware - Scottsdale","2017-01-24 00:00:00"
AZ,Scottsdale,,"9619 N Hayden Rd","Noci Cafe","2017-01-07 00:00:00"
AZ,Scottsdale,,"2902 N 68th St","Domino's Pizza","2017-01-03 00:00:00"
AZ,Scottsdale,,"2902 N 68th St","Domino's Pizza","2017-01-03 00:00:00"
AZ,Chandler,,"7131 W Ray Rd","Aj's Purveyor of Fine Foods","2016-12-31 00:00:00"
AZ,Scottsdale,,"3370 N Hayden Rd, Ste 123","The UPS Store","2016-12-30 00:00:00"
AZ,Scottsdale,,"6113 N Scottsdale Rd","Houston's Restaurant","2016-12-28 00:00:00"
AZ,Phoenix,,"4502 E Oak St",Costco,"2016-12-21 00:00:00"
AZ,Chandler,,"1949 W Ray Rd","Pita Jungle","2016-12-15 00:00:00"
AZ,Scottsdale,,"3800 N Goldwater Blvd","Cornish Pasty Company","2016-12-12 00:00:00"
AZ,Scottsdale,,"7120 E Becker Ln","Il Bosco Pizza","2016-12-10 00:00:00"
AZ,Chandler,,"1949 W Ray Rd","Pita Jungle","2016-12-05 00:00:00"
AZ,Scottsdale,,"7120 E Becker Ln","Il Bosco Pizza","2016-12-03 00:00:00"
AZ,Phoenix,,"3630 E Indian School Rd","Pie Snob","2016-11-23 00:00:00"
AZ,Phoenix,,"4502 E Oak St",Costco,"2016-11-22 00:00:00"
AZ,Phoenix,,"4635 E Cactus Rd","HoneyBaked Ham","2016-11-22 00:00:00"
AZ,Scottsdale,,"7141 E Lincoln Dr","AJ's Fine Foods","2016-11-22 00:00:00"
AZ,Scottsdale,,"7777 E Indian School Rd","Wag N' Wash Healthy Pet Center","2016-11-21 00:00:00"
AZ,Chandler,,"3111 West Chandler Blvd",Gap,"2016-11-21 00:00:00"
AZ,Scottsdale,,"7373 E Scottsdale Mall","The Blue Moose","2016-11-21 00:00:00"
AZ,Chandler,,"7131 W Ray Rd, Ste 7","Zoes Kitchen","2016-11-21 00:00:00"
AZ,Tempe,,"1900 East Rio Salado Parkway","Nordstrom Rack","2016-11-21 00:00:00"
AZ,Chandler,,"1949 W Ray Rd","Valle Luna Mexican Restaurant","2016-11-21 00:00:00"
AZ,Gilbert,,"344 N Gilbert Rd",Zinburger,"2016-11-20 00:00:00"
