state,city,neighborhood,address,name,date
QC,Montréal,"Rosemont-La Petite-Patrie","38 Rue Beaubien E",Gus,"2017-06-13 00:00:00"
QC,Montréal,Côte-des-Neiges,"5557A Cote-des-Neiges","Cuisine AuntDai","2017-06-07 00:00:00"
QC,Montréal,Ville-Marie,"1236 Rue Mackay, Suite 101","Chez Bong","2017-06-06 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"4801 Boulevard Saint-Laurent","HarBin Dumpling","2017-06-01 00:00:00"
QC,Montréal,Notre-Dame-de-Grâce,"2100 Avenue Marlowe","Complexe de Santé Reine Elizabeth","2017-05-31 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"454 Rue Jean-Talon Ouest","Restaurant India's Oven","2017-05-30 00:00:00"
QC,Saint-Laurent,Saint-Laurent,"6305 Boulevard Henri-Bourassa Ouest","Pépinière Jasmin","2017-05-29 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"5042 Boulevard Saint-laurent","V de V Maison","2017-05-25 00:00:00"
QC,Montréal,Ville-Marie,"10 Sherbrooke O","Hotel 10","2017-05-17 00:00:00"
QC,Montréal,Ville-Marie,"1388 Boulevard  Maisonneuve O",Notre-Boeuf-de-Grâce,"2017-05-15 00:00:00"
QC,Westmount,Ville-Marie,"4124 Rue Saint-Catherines O","Brasserie Lucilles","2017-05-03 00:00:00"
QC,Montréal,Ville-Marie,"1218 Rue Sainte-Catherine E","Le Date","2017-05-02 00:00:00"
QC,Montréal,"Rosemont-La Petite-Patrie","156 Rue de Saint-Zotique Est","Trou de Beigne","2017-05-01 00:00:00"
QC,Montréal,"Rosemont-La Petite-Patrie","177 Rue Beaubien E","JP Grimard","2017-04-28 00:00:00"
QC,Montréal,Ville-Marie,"Rue Saint Vincent","The Coldroom","2017-04-27 00:00:00"
QC,Montréal,"Rosemont-La Petite-Patrie","329 Beaubien Est","Fruiterie Natura","2017-04-27 00:00:00"
QC,Montréal,Ville-Marie,"464 Rue McGill",Lov,"2017-04-25 00:00:00"
QC,Montréal,Ville-Marie,"2044 Rue Metcalfe","Cheap Thrills","2017-04-21 00:00:00"
QC,Montréal,Ville-Marie,"1327 Rue Sainte-Catherine E","Cuisine Bangkok","2017-04-20 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"5240 avenue au Parc","Théâtre Fairmount","2017-04-12 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"5175A Avenue du Parc","Résonance Café","2017-04-07 00:00:00"
QC,Montréal,Côte-des-Neiges,"5335 Chemin Queen Mary","Jumak Cuisine Coréenne","2017-04-05 00:00:00"
QC,Montréal,Ville-Marie,"2159 Rue Mackay","Schlouppe Bistrot Nakamichi","2017-04-04 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"1453 Ave Mont Royal Est","Chez Victoire","2017-03-27 00:00:00"
QC,Dorval,Dorval,"12 Boulevard Albert de Niverville, Airport US Destinations","Hurleys At Yul","2017-03-15 00:00:00"
QC,Montréal,Ville-Marie,"1210 Rue Peel","McLean's Pub","2017-03-14 00:00:00"
QC,Montréal,Notre-Dame-de-Grâce,"5100 Sherbrooke W","Chicha Restaurant","2017-03-13 00:00:00"
QC,Montréal,"Rosemont-La Petite-Patrie","6576 Boulevard Saint-laurent",Cafeden,"2017-03-10 00:00:00"
QC,Montréal,Ville-Marie,"1426 Rue Bishop","McKibbin's Irish Pub","2017-03-09 00:00:00"
