state,city,neighborhood,address,name,date
ON,Vaughan,,"2610 Rutherford Road",Denny's,"2017-07-25 00:00:00"
ON,"Richmond Hill",,"115 York Boulevard, Unit 9","Whiff Waff Bar & Lounge","2017-07-18 00:00:00"
ON,Toronto,Harbourfront,"245 Queens Quay W","Amsterdam BrewHouse","2017-07-14 00:00:00"
ON,Toronto,"The Annex","372 Bloor Street W","Kenzo Ramen Bloor","2017-07-12 00:00:00"
ON,Markham,Unionville,"4568 Highway 7, Unit 3","Black Bear Japanese Fusion","2017-07-12 00:00:00"
ON,Woodbridge,,"21 Colossus Dr","Shoeless Joe's Sports Grill - Vaughan","2017-07-06 00:00:00"
ON,Toronto,"Bloor-West Village","2202 Bloor St W","The Yellow Griffin","2017-07-05 00:00:00"
ON,Brampton,,"46 Main Street N","T By Daniel","2017-06-28 00:00:00"
ON,Brampton,,"90 Maritime Ontario Boulevard, Unit 61","Ital Sandwiches","2017-06-27 00:00:00"
ON,Newmarket,,"352 Doug Duncan Drive, Unit 2","Ground Burger Bar","2017-06-20 00:00:00"
ON,Vaughan,,"2901 Major Mackenzie Drive W, Unit C-2","Firehouse Subs","2017-06-20 00:00:00"
ON,Vaughan,,"2901 Major Mackenzie Drive W, Unit C-2","Firehouse Subs","2017-06-19 00:00:00"
ON,Mississauga,"Port Credit","104 Lakeshore Road E","The Works","2017-06-16 00:00:00"
ON,Vaughan,"Pine Grove","3560 Rutherford Road, Unit 42","Allyson Tang Optometrist","2017-06-14 00:00:00"
ON,Etobicoke,Etobicoke,"165 N Queen Street",Wal-Mart,"2017-06-13 00:00:00"
ON,Toronto,Etobicoke,"130 24th Street","DNA Systems","2017-06-12 00:00:00"
ON,Mississauga,Streetsville,"63 Queen Street S","Door Fifty Five","2017-06-08 00:00:00"
ON,Markham,Unionville,"179 Enterprise Boulevard, Unit M-109","Good Catch Boil House","2017-06-01 00:00:00"
ON,Mississauga,,"6039 Erin Mills Parkway","Aunty's Kitchen","2017-05-31 00:00:00"
ON,Vaughan,,"65-3540 Rutherford Road","Ay Caramba, Eh","2017-05-25 00:00:00"
ON,Toronto,,"11 Polson Street",REBEL,"2017-05-19 00:00:00"
ON,Mississauga,"Rockwood Village","2069 Burnhamthorpe Rd E","Sheridan Nurseries Etobicoke","2017-05-18 00:00:00"
ON,Markham,Unionville,"60 Main Street N","Main St Greek","2017-05-17 00:00:00"
ON,Mississauga,"Port Credit","331 Lakeshore Road E","La Villa Fine Foods and Bakery","2017-05-17 00:00:00"
ON,Markham,Greensborough,"9275 Markham Road, Unit 7","Funky Munky Cafe","2017-05-15 00:00:00"
ON,Oakville,,"94 George Street","Piazza Bistro","2017-05-12 00:00:00"
ON,Markham,Unionville,"8339 Kennedy Road, Unit 2710","Plant It","2017-05-12 00:00:00"
ON,Woodbridge,,"27 Director Court","Launch-the New Golf Game","2017-05-09 00:00:00"
ON,Mississauga,"Port Credit","61 Lakeshore Road E","Hermanos Mexican Grill","2017-05-05 00:00:00"
ON,Toronto,Parkdale,"160 Springhurst Avenue","Harry's Char Broil & Dining Lounge","2017-05-04 00:00:00"
ON,Mississauga,"Port Credit","111 Lakeshore Road W","Captain Robins Family Restaurant","2017-05-02 00:00:00"
ON,Ajax,,"338 Rossland Rd E","Symposium Cafe Restaurant & Lounge","2017-05-01 00:00:00"
ON,Toronto,"Ossington Strip","136 Ossington Avenue","Reposado Bar & Lounge","2017-04-27 00:00:00"
ON,Markham,"Brown's Corners","3623 Highway 7 E, Unit 112","Mindzai Flagship Store","2017-04-25 00:00:00"
ON,Toronto,"Downtown Core","33 Queen Street East","Green P Parking","2017-04-20 00:00:00"
ON,Mississauga,,"50 Burnhamthorpe Road W","Bibab Express","2017-04-17 00:00:00"
ON,Toronto,"West Queen West","714 Queen Street W",Cumbraes,"2017-04-13 00:00:00"
ON,Toronto,Niagara,"684 Queen Street W","Warby Parker","2017-04-10 00:00:00"
ON,Etobicoke,Etobicoke,"1500 Royal York Road","Pizza Nova","2017-04-06 00:00:00"
ON,Toronto,"Ossington Strip","93a Ossington Avenue","Bang Bang Ice Cream and bakery","2017-04-05 00:00:00"
ON,Mississauga,,"6660 Kennedy Road, Unit 1","Ricks Good Eats","2017-04-05 00:00:00"
ON,Pickering,,"1725 Kingston Road, Unit 1","Kips Flamin Burgers","2017-04-01 00:00:00"
ON,Vaughan,,"2620 Rutherford Road","Sparks Premium Grill + Bar","2017-03-28 00:00:00"
ON,Toronto,Etobicoke,"3730 Lakeshore Boulevard West","Jeff, Rose & Herb's No Frills","2017-03-27 00:00:00"
ON,Vaughan,Concord,"11-7777 Keele Street","Hank Daddy's Barbecue","2017-03-24 00:00:00"
ON,Mississauga,,"100 City Centre Drive","Jamie's Italian Square One","2017-03-21 00:00:00"
ON,Toronto,Etobicoke,"25 The West Mall",Pinkberry,"2017-03-20 00:00:00"
ON,Vaughan,,"3-1033 Edgeley Boulevard","Lake Wilcox Brewing Co","2017-03-16 00:00:00"
ON,Vaughan,,"3-1033 Edgeley Boulevard","Lake Wilcox Brewing Co","2017-03-16 00:00:00"
ON,Toronto,"Entertainment District","284 King Street W","Roxy On King","2017-03-10 00:00:00"
ON,Toronto,Etobicoke,"3367 Lakeshore Boulevard W","My Petropolis","2017-03-10 00:00:00"
ON,Brampton,,"14 Main Street S","Pho Viet Nam Restaurant","2017-03-08 00:00:00"
ON,Markham,Unionville,"8080 Birchmount Road","Pride Of Canada Carousel","2017-03-03 00:00:00"
ON,Toronto,Etobicoke,"835 Kipling Avenue","La Tortilleria","2017-03-03 00:00:00"
ON,Mississauga,,"4040 Creditview Road, Unit 25","Chilli Chicken House","2017-03-01 00:00:00"
ON,Mississauga,,"4040 Creditview Road, Unit 24","Bubble Republic Tea House","2017-03-01 00:00:00"
ON,Toronto,"Downtown Core","460 King Street W","Quantum Coffee","2017-02-17 00:00:00"
ON,Toronto,"Downtown Core","460 King Street W","Quantum Coffee","2017-02-17 00:00:00"
ON,Maple,,"3991 Major Mackenzie Drive",Spizzico,"2017-02-10 00:00:00"
AZ,Scottsdale,,"7301 E Indian Plz",Dakota,"2017-02-08 00:00:00"
ON,Vaughan,,"6110 Hwy 7","Fionn MacCool's Irish Pub","2017-02-02 00:00:00"
ON,Toronto,,"11-865 York Mills Road","Galleria Supermarket","2017-02-01 00:00:00"
ON,Mississauga,"Port Credit","152 Lakeshore Road E","Buddha Bowls","2017-02-01 00:00:00"
ON,Woodbridge,,"2 Tall Grass Trail, Suite 4","That's Italian Ristorante","2017-01-30 00:00:00"
ON,Toronto,Etobicoke,"5247 Dundas St W","45 Kipling Bus","2017-01-27 00:00:00"
AZ,Scottsdale,,"7217 E 1st St","Bootleggers Modern American Smokehouse","2017-01-26 00:00:00"
ON,Toronto,,"485 King Street W",Baro,"2017-01-24 00:00:00"
ON,Toronto,"Downtown Core","18 Elm Street","Elmwood Spa","2017-01-23 00:00:00"
ON,Markham,Unionville,"179 Enterprise Boulevard, Suite 169","Cineplex Cinemas Markham","2017-01-19 00:00:00"
