state,city,neighborhood,address,name,date
ON,Mississauga,,"3111 Convair Drive","Toronto Pearson International Airport","2016-09-26 00:00:00"
NC,Pineville,,"9530 Pineville Matthews Rd","Jared's Galleria of Jewelry","2014-06-24 00:00:00"
ON,Toronto,"Downtown Core",,Toronto,"2014-05-09 00:00:00"
NC,Charlotte,,"215 Southside Dr","The Olde Mecklenburg Brewery","2014-02-17 00:00:00"
NC,Charlotte,"Steele Creek","14523 Carowinds Blvd",Carowinds,"2014-02-12 00:00:00"
NC,Charlotte,"South Park","4400 Sharon Rd",Coach,"2014-02-12 00:00:00"
NC,Pineville,,"10415 Centrum Pkwy","Comfort Suites","2013-11-04 00:00:00"
NC,Charlotte,,"5501 Josh Birmingham Pkwy","Charlotte Douglas International Airport","2013-11-04 00:00:00"
NC,Pineville,,"10610 Centrum Pkwy","Jason's Deli","2013-10-20 00:00:00"
NC,Pineville,,"10500 Centrum Pkwy",Kmart,"2013-10-20 00:00:00"
NC,Pineville,,"10917 Carolina Place Pkwy","Taco Bell","2013-10-20 00:00:00"
NC,Pineville,,"9530 Pineville Matthews Rd","Jared's Galleria of Jewelry","2013-10-20 00:00:00"
NC,Charlotte,"Steele Creek","14523 Carowinds Blvd",Carowinds,"2013-10-20 00:00:00"
NC,Charlotte,,"8500 Pineville Matthews Rd",Nakato,"2013-10-20 00:00:00"
NC,Charlotte,,"7725 Pineville Matthews Rd","Jack In the Box","2013-10-20 00:00:00"
NC,Charlotte,"South Park","4400 Sharon Rd",SouthPark,"2013-10-20 00:00:00"
NC,Charlotte,"South Park","4400 Sharon Rd",Coach,"2013-10-20 00:00:00"
NC,Charlotte,,"215 Southside Dr","The Olde Mecklenburg Brewery","2013-10-20 00:00:00"
NC,Charlotte,"South Park","4310 Sharon Rd, Ste X05","The Cowfish Sushi Burger Bar","2013-10-20 00:00:00"
NC,Pineville,,"10020 Pineville Matthews Rd","Rite Aid","2013-10-20 00:00:00"
NC,Pineville,,"11025 Carolina Place Pkwy","Carolina Place Mall","2013-10-20 00:00:00"
NC,Pineville,,"10600 Centrum Pkwy","Best Buy","2013-10-20 00:00:00"
NC,Pineville,,"10917 Carolina Place Pkwy","Taco Bell","2013-10-20 00:00:00"
NC,Charlotte,"Steele Creek","10720 S Tryon St, Ste O","Crown Town Subs","2013-10-20 00:00:00"
NC,Pineville,,"11025 Carolina Place Pkwy",Chick-fil-A,"2013-10-20 00:00:00"
NC,Charlotte,"South Park","4310 Sharon Rd, Ste X05","The Cowfish Sushi Burger Bar","2013-10-20 00:00:00"
NC,Pineville,,"10020 Pineville Matthews Rd","Rite Aid","2013-10-20 00:00:00"
NC,Charlotte,"South Park","4400 Sharon Rd",SouthPark,"2013-10-20 00:00:00"
NC,Pineville,,"10500 Centrum Pkwy",Kmart,"2013-10-20 00:00:00"
NC,Charlotte,,,"Time Car Transportation","2013-10-20 00:00:00"
NC,Pineville,,"11025 Carolina Place Pkwy",Chick-fil-A,"2013-10-19 00:00:00"
NC,Charlotte,,"7725 Pineville Matthews Rd","Jack In the Box","2013-10-17 00:00:00"
NC,Charlotte,,"7724 Pineville Mathews Rd, Unit B","Chipotle Mexican Grill","2013-10-17 00:00:00"
