state,city,neighborhood,address,name,date
NV,"Las Vegas",Eastside,"4455 Paradise Rd","Elite Event: Awe Shucks at Oyster Bar","2017-07-25 00:00:00"
NV,"Las Vegas",Southeast,"6420 S Pecos Rd, Ste C","U.S Fried Chicken Halal","2017-07-24 00:00:00"
NV,"Las Vegas",Westside,"9134 W Sahara","Sushi Burrito Bowl","2017-07-22 00:00:00"
NV,"Las Vegas",,"9500 S Eastern Ave, Ste 110","Rolled Ice Cream","2017-07-22 00:00:00"
NV,Henderson,,"27 S Stephanie St, Ste 100","Toppled Tortoise","2017-07-11 00:00:00"
NV,"Las Vegas",Downtown,"616 E Carson Ave, Ste 140","Two Bald Brothers","2017-07-10 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 100","595 Craft And Kitchen","2017-07-09 00:00:00"
NV,"Las Vegas",,"7501 W Lake Mead Blvd, Ste 107","Vegas Discount Nutrition Superstore","2017-07-07 00:00:00"
NV,"Las Vegas",,"43 S Stephanie St, Ste 120, EOS Gym","Jozo Coffee Tea Boba House","2017-07-06 00:00:00"
NV,"Las Vegas",,"9500 S Eastern Ave",Boteco,"2017-07-05 00:00:00"
NV,"Las Vegas",Eastside,"3330 E Tropicana Ave","Tropicana Cinemas","2017-07-04 00:00:00"
NV,"Las Vegas",,"5780 W Flamingo Rd","Nora's Italian Cuisine","2017-07-03 00:00:00"
NV,"Las Vegas",Southeast,"Body Heat Hot Pilates & Yoga, 8876 S Eastern Ave","Elite Event: Body Heat Hot Pilates & Yoga Squad Goals","2017-07-02 00:00:00"
NV,"Las Vegas",,"7210 W Lake Mead Blvd, Ste 1","Poke Addiction","2017-07-02 00:00:00"
NV,"Las Vegas",Southeast,"5030 Paradise Rd","2 Scoops of Aloha LV","2017-07-01 00:00:00"
NV,"Las Vegas",Chinatown,"4009 Spring Mountain Rd","Kyou Beauty Salon","2017-07-01 00:00:00"
NV,"Las Vegas",,"6430 W Lake Mead, Ste 160","Chess House Cafe","2017-06-30 00:00:00"
NV,"Las Vegas",Eastside,"325 Hughes Center Dr","Bandito Latin Kitchen & Cantina","2017-06-30 00:00:00"
NV,"Las Vegas","The Strip","2226 Paradise Rd","Thai Pepper","2017-06-29 00:00:00"
NV,"Las Vegas","The Strip","3355 South Las Vegas Blvd, Ste 106",Chica,"2017-06-29 00:00:00"
NV,"Las Vegas",Eastside,"1911 E Desert Inn","Rat Pack Bar And Grill","2017-06-27 00:00:00"
NV,Henderson,Anthem,"2525 W Horizon Ridge Pkwy","Pasta Shop Ristorante","2017-06-27 00:00:00"
