state,city,neighborhood,address,name,date
AZ,Scottsdale,,"7240 E Main St","Nonna Urban Eatery","2017-07-10 00:00:00"
AZ,"Paradise Valley",,"5532 N Palo Cristi Rd","The Hermosa Inn","2017-07-05 00:00:00"
AZ,Phoenix,,"4325 East Indian School Rd, Ste 130","Current Meditation","2017-07-05 00:00:00"
AZ,Chandler,,"5594 W Wild Horse Pass Blvd","Sheraton Grand at Wild Horse Pass","2017-07-05 00:00:00"
AZ,Phoenix,,"3950 E Indian School Rd","Tacos Tequila Whiskey","2017-07-05 00:00:00"
AZ,Chandler,,"5594 W Wild Horse Pass Blvd","Ko'sin Restaurant","2017-07-05 00:00:00"
AZ,Phoenix,,"6107 7th St","Camp Social","2017-07-05 00:00:00"
AZ,"Paradise Valley",,"6208 N Scottsdale Rd","Rancho Pinot","2017-06-27 00:00:00"
AZ,Phoenix,,"6106 S 32nd St","Quiessence Restaurant","2017-06-27 00:00:00"
AZ,Phoenix,,"540 W McDowell Rd","Rubio's Coastal Grill","2017-06-16 00:00:00"
AZ,Scottsdale,,"6114 N Scottsdale Rd","Andaz Scottsdale Resort & Spa","2017-06-12 00:00:00"
AZ,Scottsdale,,"7116 E Mercer Ln, Ste 101","Pasto di Forno","2017-06-12 00:00:00"
AZ,Phoenix,,"201 E Washington St, Ste 104","The Whining Pig - Downtown","2017-06-12 00:00:00"
AZ,Phoenix,,"1923 E Mcdowell Rd","Tacos Chiwas","2017-06-12 00:00:00"
AZ,Scottsdale,,"6114 North Scottsdale Rd","Weft & Warp Art Bar + Kitchen","2017-06-11 00:00:00"
AZ,Phoenix,,"2325 North 7th St","Urban Cookies","2017-06-11 00:00:00"
AZ,Phoenix,,"1028 Grand Ave",ThirdSpace,"2017-05-22 00:00:00"
AZ,Phoenix,,"4700 N 12th St, Ste 101","Original Gravity","2017-05-22 00:00:00"
AZ,Phoenix,,"100 E Camelback Rd, Ste 166","Elly's Brunch & Cafe","2017-05-22 00:00:00"
AZ,"Paradise Valley",,"5445 E Lincoln Dr","Hearth '61","2017-05-22 00:00:00"
AZ,Phoenix,,"11111 N 7th St","Different Pointe of View","2017-05-22 00:00:00"
AZ,Phoenix,,"5600 N 7th St, Ste 100","Casa Anejo","2017-05-19 00:00:00"
NV,"Las Vegas","The Strip","3950 S Las Vegas Blvd","Libertine Social","2017-05-19 00:00:00"
NV,"Las Vegas",Downtown,"Downtown Container Park, 707 Fremont St","The Perch","2017-05-17 00:00:00"
AZ,Phoenix,,"6106 S 32nd St","Morning Glory Cafe","2017-05-17 00:00:00"
NV,"Las Vegas",Downtown,"111 Las Vegas Blvd S","Downtown Cocktail Room","2017-05-17 00:00:00"
AZ,Phoenix,,"3738 E Indian School Rd","Thai Lahna Restaurant","2017-05-15 00:00:00"
AZ,Phoenix,,"3752 E Indian School Rd","Autumn Court","2017-05-12 00:00:00"
AZ,Phoenix,,"1125 E Glendale Ave","Panera Bread","2017-05-09 00:00:00"
AZ,Phoenix,,"3375 E Shea Blvd","The Joy Bus Diner","2017-05-07 00:00:00"
AZ,Phoenix,,"114 W Adams St, Ste C-103","Noodle Bar","2017-05-07 00:00:00"
AZ,Phoenix,,"1028 Grand Ave, Ste 6","Novel Ice Cream","2017-05-01 00:00:00"
AZ,Tempe,,"526 South Mill Ave","The Funky Monk","2017-05-01 00:00:00"
AZ,Phoenix,,"1031 Grand Ave","Grand Avenue Pizza Company","2017-05-01 00:00:00"
AZ,Phoenix,,"50 W Jefferson St, Ste 100","Chico Malo","2017-05-01 00:00:00"
AZ,Phoenix,,"3701 E Indian School Rd","The Smith","2017-05-01 00:00:00"
AZ,Phoenix,,"5651 N 7th St","Mora Italian","2017-05-01 00:00:00"
AZ,Scottsdale,,"7323 E Shoeman Ln","El Panzon Y Frida","2017-04-27 00:00:00"
AZ,Phoenix,,"4325 E Indian School Rd, Ste 150",Uberrito,"2017-04-27 00:00:00"
AZ,Scottsdale,,"8977 North Scottsdale Rd, Ste 500","La Sala Tequila Cantina","2017-04-27 00:00:00"
AZ,Phoenix,,"3630 E Indian School Rd","Pie Snob","2017-04-22 00:00:00"
AZ,Phoenix,,"100 East Camelback Rd, Ste 160","Huss Brewing Co. Uptown Taproom","2017-04-22 00:00:00"
