state,city,neighborhood,address,name,date
AZ,Phoenix,,"3115 E Indian School Rd, Ste 69","Julie Beauty Salon","2017-06-19 00:00:00"
AZ,"Paradise Valley",,"54th St & Shea Blvd","Seth Korey Tennis Academy","2017-06-11 00:00:00"
AZ,Phoenix,,"4325 E Indian School Rd, Ste 110",Creamistry,"2017-06-09 00:00:00"
AZ,Phoenix,,"3945 E Camelback Rd","Giant Rustic Pizza","2017-05-20 00:00:00"
AZ,Scottsdale,,"7171 E Lincoln Dr","Bridwell Automotive Center","2017-05-04 00:00:00"
AZ,Scottsdale,,"7001 North Scottsdale Rd","CycleBar McCormick Ranch","2017-04-27 00:00:00"
AZ,Phoenix,,"6311 N 7th St","C & S Sporting Goods","2017-04-18 00:00:00"
AZ,Phoenix,,"5813 N 7th St, Ste 120","The Root Salon","2017-04-08 00:00:00"
AZ,Phoenix,,"44th St & Thomas","Great Clips - Arcadia Crossing","2017-04-03 00:00:00"
AZ,Phoenix,,"3045 E Indian School Rd","Dutch Bros Coffee","2017-03-19 00:00:00"
AZ,Phoenix,,"1515 E Bethany Home Rd","Flip Dunk Sports","2017-02-20 00:00:00"
AZ,Phoenix,,"5651 N 7th St","Mora Italian","2017-02-16 00:00:00"
AZ,Phoenix,,"4949 E Van Buren St, Rm 187","US Post Office","2017-02-10 00:00:00"
AZ,Gilbert,,"3787 S Gilbert Rd","Restoration Hardware Outlet","2017-02-09 00:00:00"
AZ,Phoenix,,"21050 N Tatum Blvd","Humble Pie","2017-01-23 00:00:00"
AZ,Phoenix,,"3243 N 3rd St",Ocotillo,"2017-01-17 00:00:00"
AZ,Scottsdale,,"5959 N Granite Reef Rd",Buzzberry,"2016-12-22 00:00:00"
AZ,Phoenix,,"5502 E Osborn Rd","Arcadia Park","2016-12-19 00:00:00"
AZ,Scottsdale,,"6149 N Scottsdale Rd, Ste 171","First Watch - Breakfast, Brunch & Lunch","2016-12-17 00:00:00"
AZ,Scottsdale,,"4252 N Drinkwater Blvd","CorePower Yoga","2016-11-22 00:00:00"
AZ,Phoenix,,"5101 N 44th St","Steak 44","2016-11-14 00:00:00"
AZ,"Paradise Valley",,"5402 E Lincoln Dr","Lincoln & Bar 1936","2016-11-12 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd","Mitchell Gold + Bob Williams","2016-11-06 00:00:00"
AZ,Scottsdale,,"Scottsdale Fashion Square Mall","Boba Tea Company","2016-10-20 00:00:00"
AZ,Phoenix,,"3118 E Camelback Rd","Matt's Big Breakfast","2016-10-16 00:00:00"
AZ,Phoenix,,"1869 E Camelback Rd","Spirit Halloween Superstore","2016-10-01 00:00:00"
AZ,Phoenix,,"20815 N 28th St, Ste 100","North Valley Gymnastics","2016-09-26 00:00:00"
AZ,Scottsdale,,"7030 E Greenway Pkwy","Postino Kierland","2016-09-26 00:00:00"
AZ,Phoenix,,"3957 E Camelback Rd",Sushiholic,"2016-09-23 00:00:00"
AZ,Phoenix,,"4743 N 20th St","Pizzeria Bianco","2016-09-19 00:00:00"
AZ,Scottsdale,,"9619 N Hayden Rd, Ste 112","Modern Yoga","2016-09-12 00:00:00"
AZ,Phoenix,,"3121 E Lincoln Dr","Moksha Yoga Phoenix","2016-09-07 00:00:00"
AZ,Phoenix,,"4444 East Camelback Rd","Camelback Village Racquet & Health Club","2016-08-31 00:00:00"
AZ,Scottsdale,,"3213 N Hayden Rd","The Local Donut","2016-08-29 00:00:00"
AZ,Scottsdale,,"3301 N Hayden Rd","Clean Machine Car Wash","2016-08-28 00:00:00"
AZ,Phoenix,,"5524 N 7th Ave","Hana Japanese Eatery","2016-08-13 00:00:00"
AZ,Chandler,,"6919 W Ray Rd","Makutu's Island","2016-08-11 00:00:00"
AZ,Phoenix,,"812 N 3rd St","Songbird Coffee & Tea House","2016-08-05 00:00:00"
AZ,Tempe,,"227 E Baseline Rd, Ste J007","OPA Life Greek Cafe","2016-07-25 00:00:00"
AZ,Scottsdale,,"7300 E Thomas Rd","Bowlmor Scottsdale","2016-07-06 00:00:00"
AZ,Phoenix,,"4550 E Cactus Rd","Brow Art 123","2016-07-02 00:00:00"
AZ,Scottsdale,,"6137 North Scottsdale Rd, Ste 102","MAD Greens - Hilton Village","2016-06-30 00:00:00"
AZ,Scottsdale,,"10773 N Scottsdale Rd",Safeway,"2016-06-29 00:00:00"
AZ,Phoenix,,"3945 E Thomas Rd","Peter Piper Pizza","2016-06-27 00:00:00"
AZ,Phoenix,,"2232 E Rose Garden Lp","Valet Vet Mobile Veterinary Services","2016-06-27 00:00:00"
AZ,Phoenix,,"3215 E Camelback Rd","First Watch - Breakfast, Brunch & Lunch","2016-06-07 00:00:00"
AZ,Scottsdale,,"7055 E Shea Blvd","Krispy Kreme Doughnuts","2016-06-03 00:00:00"
AZ,Scottsdale,,"6990 E Shea Blvd, Ste 115","Rachel's Young At Art Studio","2016-06-01 00:00:00"
AZ,Phoenix,,"2131 E Camelback Rd, Ste 100","Dunkin' Donuts","2016-05-27 00:00:00"
AZ,Phoenix,,"12014 N 32nd St",Blooze,"2016-05-24 00:00:00"
AZ,Phoenix,,"5402 E Lincoln Dr",Sprouts,"2016-05-20 00:00:00"
AZ,Scottsdale,,"23271 N Scottsdale Rd, Suite A101","Egg N' Joe","2016-05-02 00:00:00"
AZ,Scottsdale,,"1495 N Hayden Rd","Queen Greek Restaurant","2016-04-19 00:00:00"
AZ,Scottsdale,,"6989 N Hayden Rd",Crust,"2016-04-05 00:00:00"
AZ,Scottsdale,,"2765 N Scottsdale Rd, Ste 104","Just Relax","2016-04-05 00:00:00"
AZ,Phoenix,,"4-7 E Sky Harbor Blvd","Terminal 4","2016-03-28 00:00:00"
AZ,Scottsdale,,"23015 N Scottsdale Rd, Ste 107","Boss Coffee","2016-03-28 00:00:00"
AZ,Scottsdale,,"7555 N Pima Rd","Salt River Fields at Talking Stick","2016-03-25 00:00:00"
AZ,Phoenix,,"100 E Camelback Rd","Zookz Sandwiches","2016-03-16 00:00:00"
AZ,Scottsdale,,"1422 N Scottsdale Rd","Dutch Bros Coffee","2016-03-16 00:00:00"
AZ,Scottsdale,,"4949 E Lincoln Dr","Omni Scottsdale Resort & Spa at Montelucia","2016-03-11 00:00:00"
AZ,Phoenix,,"12801 N Tatum Blvd","Toys R Us","2016-03-10 00:00:00"
AZ,Phoenix,,"4720 E Cactus Rd, Ste D118","Marigold Maison- Paradise Valley","2016-03-07 00:00:00"
AZ,Phoenix,,"5202 N Central Ave","Joyride Taco House","2016-02-28 00:00:00"
AZ,Scottsdale,,"6137 N Scottsdale Rd, Ste 108","TapHouse Kitchen","2016-02-22 00:00:00"
AZ,Phoenix,,"4340 E Indian School, Ste 21","The UPS Store","2016-02-10 00:00:00"
AZ,Scottsdale,,"6424 E Greenway Pkwy, Ste 100","Mr. Handyman of Central Valley","2016-02-05 00:00:00"
AZ,Scottsdale,,"7301 E Indian Plz",Comoncy,"2016-01-31 00:00:00"
AZ,Phoenix,,"14 W Vernon Ave","Oven + Vine","2016-01-26 00:00:00"
AZ,Phoenix,,"2014 N 7th St",Nami,"2016-01-25 00:00:00"
AZ,Phoenix,,"910 N 5th St",Melt,"2016-01-18 00:00:00"
AZ,Phoenix,,"1725 E Osborn","Coup Des Tartes","2016-01-11 00:00:00"
AZ,Phoenix,,"10810 N Tatum Blvd, Ste 126","OHSO Brewery - Paradise Valley","2016-01-05 00:00:00"
AZ,Phoenix,,"4410 N 40th St","La Grande Orange Pizzeria","2015-12-30 00:00:00"
AZ,Phoenix,,"3200 E Camelback Rd, Ste 125","Arizona Asthma & Allergy Institute","2015-12-29 00:00:00"
AZ,Phoenix,,"1201 N Galvin Pkwy",Gertrude's,"2015-12-28 00:00:00"
AZ,Phoenix,,"4502 E Thomas Rd","Spartan Pita & Gyro","2015-12-18 00:00:00"
AZ,Phoenix,,"2333 E Osborn Rd","Mejico Cocina Mejicana","2015-11-15 00:00:00"
AZ,Phoenix,,"4225 E Camelback Rd","Buck & Rider","2015-10-26 00:00:00"
AZ,Phoenix,,"5410 E High St, Ste 105",Pinspiration,"2015-10-20 00:00:00"
AZ,Scottsdale,,"8445 E Mcdonald Dr","Mountain View Karate","2015-10-15 00:00:00"
AZ,Scottsdale,,"3617 N Goldwater Rd","Sip Coffee & Beer House","2015-10-11 00:00:00"
AZ,Phoenix,,"2325 North 7th St","Urban Cookies","2015-10-10 00:00:00"
AZ,Mesa,,"53 N MacDonald","Arizona Museum of Natural History","2015-10-03 00:00:00"
AZ,Phoenix,,"4740 E Shea Blvd","Zoyo Neighborhood Yogurt","2015-09-29 00:00:00"
AZ,Tempe,,"225 E Apache Blvd","Graduate Tempe","2015-09-27 00:00:00"
AZ,Phoenix,,"2929 N 24th St","Barb's Bakery","2015-09-07 00:00:00"
AZ,Phoenix,,"3308 N 27th Ave","Taqueria Guadalajara","2015-09-07 00:00:00"
AZ,Scottsdale,,"10269 N Scottsdale Rd","Maverick Coffee","2015-08-31 00:00:00"
AZ,Scottsdale,,"13610 N Scottsdale Rd, Ste 5","Once Upon a Child","2015-08-30 00:00:00"
AZ,Tempe,,"815 W University Dr, Ste 108","Thai Elephant","2015-08-19 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd","Build-A-Bear Workshop","2015-08-17 00:00:00"
AZ,Scottsdale,,"7301 E Indian Plz",Dakota,"2015-08-08 00:00:00"
NV,"Las Vegas",,"4970 Arville St, Ste 110","Happy Feet Spa","2015-07-15 00:00:00"
AZ,Scottsdale,,"6137 N Scottsdale Rd, Ste 106","To Be Continued","2015-07-15 00:00:00"
AZ,Phoenix,,"4130 E Thomas Rd","Dunkin' Donuts","2015-07-07 00:00:00"
AZ,Scottsdale,,"7318 E Shea Blvd, Ste 101","Squid Ink","2015-07-01 00:00:00"
AZ,Phoenix,,"2330 N 7th St","Bikini Beans Espresso","2015-06-29 00:00:00"
AZ,Phoenix,,"7077 E Mayo Blvd, Ste 130","floo-id YOGA","2015-06-27 00:00:00"
AZ,Phoenix,,"3800 E Sky Harbor Blvd, Terminal 4, Gate B5","Matt's Big Breakfast","2015-06-27 00:00:00"
AZ,Phoenix,,"2502 E Camelback Rd",Papyrus,"2015-06-21 00:00:00"
AZ,Mesa,,"2725 W Guadalupe Rd","SWIMkids USA","2015-06-03 00:00:00"
AZ,Phoenix,,,"The Rocket Truck","2015-06-01 00:00:00"
AZ,Phoenix,,"1625 E Osborn Rd","Tailwinds Pet Resort","2015-05-27 00:00:00"
AZ,Scottsdale,,"9393 E Bell Rd","The Thumb BBQ","2015-05-13 00:00:00"
AZ,Scottsdale,,"3133 N Scottsdale Rd","Lo-Lo's Chicken & Waffles","2015-05-11 00:00:00"
AZ,Scottsdale,,"7321 E Shoeman Ln","Joe's New York Pizza","2015-03-31 00:00:00"
AZ,Phoenix,,"2120 E Camelback Rd",Alphagraphics,"2015-03-28 00:00:00"
AZ,Scottsdale,,"6560 N Scottsdale Rd",SumoMaya,"2015-03-23 00:00:00"
AZ,Phoenix,,"3912 E Camelback Rd","Juby True","2015-03-12 00:00:00"
AZ,Scottsdale,,"7017 E Main St","Escape The Room AZ","2015-03-09 00:00:00"
AZ,Phoenix,,,"All-American K-9 Dog Training","2015-03-05 00:00:00"
AZ,Scottsdale,,"16622 N 91st St, Ste 105","True Juice","2015-02-25 00:00:00"
AZ,Scottsdale,,"8120 N Hayden Rd, Ste E-100","Grassroots Kitchen & Tap","2015-02-19 00:00:00"
AZ,Phoenix,,"3223 W Indian School Rd","Brows Threading Salon","2015-02-17 00:00:00"
AZ,Chandler,,"2095 N Dobson Rd, Ste 7","Imperial Foot Spa","2015-02-15 00:00:00"
AZ,Scottsdale,,"8114 E Del Cadena Dr","Storybook Entertainment","2015-02-12 00:00:00"
AZ,Scottsdale,,"8962 E Desert Cove Ave, Ste 110","Extremity Health Center","2015-02-04 00:00:00"
AZ,Phoenix,,"16036 N 11th Ave, Ste 1034","Radical Reptile Fun","2015-01-27 00:00:00"
