state,city,neighborhood,address,name,date
AZ,Scottsdale,,"13402 N Scottsdale Rd, Ste B-160","Penrose Academy","2017-07-02 00:00:00"
AZ,Phoenix,,"3174 E Indian School Rd","The Bar","2017-07-02 00:00:00"
AZ,Phoenix,,"4026 E Indian School Rd","Z's Greek","2017-07-02 00:00:00"
AZ,Phoenix,,"3752 E Indian School Rd","Autumn Court","2017-07-02 00:00:00"
AZ,Phoenix,,"1575 E Camelback Rd","Fried Ice & Bubble Tea","2017-07-02 00:00:00"
AZ,Phoenix,,"4385 E Indian School Rd",Doughbird,"2017-07-02 00:00:00"
AZ,Phoenix,,"10810 N Tatum Blvd, Ste 116","First Class Reflexology & Massage","2017-07-02 00:00:00"
AZ,Phoenix,,"702 W Montecito Ave","Restaurant Progress","2017-07-01 00:00:00"
AZ,Phoenix,,"2417 E Indian School Rd","The Wandering Tortoise","2017-07-01 00:00:00"
AZ,Phoenix,,"7 W Monroe St","Cornish Pasty Company","2017-07-01 00:00:00"
AZ,Phoenix,,"4645 E Chandler Blvd, Ste 106","Thai Delight","2017-07-01 00:00:00"
AZ,Phoenix,,"1502 W Thomas Rd","Mu Shu Asian Grill","2017-07-01 00:00:00"
AZ,Phoenix,,"3701 E Indian School Rd","The Smith","2017-05-25 00:00:00"
AZ,Phoenix,,"1255 E Northern Ave","Veggie Village","2017-05-25 00:00:00"
AZ,Phoenix,,"3749 E Indian School Rd","Chicago Hamburger Co","2017-05-23 00:00:00"
AZ,Phoenix,,"220 E Roosevelt St","The Dressing Room","2017-05-23 00:00:00"
AZ,Phoenix,,"2747 E Indian School Rd Phoenix Az 85016","Lilac Bakery","2017-05-23 00:00:00"
AZ,Phoenix,,"1028 Grand Ave, Ste 6","Novel Ice Cream","2017-05-22 00:00:00"
AZ,Glendale,,"17035 N 67th Ave, Ste 6","Dubina Brewing Co","2017-05-15 00:00:00"
AZ,Phoenix,,"2824 E Indian School Rd","Preety Threading Salon","2017-05-15 00:00:00"
AZ,Phoenix,,"4840 N 20th St","In-N-Out Burger","2017-05-15 00:00:00"
AZ,Chandler,,"4050 S Alma School Rd","Black Rock Coffee","2017-05-15 00:00:00"
AZ,Phoenix,,"8729 N Central Ave","Ladera Taverna y Cocina","2017-05-15 00:00:00"
AZ,Phoenix,,"5651 N 7th St","Mora Italian","2017-05-15 00:00:00"
AZ,Phoenix,,"15414 N 19th Ave, Ste K","Chino Bandido","2017-05-15 00:00:00"
AZ,Phoenix,,"3110 N Central Ave","Thai Basil","2017-05-15 00:00:00"
AZ,Tempe,,"1920 E University Dr, Ste 104","Sleepy Dog Brewing","2017-05-15 00:00:00"
AZ,Phoenix,,"5410 E High St, Ste 105",Pinspiration,"2017-05-15 00:00:00"
AZ,Phoenix,,"5415 E High St, Ste 101","Growler USA","2017-05-15 00:00:00"
AZ,Phoenix,,"2144 E Indian School Rd","Helton Brewing Co","2017-05-15 00:00:00"
AZ,Tempe,,"1946 E University Dr","Wessen International Kitchen","2017-05-15 00:00:00"
AZ,Phoenix,,"2824 E Indian School Rd, Ste 14","Sienna Nails & Spa","2017-05-15 00:00:00"
AZ,Phoenix,,"2502 E Camelback Rd","True Food Kitchen","2017-05-14 00:00:00"
AZ,Phoenix,,"12418 N 28th Dr","Anzios Italian Restaurant","2017-05-14 00:00:00"
AZ,Phoenix,,"110 E Roosevelt St","Short Leash Hot Dogs Food Truck","2017-05-13 00:00:00"
AZ,Phoenix,,"2501 E Camelback Rd, Ste 24",Dieci,"2017-04-29 00:00:00"
AZ,Phoenix,,"6048 N 16th St","Golden Phoenix Chinese Restaurant","2017-04-15 00:00:00"
AZ,Tempe,,"1345 W Elliot Rd","The Dump Furniture Outlet","2017-04-15 00:00:00"
AZ,Glendale,,"4323 W Cactus Rd","Don Ruben's Mexican Restaurant","2017-04-15 00:00:00"
AZ,Phoenix,,"4041 E Thomas Rd, Ste 107","Adela's Italian","2017-04-15 00:00:00"
AZ,Gilbert,,"929 N Val Vista Dr, Ste 101","Casanova Brothers Pizza","2017-04-15 00:00:00"
AZ,Peoria,,"7539 W Peoria Ave","Don's NY Pizza","2017-04-15 00:00:00"
AZ,Chandler,,"4939 W Ray Rd, Ste 1","New India Gate","2017-04-15 00:00:00"
AZ,Phoenix,,"4221 N 7th Ave",Toasted,"2017-04-15 00:00:00"
AZ,Tempe,,"2034 E Southern Ave, Ste G","Tranquil Massage & Bodyworks","2017-04-15 00:00:00"
AZ,Phoenix,,"4825 E Warner Rd","Zesty Zzeeks Pizza and Wings","2017-04-15 00:00:00"
AZ,Phoenix,,"24 W Camelback Rd, Ste DE","Bonus Round","2017-04-15 00:00:00"
AZ,Glendale,,"7910 N 43rd Ave, Ste 6","Submarinos Pizzeria","2017-04-15 00:00:00"
AZ,Phoenix,,"2650 E Camelback Rd","Hillstone Restaurant","2017-04-15 00:00:00"
AZ,Phoenix,,"4221 E Chandler Blvd, Ste 106","Thai Basil - Ahwatukee","2017-04-15 00:00:00"
AZ,Phoenix,,"1330 W Roosevelt St","Tres Leches Cafe","2017-04-15 00:00:00"
AZ,Phoenix,,"3630 E Indian School Rd","Pie Snob","2017-04-15 00:00:00"
AZ,Phoenix,,"7000 E Mayo Blvd, Bldg 21","Carlos O'Brien's Mexican Restaurant - Scottsdale","2017-04-15 00:00:00"
AZ,Phoenix,,"1575 E Camelback Rd","Fried Ice & Bubble Tea","2017-04-09 00:00:00"
AZ,Phoenix,,"4645 E Chandler Blvd, Ste 106","Thai Delight","2017-04-08 00:00:00"
AZ,Phoenix,,"1100 N Central Ave","MATCH Restaurant & Cocktails","2017-04-08 00:00:00"
AZ,Phoenix,,"1923 E Mcdowell Rd","Tacos Chiwas","2017-03-12 00:00:00"
AZ,Phoenix,,"2824 E Indian School Rd","Preety Threading Salon","2017-03-08 00:00:00"
AZ,Phoenix,,"718 E Union Hills Dr","Times Square Neighborhood Italian Restaurant","2017-03-04 00:00:00"
AZ,Phoenix,,"5632 N 7th St","Culinary Dropout","2017-03-04 00:00:00"
AZ,Scottsdale,,"6960 E 1st St","Alo Cafe","2017-03-04 00:00:00"
AZ,Phoenix,,"501 W Thomas Rd","5th Avenue Cafe","2017-03-02 00:00:00"
AZ,Tempe,,"603 West University Dr","Perfect Pear Bistro","2017-03-02 00:00:00"
AZ,Phoenix,,"6025 N 16th St","Everything Bagels","2017-03-02 00:00:00"
AZ,Phoenix,,"430 E Bell Rd, Ste 103","Caveman Burgers","2017-03-02 00:00:00"
AZ,Phoenix,,"4743 N 20th St",Tratto,"2017-03-02 00:00:00"
AZ,Phoenix,,"7100 N 12th St, Bldg One",Pomelo,"2017-03-02 00:00:00"
AZ,Phoenix,,"24 W Camelback Rd, Ste H","The Prime Chinese Restaurant","2017-03-02 00:00:00"
AZ,Phoenix,,"621 N 7th St",Tastybox,"2017-02-26 00:00:00"
AZ,Phoenix,,"2401 E Camelback Rd",Artizen,"2017-02-26 00:00:00"
AZ,Phoenix,,"801 N 2nd St, Ste 108","Snoh Ice Shavery - Downtown","2017-02-25 00:00:00"
AZ,Phoenix,,"814 E Union Hills Dr, Ste C-6","Saffron JAK","2017-02-25 00:00:00"
AZ,Phoenix,,"3159 E Lincoln Dr","L'Amore Italian Restaurant","2017-02-12 00:00:00"
AZ,Phoenix,,"3930 E Camelback Rd, Ste 202","Vincent's On Camelback","2017-02-12 00:00:00"
AZ,Phoenix,,"600 N 4th St","Fillmore Coffee Co","2017-01-16 00:00:00"
AZ,Phoenix,,"5749 N 7th St","The Womack","2017-01-16 00:00:00"
AZ,Phoenix,,"3375 E Shea Blvd","The Joy Bus Diner","2017-01-16 00:00:00"
AZ,Tempe,,"1345 W Elliot Rd","The Dump Furniture Outlet","2017-01-14 00:00:00"
AZ,Scottsdale,,"9330 E Poinsettia Dr","Basil & Garlic Bistro","2017-01-05 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"7659 Street Denis","Huis Clos","2017-01-01 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"552 Rue Jarry E","Le Petit Café de La Taverne Jarry","2017-01-01 00:00:00"
AZ,Phoenix,,"1130 E Missouri Ave, Ste 720","ProActive Therapeutic Massage, LLC","2017-01-01 00:00:00"
AZ,Phoenix,,"4750 North Central Ave","YAMA SUSHI HOUSE","2017-01-01 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"696 Jarry Est","Banh Mi Saigon","2017-01-01 00:00:00"
AZ,Phoenix,,"3115 E Lincoln Dr","Base Pizzeria","2017-01-01 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"316 Avenue du Mont-Royal E","Au Kouign-Amann","2017-01-01 00:00:00"
AZ,Scottsdale,,"15515 N Hayden Rd","Studio Movie Grill","2017-01-01 00:00:00"
QC,Montréal,Ville-Marie,"39 Rue Notre-Dame Ouest","Le Chat Noir","2016-12-27 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"3669 Avenue Coloniale Montréal","Local Montreal Food Tours","2016-12-27 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"72 Rue Jarry Est","Oui Mais Non","2016-12-27 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"29 Avenue Laurier O","Brouepub - Dieu du Ciel!","2016-12-27 00:00:00"
QC,Montréal,Ville-Marie,"1615 Rue Saint-Denis","Juliette & Chocolat","2016-12-27 00:00:00"
AZ,Phoenix,,"5813 N 7th St","The Phoenix Ale Brewery Central Kitchen","2016-12-22 00:00:00"
QC,Montréal,Sud-Ouest,"1140 Rue Wellington","Amphi Tours","2016-12-22 00:00:00"
QC,Montréal,Ville-Marie,"1909 Rue Saint-Catherine Ouest","Sammi & Soupe Dumpling","2016-12-22 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"505 Rue Gounod",Pinocchio,"2016-12-22 00:00:00"
QC,Montréal,Sud-Ouest,"2496 Rue Notre Dame O","Pub Burgundy Lion","2016-12-22 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"615 Jarry Rue E","Restaurant Da Lillo","2016-12-22 00:00:00"
AZ,Phoenix,,"Terminal 4 Gate B9","Press Coffee Food & Wine","2016-11-20 00:00:00"
NC,Charlotte,,"5501 Josh Birmingham Pkwy","1897 Market","2016-11-20 00:00:00"
QC,Montréal,Villeray-Saint-Michel-Parc-Extension,"767 Rue Villeray","Le Toasteur","2016-11-20 00:00:00"
QC,Montréal,"Rosemont-La Petite-Patrie","7070 Avenue Henri-Julien","Marché Jean-Talon","2016-11-20 00:00:00"
QC,Montréal,"Rosemont-La Petite-Patrie","7070 Avenue Henri-Julien","Crêperie du Marché","2016-11-20 00:00:00"
AZ,Tempe,,"1250 E Apache Blvd, Ste 101","Chou's Kitchen","2016-11-20 00:00:00"
AZ,Tempe,,"1435 E University Dr, Ste 12","Salut Kitchen Bar","2016-11-20 00:00:00"
AZ,Phoenix,,"201 E Washington St","Mancuso's Restaurant","2016-11-17 00:00:00"
AZ,Phoenix,,"7100 N 12th St, Bldg Two","Luci's at the Orchard","2016-11-17 00:00:00"
AZ,Phoenix,,"214 W Roosevelt St",SoSoBa,"2016-11-17 00:00:00"
AZ,Phoenix,,,"Pour Jo Coffee","2016-11-17 00:00:00"
AZ,Phoenix,,"3620 E Indian School Rd",UnderTow,"2016-11-09 00:00:00"
AZ,Tempe,,"640 S Mill Ave, Ste 110","El Hefe","2016-11-09 00:00:00"
AZ,Phoenix,,"114 W Adams St, Ste C-103","Noodle Bar","2016-11-09 00:00:00"
AZ,Phoenix,,"61 W Thomas Rd","First Watch - Breakfast, Brunch & Lunch","2016-11-09 00:00:00"
AZ,Chandler,,"900 N 54th St","Stingray Sushi","2016-11-09 00:00:00"
AZ,Phoenix,,"3620 E Indian School Rd","Sip Coffee & Beer Garage","2016-11-03 00:00:00"
AZ,Phoenix,,"5632 N 7th St, Ste 120","Little Cleo's Seafood Legend","2016-11-03 00:00:00"
