state,city,neighborhood,address,name,date
OH,Lakewood,,"15514 Detroit Ave","Laskey Costello, CPA","2017-07-12 00:00:00"
OH,Lakewood,,"13230 Detroit Ave","Lakewood Garden Center","2017-07-12 00:00:00"
OH,Lakewood,,"13437 Madison Ave","Lakewood Village Tavern","2017-06-28 00:00:00"
OH,Lakewood,,"11850 Edgewater Dr","Lake House Cafe","2017-06-04 00:00:00"
OH,Lakewood,,"15615 Madison Ave","Patio Tavern","2017-05-31 00:00:00"
OH,Lakewood,,"15613 Detroit Ave","Nature's Oasis","2017-05-23 00:00:00"
OH,Lakewood,,"15613 Detroit Ave","Nature's Oasis","2017-05-18 00:00:00"
OH,Lakewood,,"14810 Madison Ave","Red Rose Cafe","2017-05-09 00:00:00"
OH,Independence,,"6700 Rockside Rd","Panera Bread","2017-04-28 00:00:00"
OH,Lakewood,,"12511 Detroit Ave","Detroit Lakewood Automotive","2017-03-24 00:00:00"
OH,Cleveland,Brooklyn-Centre,,"Accurate Moves By Mike","2017-03-23 00:00:00"
OH,Cleveland,Tremont,"3465 Steelyard Dr","Guthrie's Chicken Fingers","2017-03-20 00:00:00"
OH,Cleveland,"Northeast District","1438 St Clair Ave","Crazy Horse","2017-03-10 00:00:00"
OH,Lakewood,,"18500 Detroit Ave","Riverwood Cafe","2017-03-09 00:00:00"
NV,"Las Vegas",Downtown,"495 S Main St","City of Las Vegas","2017-03-05 00:00:00"
OH,Cleveland,"Old Brooklyn","4848 Broadview Rd","Sabor Miami Cafe & Gallery","2017-02-22 00:00:00"
OH,Cleveland,,"14001 Lakewood Heights Blvd","Speedys Grub Shack","2017-02-22 00:00:00"
OH,Cleveland,,"14001 Lakewood Heights Blvd","Speedys Grub Shack","2017-02-11 00:00:00"
OH,Cleveland,"Gateway District","530 Euclid Ave","Pour Cleveland","2017-02-08 00:00:00"
OH,Independence,,"7305 Broadview Rd",ALDI,"2017-01-16 00:00:00"
OH,Cleveland,Jefferson,"13101 Triskett Rd","George's  Kitchen","2017-01-09 00:00:00"
OH,Cleveland,Quadrangle,"2044 Euclid Ave",Bombaychaat,"2016-12-08 00:00:00"
OH,Cleveland,"Ohio City","1889 W 25th St","Soho Chicken + Whiskey","2016-12-08 00:00:00"
OH,"Cleveland Heights",,"2289 Lee Rd",Marottas,"2016-12-07 00:00:00"
OH,Cleveland,"Goodrich Kirtland","3211 Payne Ave","Wonton Gourmet & BBQ","2016-12-03 00:00:00"
OH,Cleveland,Tremont,"2609 W 14th St","Lincoln Park Pub","2016-11-17 00:00:00"
OH,Lakewood,,"18120 Sloane Ave","Nature's Bin","2016-10-11 00:00:00"
OH,Lakewood,,"15314 Madison Ave","The Mars Bar","2016-10-09 00:00:00"
OH,Lakewood,,"17100 Detroit Ave","The Proper Pig Smokehouse","2016-09-27 00:00:00"
OH,Cleveland,University,"11472 Euclid Ave","Otani Noodle","2016-09-15 00:00:00"
OH,Cleveland,Jefferson,"2154 W 117th St","Spincycle-W 117 LLC","2016-08-26 00:00:00"
OH,Cleveland,Jefferson,"2154 W 117th St","Spincycle-W 117 LLC","2016-08-22 00:00:00"
OH,Cleveland,Jefferson,"2154 W 117th St","Spincycle-W 117 LLC","2016-08-22 00:00:00"
OH,Lakewood,,"18605 Detroit Ave","Harry Buffalo","2016-08-10 00:00:00"
OH,Cleveland,"Gateway District","417 Prospect Ave E","Red The Steakhouse","2016-07-29 00:00:00"
OH,Cleveland,"Civic Center","1 Public Sq","Public Square","2016-07-29 00:00:00"
OH,Lakewood,,"16104 Hilliard Rd","Italian Creations","2016-07-29 00:00:00"
OH,Cleveland,Central,"5000 Euclid Ave","Agora Theatre & Ballroom","2016-07-29 00:00:00"
OH,Independence,,"6111 Quarry Ln","Winking Lizard","2016-07-29 00:00:00"
OH,Cleveland,"Civic Center","100 Lakeside Ave E","Bar 32","2016-07-29 00:00:00"
OH,Cleveland,,"13525 Lakewood Heights Blvd","Kelley's Pub","2016-07-24 00:00:00"
OH,Independence,,"6474 Brecksville Rd","Romito's Pizza West","2016-07-13 00:00:00"
OH,Cleveland,"Civic Center","1 Public Sq","Public Square","2016-06-29 00:00:00"
OH,Lakewood,,"17100 Detroit Ave","The Proper Pig Smokehouse","2016-05-19 00:00:00"
OH,Cleveland,"Goodrich Kirtland","2999 Payne Ave, Ste 145","Szechuan Cafe","2016-05-17 00:00:00"
OH,Cleveland,,"2482 Fairmount Blvd","Luna Bakery Cafe","2016-05-09 00:00:00"
OH,Cleveland,Tremont,"2135 Columbus, Ste B","Duck - Rabbit Coffee","2016-05-09 00:00:00"
OH,Cleveland,Tremont,"2135 Columbus, Ste B","Duck - Rabbit Coffee","2016-05-09 00:00:00"
OH,Cleveland,,"13525 Lakewood Heights Blvd","Kelley's Pub","2016-05-03 00:00:00"
OH,"Mentor On the",,"7877 Munson Rd","Ale Haus Tavern & Deli Shop","2016-04-15 00:00:00"
OH,"North Olmsted",,"24954 Brookpark Rd","Mashiso Asian Grille","2016-04-11 00:00:00"
OH,Cleveland,Tremont,"2135 Columbus, Ste B","Duck - Rabbit Coffee","2016-04-05 00:00:00"
OH,Cleveland,"Goodrich Kirtland","2999 Payne Ave, Ste 145","Szechuan Cafe","2016-03-28 00:00:00"
OH,Cleveland,"Goodrich Kirtland","3710 Payne Ave","Koko Bakery","2016-03-27 00:00:00"
OH,Cleveland,University,"11310-11314 Euclid Ave","Kung Fu Tea","2016-03-27 00:00:00"
OH,Lakewood,,"13735 Madison Ave","Thai Thai","2016-03-24 00:00:00"
OH,Cleveland,,"12316 Euclid Ave","Lake View Cemetery","2016-03-15 00:00:00"
OH,Cleveland,Detroit-Shoreway,"4150 Lorain Ave","B and G Tavern","2016-03-14 00:00:00"
OH,Lakewood,,"11832 Madison Ave","Madison Avenue Car Wash","2016-02-23 00:00:00"
OH,Cleveland,"Old Brooklyn","4517 State Rd","Cafe Miami","2016-01-21 00:00:00"
OH,Cleveland,,"13525 Lakewood Heights Blvd","Kelley's Pub","2016-01-17 00:00:00"
OH,Independence,,"6901 Rockside Rd",Starbucks,"2016-01-14 00:00:00"
OH,Bedford,,"25650 Aurora Rd","Las Americas","2016-01-09 00:00:00"
OH,"Fairview Park",,"3091 Westgate Mall","Enso: Rolls & Bowls","2016-01-09 00:00:00"
OH,Cleveland,"Ohio City","4309 Lorain Ave","Herb 'n Twine","2016-01-08 00:00:00"
OH,Cleveland,,"13525 Lakewood Heights Blvd","Kelley's Pub","2016-01-07 00:00:00"
OH,"Cleveland Heights",,"2950 Mayfield Rd","Motorcars Toyota","2016-01-07 00:00:00"
OH,Cleveland,"Civic Center","1325 E 6th St","Urban Farmer","2016-01-07 00:00:00"
OH,Parma,,"1930 Snow Rd","Fuji Grill Buffet","2015-12-30 00:00:00"
OH,"Parma Heights",,"6328 Pearl Rd","Chennai Delicacy","2015-12-22 00:00:00"
OH,Cleveland,Tremont,"710 Jefferson Ave","The Spotted Owl","2015-12-03 00:00:00"
QC,Montréal,Ville-Marie,"1260 Chemin Remembrance","Parc du Mont-Royal","2015-11-30 00:00:00"
OH,Lakewood,,"13507 Lakewood Heights Blvd","Ferris Deli & Restaurant","2015-11-30 00:00:00"
OH,Cleveland,"Ohio City","3910 Lorain Ave","Canopy Collective","2015-11-19 00:00:00"
OH,Cleveland,"Northeast District","1438 St Clair Ave","Crazy Horse","2015-11-19 00:00:00"
OH,Cleveland,,"5739 Broadview Rd","Ollie's Bargain Outlet","2015-11-19 00:00:00"
OH,Cleveland,"Warehouse District","1313 W 6th St","Hanabi Japanese Restaurant","2015-11-19 00:00:00"
OH,Cleveland,,"5739 Broadview Rd","Ollie's Bargain Outlet","2015-11-17 00:00:00"
OH,Cleveland,"Warehouse District","1313 W 6th St","Hanabi Japanese Restaurant","2015-11-03 00:00:00"
OH,Cleveland,Quadrangle,"100 Alfred Lerner Way","Cleveland Browns","2015-11-03 00:00:00"
OH,"Rocky River",,"19607 Detroit Rd","Whole Foods Market","2015-11-03 00:00:00"
OH,Cleveland,Riverside,"Cleveland Airport","Sammy's Beach Bar & Grill","2015-11-03 00:00:00"
OH,Lakewood,,"1475 Warren Rd","United States Post Office","2015-10-08 00:00:00"
OH,"Valley View",,"6150 WCanal Rd","E-Check Vehicle Emissions Testing","2015-10-07 00:00:00"
OH,Parma,,"8301 W Ridgewood Dr","Aspen Dental","2015-09-22 00:00:00"
OH,Independence,,"5905 Brecksville Rd","Cornerstone of Hope","2015-09-10 00:00:00"
OH,Cleveland,Chinatown,"Rockwell & 21st St","Night Market Cleveland","2015-08-26 00:00:00"
ON,Toronto,"Little Italy","1132 Dundas Street W","The Lakeview","2015-08-17 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"3581 Boulevard Saint-Laurent",SuWu,"2015-08-17 00:00:00"
OH,Cleveland,Tremont,"2234 Professor Ave","Polish Legion Amer Veterans","2015-08-13 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"29 Avenue Laurier O","Brouepub - Dieu du Ciel!","2015-08-13 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"74 Avenue Fairmount O","Fairmount Bagel","2015-08-13 00:00:00"
ON,Toronto,"Trinity Bellwoods","831 Dundas Street W","Dundas Video","2015-08-13 00:00:00"
OH,Cleveland,"Northeast District","825 E 9th St North Coast Harbor","Goodtime III","2015-08-13 00:00:00"
QC,Montréal,Ville-Marie,"1230 Boulevard Saint-Laurent","Café Cleopatra","2015-08-13 00:00:00"
OH,Cleveland,University,"11312 Euclid Ave","Kenko Sushi & Teriyaki","2015-07-29 00:00:00"
OH,Cleveland,,"2069 W 3rd St","Yellow Cab Company of Cleveland","2015-07-28 00:00:00"
OH,Cleveland,University,"11312 Euclid Ave","Kenko Sushi & Teriyaki","2015-07-12 00:00:00"
OH,Parma,,"1930 Snow Rd","Fuji Grill Buffet","2015-06-16 00:00:00"
OH,Lakewood,,"12102 Madison Ave","The Gorilla","2015-05-13 00:00:00"
OH,Cleveland,,"3318 Warren Rd","Anytime Fitness","2015-05-11 00:00:00"
OH,Lakewood,,"12102 Madison Ave","The Gorilla","2015-05-11 00:00:00"
OH,Cleveland,"Civic Center","601 Lakeside Ave E","City of Cleveland","2015-05-07 00:00:00"
OH,Cleveland,Tremont,"2373 Professor Ave","Edison's Pub","2015-05-01 00:00:00"
OH,Lakewood,,"15000 Detroit Ave","Cerny Shoes","2015-04-21 00:00:00"
OH,Lakewood,,"14900 Detroit Ave","Rozi's Wine House","2015-04-21 00:00:00"
OH,Cleveland,,"7600 Broadview Rd","S & R Farm Market","2015-04-13 00:00:00"
OH,Cleveland,Tremont,"2207 W 11th St","The South Side","2015-04-13 00:00:00"
OH,Cleveland,Tremont,"2529 W 10th St","Hotz's Café","2015-04-13 00:00:00"
OH,Cleveland,Fairfax,"9500 Euclid Ave","Cleveland Clinic - Main Campus","2015-03-13 00:00:00"
OH,"Rocky River",,"19332 Detroit Rd","Planet Fitness - Rocky River","2015-03-13 00:00:00"
OH,Cleveland,Tremont,"2527 W 25th St","Porco Lounge and Tiki Room","2015-03-13 00:00:00"
OH,Independence,,"6100 Brecksville Rd","NTB - National Tire & Battery","2015-03-13 00:00:00"
OH,Cleveland,"Little Italy","2072 Murray Hill Rd","Murray Hill Market","2015-03-09 00:00:00"
