state,city,neighborhood,address,name,date
AZ,Phoenix,,"5110 E Warner Rd, Ste 201","Accurate Acupuncture","2017-07-25 00:00:00"
AZ,Tempe,,"710 W Elliot Rd, Ste 102","Harvest of Tempe","2017-07-23 00:00:00"
AZ,Chandler,,"7131 W Ray Rd, Ste 28","Bath & Body Works","2017-07-20 00:00:00"
AZ,Tempe,,"710 W Elliot Rd, Ste 102","Harvest of Tempe","2017-07-20 00:00:00"
AZ,Tempe,,"1730 E Elliot Rd, Ste 10","Arizona World of Baseball","2017-07-19 00:00:00"
AZ,Tempe,,"1730 E Elliot Rd, Ste 10","Arizona World of Baseball","2017-07-17 00:00:00"
AZ,Phoenix,,"12925 S 48th St","Andy's Frozen Custard","2017-07-17 00:00:00"
AZ,Tempe,,"7510 S Priest Dr","Nara Hookah Lounge & Bar","2017-07-16 00:00:00"
AZ,Chandler,,"870 N 54th St",REI,"2017-07-16 00:00:00"
AZ,Chandler,,"870 N 54th St",REI,"2017-07-15 00:00:00"
AZ,Phoenix,,"12925 S 48th St","Andy's Frozen Custard","2017-07-15 00:00:00"
AZ,Phoenix,,"12925 S 48th St","Andy's Frozen Custard","2017-07-15 00:00:00"
AZ,Guadalupe,,"9210 S Avenida Del Yaqui","Guadalupe Farmer's Market","2017-07-10 00:00:00"
AZ,Tempe,,"838 W Elliot Rd",Fascinations,"2017-07-05 00:00:00"
NV,"Las Vegas",Summerlin,"9320 W Lake Mead Blvd","Sun City Animal Hospital","2017-07-05 00:00:00"
AZ,Phoenix,,"4747 E Elliot Rd",Safeway,"2017-07-04 00:00:00"
AZ,Chandler,,"3481 W Frye Rd","Chompie's Deli","2017-07-03 00:00:00"
AZ,Phoenix,,"4025 E Chandler Blvd","Be an Artist","2017-07-03 00:00:00"
AZ,Phoenix,,"17010 S 48th St","Pecos Park","2017-07-02 00:00:00"
AZ,Phoenix,,"4025 E Chandler Blvd","Be an Artist","2017-07-01 00:00:00"
AZ,Chandler,,"840 N 54th St","Toys R Us","2017-06-30 00:00:00"
AZ,Chandler,,"5040 Wild Horse Pass Blvd","Cafe 24/7","2017-06-30 00:00:00"
AZ,Tempe,,"54 W Rio Salado Pkwy","Tempe Beach Park","2017-06-29 00:00:00"
AZ,Tempe,,"1380 W Elliot Rd","Walmart Supercenter","2017-06-27 00:00:00"
AZ,Chandler,,"4040 W Ray Rd, Ste 2","AAA Chandler Office","2017-06-27 00:00:00"
AZ,Phoenix,,"4825 E Warner Rd","Zesty Zzeeks Pizza and Wings","2017-06-25 00:00:00"
AZ,Phoenix,,"4025 E Chandler Blvd, Ste 74","MOD Pizza","2017-06-22 00:00:00"
AZ,Tempe,,"1380 W Elliot Rd","Walmart Supercenter","2017-06-21 00:00:00"
AZ,Chandler,,"6150 W Chandler Blvd, Ste 17","Body In Balance Yoga","2017-06-20 00:00:00"
AZ,Chandler,,"1964 N Alma School Rd, Ste 1","Bella Gusto Urban Pizzeria","2017-06-18 00:00:00"
AZ,Phoenix,,"4206 E Chandler Blvd, Ste 9","Berry Beet Juice Bar","2017-06-17 00:00:00"
AZ,Tempe,,"3255 S Rural Rd","The Little Clinic","2017-06-15 00:00:00"
AZ,Chandler,,"1368 N Arizona Ave, Ste 101","Pizza On 87","2017-06-14 00:00:00"
AZ,Tempe,,"1804 E Southern Ave","Waxing The City","2017-06-14 00:00:00"
AZ,Chandler,,"1368 N Arizona Ave, Ste 101","Pizza On 87","2017-06-13 00:00:00"
AZ,Phoenix,,"4730 E Warner Rd","Panda Garden","2017-06-13 00:00:00"
NV,"Las Vegas",Southeast,"5757 Wayne Newton Blvd","McCarran International Airport","2017-06-13 00:00:00"
AZ,Gilbert,,"538 S Gilbert Rd, Ste 109","The Little Gym","2017-06-02 00:00:00"
AZ,Chandler,,"350 S Dobson Rd",Starbucks,"2017-06-02 00:00:00"
AZ,Chandler,,"300 S Chandler Village Dr","Chandler Museum","2017-06-01 00:00:00"
AZ,Phoenix,,"4875 E Elliot Rd",Walgreens,"2017-05-23 00:00:00"
AZ,Chandler,,"1055 S Arizona Ave, Ste 7","Sweet Daddy Cupcakes","2017-05-22 00:00:00"
NV,"Las Vegas",Summerlin,"9350 W Lake Mead Blvd","Dollar Tree","2017-05-15 00:00:00"
AZ,Phoenix,,"4902 E Warner Rd","Trattoria D'Amico","2017-05-04 00:00:00"
AZ,Chandler,,"3481 W Frye Rd","Chompie's Deli","2017-05-01 00:00:00"
AZ,Phoenix,,"401 E Jefferson St","Chase Field","2017-04-30 00:00:00"
AZ,Phoenix,,"4206 E Chandler Blvd, Ste 26","Angel Nails","2017-04-29 00:00:00"
AZ,Tempe,,"8550 S Emerald Dr","DICK'S Sporting Goods","2017-04-28 00:00:00"
AZ,Phoenix,,"4915 East Ray Rd","AMC Ahwatukee 24","2017-04-27 00:00:00"
AZ,Phoenix,,"4905 E Ray Rd, Ste 107","The Living Room Wine Café & Lounge","2017-04-26 00:00:00"
AZ,Phoenix,,"4915 East Ray Rd","AMC Ahwatukee 24","2017-04-26 00:00:00"
AZ,Chandler,,"6045 W Chandler Blvd, Ste 2","Dollar Tree","2017-04-24 00:00:00"
AZ,Tempe,,"1234 W Elliot Rd","Dollar Tree","2017-04-24 00:00:00"
AZ,Chandler,,"5040 Wild Horse Pass Blvd","Cafe 24/7","2017-04-24 00:00:00"
AZ,Tempe,,"1620 W Elliot Rd, Ste 106",Starbucks,"2017-04-23 00:00:00"
AZ,Phoenix,,"16TH St South Of Greenway Pkwy","Lookout Mountain Preserve","2017-04-22 00:00:00"
AZ,Tempe,,"500 E Veterans Way Tempe","Pat's Run","2017-04-22 00:00:00"
AZ,Phoenix,,"5063 E Elliot Rd","Caffe Boa Ahwatukee","2017-04-22 00:00:00"
AZ,Mesa,,"1650 S Stapley Dr","In-N-Out Burger","2017-04-22 00:00:00"
AZ,Scottsdale,,"9069 E Indian Bend Rd","5 & Diner","2017-04-22 00:00:00"
AZ,Chandler,,"7131 W Ray Rd","Aj's Purveyor of Fine Foods","2017-04-21 00:00:00"
AZ,Phoenix,,"737 E Glendale Ave","Imperial Kosher Market","2017-04-20 00:00:00"
AZ,Gilbert,,"183 E Williams Field Rd, Ste 109","SunDust Gallery Paint & Pottery Studio","2017-04-20 00:00:00"
AZ,Phoenix,,"5632 N 7th St, Ste 120","Little Cleo's Seafood Legend","2017-04-20 00:00:00"
AZ,Mesa,,"5846 E McKellips Rd","Fifi & Me","2017-04-20 00:00:00"
AZ,Phoenix,,"5053 N 44th St","Blossoms & Beehives","2017-04-20 00:00:00"
AZ,Phoenix,,"3333 E Van Buren St","Umom New Day Center","2017-04-20 00:00:00"
AZ,Phoenix,,"10827 S 51st St, Ste 104","Sunflower Meds - Phoenix","2017-04-20 00:00:00"
