state,city,neighborhood,address,name,date
AZ,Scottsdale,,"17851 N 85th St, Ste 300","Meritage Homes Corp","2017-03-27 00:00:00"
AZ,Scottsdale,,"8800 E Raintree Dr, Ste 300","Meritage Homes","2017-03-27 00:00:00"
AZ,Scottsdale,,"7077 E. Bell Rd.","Tilted Kilt Pub & Eatery","2017-01-30 00:00:00"
AZ,Scottsdale,,"6113 N Scottsdale Rd","Houston's Restaurant","2017-01-09 00:00:00"
AZ,Scottsdale,,"6835 E Camelback Rd","Kaleidoscope Juice","2017-01-07 00:00:00"
AZ,Phoenix,,"1902 W Union Hills Dr","US Post Office","2016-10-12 00:00:00"
AZ,Glendale,,"6039 W Bell Rd","Black Bear Diner","2016-06-13 00:00:00"
AZ,Phoenix,,"2375 E Camelback Rd, Ste 600","Perfect Resume","2016-06-13 00:00:00"
AZ,Glendale,,"19420 N 59th Ave, Ste D-415","Small Town Coffeehouse","2016-06-13 00:00:00"
AZ,Phoenix,,"8000 S Arizona Grand Pkwy","Arizona Grand Resort & Spa","2016-06-13 00:00:00"
AZ,Glendale,,"5940 W Union Hills Dr","Heroes Pub & Grub","2016-06-05 00:00:00"
AZ,Phoenix,,"3049 W Agua Fria Fwy","Fired Pie","2015-12-20 00:00:00"
AZ,Glendale,,"5901 W Bell Rd","Clean Freak Car Wash","2015-12-14 00:00:00"
AZ,Phoenix,,"19635 N Cave Creek Rd","Pietra Apartments","2015-12-08 00:00:00"
AZ,Glendale,,"6334 W Bell Rd","Sushi Catcher","2015-10-16 00:00:00"
AZ,Scottsdale,,"10401 E McDowell Mountain Ranch Rd, Ste 1","Twisted Lizard Tavern & Grill","2015-10-05 00:00:00"
NV,"Las Vegas",,"4321 W Flamingo Rd","Chronic Tacos","2015-10-05 00:00:00"
NV,"Las Vegas","The Strip","3411 S Las Vegas Blvd","White Castle","2015-10-05 00:00:00"
NV,"Las Vegas","The Strip","3667 Las Vegas Blvd S",YOLOS,"2015-10-05 00:00:00"
AZ,Scottsdale,,"7077 E. Bell Rd.","Tilted Kilt Pub & Eatery","2015-10-03 00:00:00"
AZ,Glendale,,"4330 W Union Hills","The 007 Pub","2015-09-23 00:00:00"
NV,"Las Vegas","The Strip","3790 Las Vegas Blvd S","Shake Shack","2015-09-23 00:00:00"
AZ,Glendale,,"5990 W Behrend Dr","Discount Tire Store - Glendale, AZ","2015-09-23 00:00:00"
AZ,Phoenix,,"2490 W Happy Valley Rd","Mellow Mushroom","2015-09-12 00:00:00"
NV,"Las Vegas",,"400 Flamingo Rd","Red Zone Bar","2015-08-31 00:00:00"
NV,"Las Vegas",,"400 Flamingo Rd","Red Zone Bar","2015-08-31 00:00:00"
AZ,Glendale,,"5901 W Bell Rd","Clean Freak Car Wash","2015-08-19 00:00:00"
AZ,Scottsdale,,"20831 N Scottsdale Rd, Ste 115","Freshbox Grayhawk","2015-07-23 00:00:00"
AZ,Scottsdale,,"7245 E Main St","Rusty Spur Saloon","2015-07-18 00:00:00"
AZ,Peoria,,"40202 N 87th Ave","Waterfront Bar & Grill","2015-07-18 00:00:00"
AZ,Scottsdale,,"15257 N Scottsdale Rd, Ste F150",Zinburger,"2015-07-18 00:00:00"
AZ,Phoenix,,"2501 W Happy Valley Rd, Ste 32-1070","Mens Lounge Barbershop","2015-07-18 00:00:00"
AZ,"Fountain Hills",,"11056 N Saguaro Blvd","Saddle Bronc Grill","2015-07-18 00:00:00"
AZ,Phoenix,,"27 W Madison St","Sing High Chop Suey House","2015-07-12 00:00:00"
AZ,Phoenix,,"2370 West Happy Valley Rd, Shops D, Ste 1069","Panera Bread","2015-06-26 00:00:00"
AZ,Phoenix,,"2370 West Happy Valley Rd, Shops D, Ste 1069","Panera Bread","2015-06-25 00:00:00"
AZ,Phoenix,,"6015 N 16th St","The Vig Uptown","2015-06-19 00:00:00"
AZ,Phoenix,,"200 E Van Buren St","KPNX 12 News","2015-06-19 00:00:00"
AZ,Phoenix,,"5835 N 16th St, Ste A","Swizzle Inn","2015-06-19 00:00:00"
AZ,Tempe,,"1010 W Southern Ave","Circle K","2015-06-18 00:00:00"
AZ,Glendale,,"7530 W Bell Rd, Ste 106","Pita Jungle","2015-06-16 00:00:00"
AZ,Scottsdale,,"20751 N Pima Rd, Ste 120","The Living Room","2015-05-22 00:00:00"
AZ,Phoenix,,"5310 E High St, Bldg A3, Ste 115","Toby Keiths I Love This Bar & Grill","2015-05-07 00:00:00"
AZ,Glendale,,"5739 W Glendale Ave","Haus Murphy's","2015-04-18 00:00:00"
AZ,Goodyear,,"17665 W Elliot Rd","Starpointe Resident Club","2015-02-21 00:00:00"
AZ,Scottsdale,,"7400 E Monte Cristo Ave","Barrett-Jackson Auction Company","2015-01-23 00:00:00"
AZ,Phoenix,,"2605 N 15th Ave","Encanto Park","2015-01-23 00:00:00"
AZ,Scottsdale,,"8081 E Princess Dr","Scottsdale Sports Complex","2015-01-23 00:00:00"
AZ,Peoria,,"Arrowhead Fountain Centre, 15814 N 83rd Ave","Cock Diesel","2015-01-23 00:00:00"
AZ,Scottsdale,,"16601 N Pima Rd","Westworld of Scottsdale","2015-01-23 00:00:00"
AZ,Phoenix,,"6505 N 20th St","Granada Park","2015-01-23 00:00:00"
AZ,Scottsdale,,"15681 N Hayden Rd, Ste 112","O.H.S.O. Distillery- North Scottsdale","2015-01-22 00:00:00"
AZ,Peoria,,"6750 W Peoria Ave","Enoch's Sports Lounge","2015-01-22 00:00:00"
AZ,Phoenix,,"3009 W Agua Fria Fwy, Ste 3",U-Swirl,"2015-01-22 00:00:00"
