state,city,neighborhood,address,name,date
ON,Toronto,Ryerson,"10 Dundas Street E, Suite 402","Cineplex Odeon Yonge & Dundas Cinemas","2017-07-25 00:00:00"
ON,"Bathurst Quay",,"550 Queens Quay W","Touti Gelati and Cafe","2017-07-25 00:00:00"
ON,Toronto,"Entertainment District","259 Richmond Street W","Scotiabank Theatre","2017-07-23 00:00:00"
ON,Toronto,Yorkville,"876 Yonge Street","Buster's Sea Cove","2017-07-23 00:00:00"
ON,Toronto,Yorkville,"876 Yonge Street","Buster's Sea Cove","2017-07-22 00:00:00"
ON,Toronto,Chinatown,"318 Spadina Avenue","Jackpot Chicken Rice","2017-07-19 00:00:00"
ON,Toronto,,"750 Spadina Avenue","Greg's Ice Cream","2017-07-14 00:00:00"
ON,Toronto,"Entertainment District","326 Adelaide Street W",Kiin,"2017-07-13 00:00:00"
ON,Toronto,"Yonge and St. Clair","81 Saint Clair Avenue E",Sobeys,"2017-07-09 00:00:00"
ON,Toronto,"Yonge and St. Clair","1438 Yonge Street","The Bagel House","2017-07-09 00:00:00"
ON,Toronto,"The Annex","454 Bloor Street W","Eva's Original Chimneys","2017-07-05 00:00:00"
ON,Toronto,,"Yorkdale Shopping Centre, 3401 Dufferin Street","Cineplex Cinemas Yorkdale","2017-07-01 00:00:00"
ON,Toronto,"Discovery District","55 Bloor Street W, Manulife Centre","Bay Bloor Radio","2017-06-30 00:00:00"
ON,Toronto,"West Queen West","940 Queen Street W","Hanji Paper & Gifts","2017-06-29 00:00:00"
ON,Toronto,"Downtown Core","925 Bay Street","Coffee Island","2017-06-26 00:00:00"
ON,Toronto,"West Queen West","1087 Queen Street W","Otto's Bierhalle","2017-06-25 00:00:00"
ON,Toronto,,"50 Bay Street, Suite 500","Real Sports Apparel","2017-06-23 00:00:00"
ON,Toronto,"Downtown Core","1033 Bay Street, Suite 320",Dotto-One,"2017-06-15 00:00:00"
ON,Toronto,Yorkville,"101 Yorkville Avenue","Summer's Ice Cream","2017-06-14 00:00:00"
ON,Toronto,"The Annex","153 Dupont Street","Haute Coffee","2017-06-14 00:00:00"
ON,Toronto,"The Annex","414 Dupont Street","Fat Pasha","2017-06-14 00:00:00"
ON,Toronto,"St. Lawrence","93 Front St E","Witteveen Meats","2017-06-09 00:00:00"
ON,Toronto,"Discovery District","596 Bay Street","Uncle Tetsu's Japanese Bake","2017-06-08 00:00:00"
ON,Toronto,"Downtown Core","1033 Bay Street, Suite 320",Dotto-One,"2017-06-01 00:00:00"
ON,Toronto,Yorkville,"874 Yonge Street","FAT Lamb Kouzina","2017-05-31 00:00:00"
ON,Toronto,Yorkville,"21 Davenport Road","Bhoj Indian Cuisine","2017-05-19 00:00:00"
ON,Toronto,"Yonge and Eglinton","2434 Yonge Street","Restoration Hardware","2017-05-18 00:00:00"
ON,Toronto,"Downtown Core","260 Yonge Street","Bar Verde","2017-05-15 00:00:00"
ON,Toronto,"Bayview Village","800 Sheppard Avenue E","Taro's Fish","2017-05-13 00:00:00"
ON,Toronto,"Bayview Village","800 Sheppard Avenue E","Taro's Fish","2017-05-13 00:00:00"
ON,Toronto,Yorkville,"1200 Bay Street","Pi Co","2017-05-13 00:00:00"
ON,Toronto,"West Queen West","780 Queen Street W",Nadege,"2017-05-13 00:00:00"
ON,Toronto,"Liberty Village","3-51 Hanna Avenue","EQ3 Toronto - Hanna","2017-05-12 00:00:00"
ON,Toronto,"St. Lawrence","33 Yonge Street","Houston Avenue Bar & Grill","2017-05-08 00:00:00"
ON,Toronto,Yorkville,"6 Scollard Street","Caffe Di Portici","2017-05-07 00:00:00"
ON,Toronto,Corktown,"145 Berkeley Street",Haven,"2017-05-06 00:00:00"
ON,Toronto,"Church-Wellesley Village","507 Church St","Crêpe It Up","2017-05-05 00:00:00"
ON,Toronto,,"215 Lakeshore Boulevard E","FedEx World Service Centre","2017-04-30 00:00:00"
ON,Toronto,"Distillery District","50 Tank House Lane","Young Centre for the Performing Arts","2017-04-30 00:00:00"
ON,Toronto,"Downtown Core","398 Church St","KINKA IZAKAYA ORIGINAL","2017-04-29 00:00:00"
ON,Toronto,Niagara,"52 Bathurst St","car2go Toronto","2017-04-28 00:00:00"
ON,Toronto,"Downtown Core","176 Yonge Street","Sak's Food Hall","2017-04-16 00:00:00"
ON,Toronto,"Downtown Core","176 Yonge Street","Pusateri fine foods","2017-04-16 00:00:00"
ON,Toronto,"Church-Wellesley Village","60 Carlton Street",Loblaws,"2017-04-14 00:00:00"
ON,Toronto,"Liberty Village","3-51 Hanna Avenue","EQ3 Toronto - Hanna","2017-04-13 00:00:00"
ON,Toronto,,"200 Queens Quay E, Suite 6",Eurolite,"2017-04-13 00:00:00"
ON,Toronto,,"200 Queens Quay E, Suite 6",Eurolite,"2017-04-12 00:00:00"
ON,Toronto,Scarborough,"50 Thermos Road",Costco,"2017-04-11 00:00:00"
ON,Toronto,"Discovery District","78 Gerrard Street W","Somethin' 2 Talk About","2017-04-07 00:00:00"
ON,Toronto,"Discovery District","78 Gerrard Street W","Somethin' 2 Talk About","2017-04-06 00:00:00"
ON,Toronto,"Discovery District","828 Bay Street","Bombay Street Food","2017-04-02 00:00:00"
ON,Toronto,,"80 Ronald Avenue",Elte,"2017-04-01 00:00:00"
ON,Toronto,Niagara,"717 Queen Street W","Nugateau Patisserie","2017-03-28 00:00:00"
ON,Toronto,"Alexandra Park","585 Queen Street W",Loblaws,"2017-03-17 00:00:00"
ON,Toronto,"Discovery District","596 Bay Street","Uncle Tetsu's Japanese Bake","2017-03-15 00:00:00"
ON,Toronto,"St. Lawrence","9 Church St","El Local Loco","2017-02-04 00:00:00"
ON,Toronto,"Downtown Core","33 Victoria Street","Service Ontario","2017-01-27 00:00:00"
ON,Toronto,"Christie Pits","796 Bloor Street W","Banjara Indian Cuisine","2017-01-26 00:00:00"
ON,Toronto,Yorkville,"55 Bloor Street W","William Ashley China","2017-01-17 00:00:00"
ON,Toronto,Leslieville,"1000 Gerrard Street E","The Home Depot","2017-01-17 00:00:00"
ON,Toronto,"Entertainment District","295 Adelaide St W",Figo,"2017-01-15 00:00:00"
ON,Toronto,Corktown,"52 Church Street","Crepe TO","2017-01-12 00:00:00"
ON,Toronto,"Discovery District","72 Gerrard Street W","Epicure City BOM","2017-01-09 00:00:00"
ON,Toronto,"Discovery District","72 Gerrard Street W","Epicure City BOM","2017-01-07 00:00:00"
ON,Toronto,"Kensington Market","237 Augusta Avenue","Wafels & More","2017-01-06 00:00:00"
ON,Toronto,,"31 Howard Street",Tinuno,"2017-01-06 00:00:00"
ON,Toronto,,"550 Wellington Street W","Colette Grand Cafe","2017-01-03 00:00:00"
ON,Markham,"Brown's Corners","First Markham Place, 3225 Highway 7 E","Diamond Banquet Hall","2016-12-27 00:00:00"
ON,Toronto,Ryerson,"329 Yonge Street","Five Guys","2016-12-20 00:00:00"
ON,Toronto,"St. Lawrence","222 The Esplanade","Cluck Clucks","2016-12-17 00:00:00"
ON,Toronto,"University of Toronto","7 Hart House Circle","The 2016 Yelpie Awards","2016-12-14 00:00:00"
ON,Etobicoke,Etobicoke,"4243 Dundas Street W","Ma Maison","2016-12-10 00:00:00"
ON,Toronto,"University of Toronto","7 Hart House Circle","The 2016 Yelpie Awards","2016-12-08 00:00:00"
