state,city,neighborhood,address,name,date
NC,Charlotte,,"8508 Park Rd","The UPS Store","2017-07-19 00:00:00"
NC,Charlotte,,"8652 Pineville Matthews Rd","Las Americas","2017-07-19 00:00:00"
NC,Charlotte,,"8508 Park Rd","The UPS Store","2017-07-18 00:00:00"
SC,"Fort Mill",,"3665 Vandora Springs Rd",Aldi,"2017-07-17 00:00:00"
SC,"Fort Mill",,"1504 Carolina Pl Dr","Empire Pizza & Bar","2017-07-17 00:00:00"
NC,Charlotte,"South End","2135 Southend Dr, Ste 109","Roots Cafe","2017-07-17 00:00:00"
NC,Charlotte,Dilworth,"1227 East Blvd","Harris Teeter","2017-06-23 00:00:00"
NC,Charlotte,Dilworth,"1408 East Blvd, Unit C","The Fresh Market","2017-06-23 00:00:00"
NC,Charlotte,,"116 Clanton Rd",QuikTrip,"2017-06-23 00:00:00"
NC,Charlotte,Dilworth,"1408 E Blvd","Pet Supermarket","2017-06-23 00:00:00"
NC,Charlotte,"South End","220 East Blvd","Sunflour Baking Company","2017-06-23 00:00:00"
NC,Charlotte,"University City","8948 J M Keynes Dr","Yelp's Barbeque Bash @ City Barbeque","2017-06-18 00:00:00"
NC,Charlotte,,"7631 Sharon Lakes Rd","Cherry House II","2017-06-17 00:00:00"
NC,Charlotte,Arboretum,"8200 Providence Rd, Ste 700","Charlotte Cafe","2017-06-10 00:00:00"
NC,Charlotte,Arboretum,"10620 Providence Rd, Ste A","Inizio Pizza Napoletana","2017-06-10 00:00:00"
NC,Charlotte,Arboretum,"8148 Providence Rd","Firestone Complete Auto Care","2017-06-10 00:00:00"
NC,Charlotte,Uptown,"501 S College St","Charlotte Convention Center","2017-06-09 00:00:00"
NC,Concord,,"6028 Bayfield Pkwy","Jersey Mike's Subs","2017-06-09 00:00:00"
NC,Charlotte,"Myers Park","2820 Selwyn Ave, Ste 160","Twenty Degrees Chocolates","2017-06-07 00:00:00"
SC,"Fort Mill",,"1740 Highway 160 W","Cvs Pharmacy","2017-05-21 00:00:00"
SC,"Fort Mill",,"West Town Market, 1750 Hwy 160 W, Ste 103","Great Clips","2017-05-21 00:00:00"
SC,"Fort Mill",,"1505 Carolina Place Dr","Charanda Mexican Grill & Cantina","2017-05-21 00:00:00"
NC,Charlotte,"Steele Creek","2414 Sandy Porter Rd","Mac's Speed Shop","2017-05-20 00:00:00"
NC,Charlotte,"South End","1812 South Blvd","The Liberty","2017-05-20 00:00:00"
NC,Charlotte,Elizabeth,"1015 Providence Rd","Harris Teeter","2017-05-13 00:00:00"
SC,"Fort Mill",,"1646 Hwy 160, Ste 106","Blacow Burger","2017-05-13 00:00:00"
NC,Charlotte,Sedgefield,"3701 South Blvd",AutoZone,"2017-05-13 00:00:00"
NC,Charlotte,"Steele Creek","12807 S Tryon St","Rise Biscuits Donuts","2017-05-13 00:00:00"
SC,"Fort Mill",,"229 Main St","Mud Puddle","2017-05-12 00:00:00"
NC,Charlotte,Elizabeth,"1941 E 7th St","Sandwich Max","2017-05-12 00:00:00"
NC,Charlotte,Cotswold,"135 S Sharon Amity Rd","Horizon Eye Care","2017-05-11 00:00:00"
NC,Charlotte,,"5033 South Blvd, Ste G","Jasmine Grill","2017-05-11 00:00:00"
NC,Charlotte,,"324 S Mint","BB&T Ballpark","2017-05-09 00:00:00"
NC,Charlotte,Starmount,"5100 S Blvd, Ste C","Crispy Banh Mi","2017-05-09 00:00:00"
NC,Pineville,,"11000 Nations Ford Rd","Kopper Kettle Restaurant","2017-04-26 00:00:00"
NC,Kannapolis,,"2825 Lane St","Pilot Travel Center","2017-04-21 00:00:00"
NC,Charlotte,,"4630 Old Pineville Rd","McKoy's Smokehouse & Saloon","2017-04-21 00:00:00"
QC,Montréal,Ville-Marie,"1459 Crescent Rue","Sir Winston Churchill Pub","2017-04-19 00:00:00"
QC,Montréal,Ville-Marie,"1085 Rue de la Cathédrale","Cathedrale Marie-Reine-du-Monde","2017-04-19 00:00:00"
QC,Montréal,Ville-Marie,,"Le Square Dorchester","2017-04-19 00:00:00"
QC,Montréal,Sud-Ouest,"2519 Rue Notre-Dame Ouest","Le Vin Papillon","2017-04-19 00:00:00"
QC,Montréal,Sud-Ouest,"2496 Rue Notre Dame O","Pub Burgundy Lion","2017-04-19 00:00:00"
QC,Montréal,Ville-Marie,"1210 Rue Peel","McLean's Pub","2017-04-19 00:00:00"
QC,Dorval,Saint-Laurent,"975 Boulevard Roméo-Vachon N","Aéroport International Pierre-Elliott-Trudeau","2017-04-18 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"3895 Boulevard Saint-Laurent",Schwartz's,"2017-04-18 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"3563, Boulevard Saint-Laurent","Presse Café","2017-04-18 00:00:00"
QC,Montréal,Ville-Marie,"460 Boul Rene-Levesque O","St Patrick's Basilica","2017-04-18 00:00:00"
QC,Montréal,Plateau-Mont-Royal,"3861 Saint-Laurent",Pharmaprix,"2017-04-18 00:00:00"
QC,Montréal,Ville-Marie,"800 Rue de la Gauchetière W","Ville souterraine RESO /Underground City","2017-04-18 00:00:00"
QC,Montreal,Ville-Marie,"185 Rue Sainte-Catherine Ouest","Musée d'Art Contemporain de Montréal","2017-04-18 00:00:00"
QC,Montréal,Ville-Marie,,Uber,"2017-04-16 00:00:00"
QC,Dorval,Pointe-Claire,"1900 Trans-Canada Highway","Hampton Inn & Suites","2017-04-16 00:00:00"
NC,Charlotte,"University City","7031 University City Blvd",Culver's,"2017-04-02 00:00:00"
NC,Charlotte,"University City","10230 Berkeley Place Dr","Giacomo's Pizzeria and Italian Restaurant","2017-03-26 00:00:00"
NC,Charlotte,"South Park","720 Governor Morrison St, Ste 120","Yafo Kitchen","2017-03-22 00:00:00"
SC,"Fort Mill",,"1750 Hwy 160 W","Harris Teeter","2017-03-22 00:00:00"
NC,Charlotte,NoDa,"3120 N Davidson St","Growlers Pourhouse","2017-03-22 00:00:00"
NC,Concord,,"4550 Davidson Hwy",McDonald's,"2017-03-22 00:00:00"
NC,Charlotte,,"5489 R C Josh Birmingham Pkwy","National Car Rental","2017-03-20 00:00:00"
NC,Charlotte,,"2904 Yorkmont Rd, Ste C","Anita's Mexican Grill","2017-03-20 00:00:00"
NC,Charlotte,"Steele Creek","2127 Ayrsley Town Blvd, Ste 103","Harry's Grille & Tavern","2017-03-20 00:00:00"
NC,Charlotte,,"2904 Yorkmont Rd","Yorkmont Bp","2017-03-20 00:00:00"
NC,Charlotte,,"8334 Pineville Matthew Rd","Mr Tokyo Japanese Restaurant","2017-03-07 00:00:00"
NC,Pineville,,"8322 Pineville-Matthews Rd.","Walmart Neighborhood Market","2017-03-07 00:00:00"
NC,Charlotte,,"1600 E Woodlawn Rd, Ste 150",Hibiscus,"2017-02-13 00:00:00"
NC,Charlotte,"Steele Creek","1925 Westinghouse Blvd","La Poblanita Mexican Restaurant & Candy Store","2017-02-13 00:00:00"
NC,Charlotte,,"3025 Wilkinson Blvd",QuikTrip,"2017-01-28 00:00:00"
NC,Charlotte,,"4600 Wilkinson Blvd","Carolina Family Restaurant","2017-01-28 00:00:00"
NC,Charlotte,,"8470 Bellhaven Blvd","Heirloom Restaurant","2017-01-24 00:00:00"
NC,Charlotte,"Steele Creek","8720 Rachel Freeman Way",Wendy's,"2017-01-18 00:00:00"
NC,Charlotte,"Steele Creek","2130 Ayrsley Town Blvd, Ste C","@ Dawn","2017-01-15 00:00:00"
NC,Charlotte,"Steele Creek","4821 Berewick Town Ctr","Harris Teeter","2017-01-15 00:00:00"
NC,Charlotte,Cotswold,"1133 N Wendover Rd","Julia's Café and Books","2017-01-15 00:00:00"
NC,Charlotte,Ballantyne,"14027 Conlan Cir, Ste A-1","Tony's Pizza- Ballantyne","2017-01-08 00:00:00"
NC,Charlotte,Starmount,"8201 South Blvd","Williams Buick GMC","2017-01-08 00:00:00"
NC,Charlotte,,"227 Southside Dr","The Broken Spoke","2017-01-02 00:00:00"
NC,Charlotte,Ballantyne,"12235 N Community House Rd","Earth Fare","2017-01-02 00:00:00"
NC,Charlotte,"Fourth Ward","401 W 9th St","Alexander Michael's","2017-01-02 00:00:00"
NC,Charlotte,Ballantyne,"Ardrey Kell & Rea Roads",Blakeney,"2017-01-01 00:00:00"
NC,Charlotte,,"7926-A Rea Road",T-Mobile,"2017-01-01 00:00:00"
NC,Charlotte,Ballantyne,"9820 E Rea Rd","Greco Fresh Grille","2017-01-01 00:00:00"
SC,"Indian Land",,"8390 Charlotte Hwy","Cruzin Reubenz by Phil's Deli","2016-12-31 00:00:00"
NC,Charlotte,,"5341 Ballantyne Commons Pkwy, Ste 100","Total Wine & More","2016-12-31 00:00:00"
NC,Gastonia,,"1821 Remount Rd","Cracker Barrel Old Country Store","2016-12-30 00:00:00"
SC,"Fort Mill",,"9759 Charlotte Hwy",Shell,"2016-12-30 00:00:00"
NC,Gastonia,,"2932 E Franklin Blvd","Dynasty Buffett","2016-12-30 00:00:00"
NC,Gastonia,,"3054 E Franklin Blvd, Ste 1","Best Buy","2016-12-30 00:00:00"
NC,Gastonia,,"2990 E Franklin Blvd","Krispy Kreme Doughnut","2016-12-30 00:00:00"
NC,Gastonia,,"2998 E Franklin Blvd",McDonald's,"2016-12-28 00:00:00"
NC,Cramerton,,"202 Market St, Ste G",Georgio's,"2016-12-28 00:00:00"
NC,Charlotte,"Third Ward",,"City of Charlotte","2016-12-28 00:00:00"
NC,Gastonia,,"3028 E Franklin Blvd","Pep Boys","2016-12-28 00:00:00"
NC,Charlotte,Starmount,"6260 South Blvd",Autozone,"2016-12-27 00:00:00"
NC,Charlotte,Cotswold,"282 S Sharon Amity Rd","Cotswold Village Shops","2016-12-25 00:00:00"
NC,Charlotte,"South Park","721 Governor Morrison St, Ste 110","Earth Fare","2016-12-25 00:00:00"
NC,Charlotte,"South Park","4320 Sharon Rd","Crate & Barrel","2016-12-25 00:00:00"
NC,Charlotte,Cotswold,"4450 Randolph Rd, Ste 100",Starbucks,"2016-12-24 00:00:00"
NC,Charlotte,Cotswold,"206 S Sharon Amity Rd",PetSmart,"2016-12-24 00:00:00"
NC,Charlotte,"Sherwood Forest","330 South Sharon Amity road","World Market","2016-12-24 00:00:00"
NC,Charlotte,Cotswold,"617 S Sharon Amity Rd","Eddie's Place","2016-12-24 00:00:00"
NC,Charlotte,Cotswold,"306 S Sharon Amity Rd","Panera Bread","2016-12-24 00:00:00"
NC,Charlotte,"South End","1537 Camden Rd","Phat Burrito","2016-12-19 00:00:00"
NC,Concord,,"1512 Concord Pkwy N",Wendy's,"2016-12-19 00:00:00"
NC,Charlotte,,,"Poprock Photography","2016-12-11 00:00:00"
NC,Charlotte,,"5011 South Blvd","The Mad Greek","2016-12-03 00:00:00"
PA,Murrysville,,"4701 William Penn Hwy",Sheetz,"2016-12-02 00:00:00"
PA,Pittsburgh,"Strip District","2022 Penn Ave","The Enrico Biscotti","2016-12-01 00:00:00"
PA,Pittsburgh,,"Point State Park","Monongahela River","2016-12-01 00:00:00"
PA,Pittsburgh,"North Side","North Shore Dr","Southwestern Pennsylvania World War II Memorial","2016-12-01 00:00:00"
PA,Pittsburgh,"North Side","North Shore Dr","Tribute To Children","2016-12-01 00:00:00"
PA,Pittsburgh,"South Side","100 West Station Square Dr","Grand Concourse","2016-11-30 00:00:00"
PA,Pittsburgh,"Mt. Washington",,"Mount Washington","2016-11-30 00:00:00"
PA,Pittsburgh,"South Side","5 Grandview Ave","Monongahela Incline","2016-11-30 00:00:00"
