state,city,neighborhood,address,name,date
AZ,Avondale,,"150 North Avondale Blvd",QuikTrip,"2017-06-29 00:00:00"
AZ,Phoenix,,"100 E Camelback Rd, Ste 150",Creamistry,"2017-06-29 00:00:00"
AZ,Scottsdale,,"6114 N Scottsdale Rd","Andaz Scottsdale Resort & Spa","2017-06-29 00:00:00"
AZ,Scottsdale,,"6850 E Main St",ZuZu,"2017-06-29 00:00:00"
AZ,Phoenix,,"3422 W Glendale Ave","The Cracked Egg","2017-06-21 00:00:00"
AZ,Scottsdale,,"4222 N Marshall Way","Vidogi Salon & Boutique","2017-06-21 00:00:00"
AZ,Glendale,,"5350 W Bell Rd, Ste 130","Crazy Mike's Wings","2017-06-21 00:00:00"
AZ,Glendale,,"6766 West Glendale Ave, Ste 130","Nails and Spa by Cindy","2017-06-21 00:00:00"
AZ,Phoenix,,"2818 N Central Ave","Best of Philly","2017-06-21 00:00:00"
AZ,Glendale,,"5810 W Bell Rd","El Pollo Loco","2017-06-21 00:00:00"
AZ,Phoenix,,"1724 W Van Buren","Arts All American Cafe","2017-06-21 00:00:00"
AZ,Scottsdale,,"10601 N 56th St","Orange Tree Golf Resort","2017-06-21 00:00:00"
NV,"Las Vegas",Chinatown,"4215 Spring Mountain Rd, Ste B112","Noodle Pot","2017-06-21 00:00:00"
AZ,Glendale,,"6738 W Bell Rd","Oregano's Pizza Bistro","2017-06-21 00:00:00"
AZ,Avondale,,"10025 W McDowell Rd","Old Navy","2017-06-21 00:00:00"
AZ,Phoenix,,"50 W Jefferson St","Gypsy Bar","2017-06-21 00:00:00"
AZ,Avondale,,"11435 W Buckeye Rd, Ste A101",Starbucks,"2017-06-21 00:00:00"
AZ,Tempe,,"3415 S McClintock Dr, Ste 107","Ramen Dozo","2017-06-21 00:00:00"
AZ,Goodyear,,"15605 W Roosevelt St, Ste 107","Enroute Coffee and Tea House","2017-06-21 00:00:00"
AZ,Glendale,,"6666 W Peoria Ave, Ste 119-120","D & Y Chinese","2017-06-21 00:00:00"
AZ,Phoenix,,"701 W Mcdowell Rd, Ste 100",Starbucks,"2017-06-21 00:00:00"
AZ,Tempe,,"2000 E Rio Salado Pkwy","Tempe Marketplace","2017-06-21 00:00:00"
NV,"Las Vegas",Chinatown,"4255 Spring Mountain Rd, Ste 110","Diamond Bakery","2017-06-21 00:00:00"
AZ,Mesa,,"1139 S Dobson Rd, Ste 101","Boba Tree Lin Tea House","2017-06-21 00:00:00"
AZ,Glendale,,"5920 W Bell Rd",Arby's,"2017-06-21 00:00:00"
