state,city,neighborhood,address,name,date
NV,Henderson,Anthem,"2811 W Horizon Ridge Pkwy","Desert Radiology","2017-07-25 00:00:00"
NV,Henderson,Anthem,"2811 W Horizon Ridge Pkwy","Desert Radiology","2017-07-25 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Ricos Tacos El Tio","2017-07-25 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Ricos Tacos El Tio","2017-07-25 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Ricos Tacos El Tio","2017-07-25 00:00:00"
NV,Henderson,,"1430 W Horizon Ridge Pkwy","Ricos Tacos El Tio","2017-07-25 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H-1","La Flor de Michoacan","2017-07-24 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H-1","La Flor de Michoacan","2017-07-24 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H-1","La Flor de Michoacan","2017-07-24 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H-1","La Flor de Michoacan","2017-07-24 00:00:00"
NV,"Las Vegas",Southeast,"9400 S Eastern Ave, Ste 102-103","Island Sushi & Grill","2017-07-23 00:00:00"
NV,"Las Vegas",Southeast,"9400 S Eastern Ave, Ste 102-103","Island Sushi & Grill","2017-07-23 00:00:00"
NV,"Las Vegas",Southeast,"9400 S Eastern Ave, Ste 102-103","Island Sushi & Grill","2017-07-23 00:00:00"
NV,"Las Vegas",Southeast,"9400 S Eastern Ave, Ste 102-103","Island Sushi & Grill","2017-07-23 00:00:00"
NV,"Las Vegas",Southeast,"9400 S Eastern Ave, Ste 102-103","Island Sushi & Grill","2017-07-23 00:00:00"
NV,"Las Vegas","Spring Valley","3655 S Durango Dr, Ste 11-14","Zaytoon Restaurant","2017-07-23 00:00:00"
NV,"Las Vegas","Spring Valley","3655 S Durango Dr, Ste 11-14","Zaytoon Restaurant","2017-07-23 00:00:00"
NV,"Las Vegas","Spring Valley","3655 S Durango Dr, Ste 11-14","Zaytoon Restaurant","2017-07-23 00:00:00"
NV,"Las Vegas","Spring Valley","3655 S Durango Dr, Ste 11-14","Zaytoon Restaurant","2017-07-23 00:00:00"
NV,"Las Vegas",Southeast,"467 E Silverado Ranch Blvd, Unit 155","Island Pacific Seafood Market","2017-07-23 00:00:00"
NV,"Las Vegas",Southwest,"8090 S Durango Dr","Island Flavor","2017-07-22 00:00:00"
NV,"Las Vegas",Eastside,"3270 E Tropicana Ave","Great Buns Bakery","2017-07-21 00:00:00"
NV,"Las Vegas",Eastside,"3270 E Tropicana Ave","Great Buns Bakery","2017-07-21 00:00:00"
NV,"Las Vegas",Eastside,"3270 E Tropicana Ave","Great Buns Bakery","2017-07-21 00:00:00"
NV,"Las Vegas",Eastside,"3890 S Maryland Pkwy","Seafood City Supermarket","2017-07-21 00:00:00"
NV,"Las Vegas",Eastside,"3890 S Maryland Pkwy, Ste 137",Jollibee,"2017-07-21 00:00:00"
NV,"Las Vegas",Eastside,"3890 S Maryland Pkwy, Ste 137",Jollibee,"2017-07-21 00:00:00"
NV,"Las Vegas","The Strip","3049 S Las Vegas Blvd","Tacos El Gordo","2017-07-21 00:00:00"
NV,"Las Vegas","The Strip","3049 S Las Vegas Blvd","Tacos El Gordo","2017-07-21 00:00:00"
NV,"Las Vegas","The Strip","3049 S Las Vegas Blvd","Tacos El Gordo","2017-07-21 00:00:00"
NV,"Las Vegas","The Strip","3049 S Las Vegas Blvd","Tacos El Gordo","2017-07-21 00:00:00"
NV,"Las Vegas","The Strip","3049 S Las Vegas Blvd","Tacos El Gordo","2017-07-21 00:00:00"
NV,"Las Vegas",Eastside,"3890 S Maryland Pkwy","Magnolia Ice Cream and Treats","2017-07-21 00:00:00"
NV,Henderson,,"1017 Whitney Ranch Dr","Chile Caliente Tacos Y Mariscos","2017-07-18 00:00:00"
NV,Henderson,,"1017 Whitney Ranch Dr","Chile Caliente Tacos Y Mariscos","2017-07-18 00:00:00"
NV,Henderson,,"1017 Whitney Ranch Dr","Chile Caliente Tacos Y Mariscos","2017-07-18 00:00:00"
NV,Henderson,,"1017 Whitney Ranch Dr","Chile Caliente Tacos Y Mariscos","2017-07-18 00:00:00"
NV,"Las Vegas",Chinatown,"4355 W Spring Mountain Rd, Ste 101A","Pho 90","2017-07-09 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-07-08 00:00:00"
NV,"Las Vegas",Chinatown,"4355 W Spring Mountain Rd, Ste 101A","Pho 90","2017-07-06 00:00:00"
NV,"Las Vegas",Chinatown,"4355 W Spring Mountain Rd, Ste 101A","Pho 90","2017-07-06 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-07-05 00:00:00"
NV,"Las Vegas",Southeast,"7400 S Las Vegas Blvd","Puma Factory Outlet Store","2017-07-04 00:00:00"
NV,"Las Vegas",Southeast,"7400 Las Vegas Blvd, Ste 9","Columbia Sportswear Outlet","2017-07-04 00:00:00"
NV,"Las Vegas",,"4513 N Lamb Blvd","Culligan Water Conditioning of Las Vegas","2017-07-03 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-07-02 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-07-01 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-07-01 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-07-01 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-07-01 00:00:00"
NV,Henderson,,"791 Marks St","Costco Wholesale Gas","2017-07-01 00:00:00"
NV,Henderson,,"20 Costa Di Lago, Ste 120","Seasons Grocery","2017-07-01 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-07-01 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-07-01 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-30 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-30 00:00:00"
NV,Henderson,,"661 Marks St","Great Harvest Bread Company","2017-06-29 00:00:00"
NV,Henderson,,"661 Marks St","Great Harvest Bread Company","2017-06-29 00:00:00"
NV,Henderson,,"661 Marks St","Great Harvest Bread Company","2017-06-29 00:00:00"
NV,Henderson,,"661 Marks St","Great Harvest Bread Company","2017-06-29 00:00:00"
NV,Henderson,,"661 Marks St","Great Harvest Bread Company","2017-06-29 00:00:00"
NV,Henderson,,"350 W Lake Mead Pkwy",Target,"2017-06-29 00:00:00"
NV,"Las Vegas",Southeast,"8846 S Eastern Ave, Ste 102","Island Flavor ","2017-06-29 00:00:00"
NV,"Las Vegas",Southeast,"8846 S Eastern Ave, Ste 102","Island Flavor ","2017-06-29 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H-1","La Flor de Michoacan","2017-06-29 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H-1","La Flor de Michoacan","2017-06-29 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H-1","La Flor de Michoacan","2017-06-29 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-06-29 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-06-29 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-06-29 00:00:00"
NV,Henderson,,"605 Mall Ring Cir, Ste 110","No 1 Boba tea","2017-06-29 00:00:00"
NV,Henderson,,"791 Marks St","Costco Wholesale Gas","2017-06-28 00:00:00"
NV,Henderson,,"1301 W Sunset Rd","Pasta Cucina","2017-06-27 00:00:00"
NV,Henderson,,"1301 W Sunset Rd","Pasta Cucina","2017-06-27 00:00:00"
NV,Henderson,,"1301 W Sunset Rd","Pasta Cucina","2017-06-27 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-25 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-25 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-25 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-25 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-25 00:00:00"
NV,"Las Vegas",University,"730 E Flamingo Rd, Ste 10","Mint Indian Bistro","2017-06-25 00:00:00"
NV,"Las Vegas",University,"730 E Flamingo Rd, Ste 10","Mint Indian Bistro","2017-06-25 00:00:00"
NV,"Las Vegas",University,"730 E Flamingo Rd, Ste 10","Mint Indian Bistro","2017-06-25 00:00:00"
NV,"Las Vegas",University,"730 E Flamingo Rd, Ste 10","Mint Indian Bistro","2017-06-25 00:00:00"
NV,"Las Vegas","The Strip","Nordstrom, 3200 Las Vegas Blvd S",Ebar,"2017-06-25 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-06-25 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-06-25 00:00:00"
NV,Henderson,,"641 N Stephanie St","Grand Kebab","2017-06-25 00:00:00"
NV,Henderson,Anthem,"10251 S Eastern Ave, Ste C","Pink Box Doughnuts","2017-06-24 00:00:00"
NV,Henderson,Anthem,"10251 S Eastern Ave, Ste C","Pink Box Doughnuts","2017-06-24 00:00:00"
NV,Henderson,Anthem,"10251 S Eastern Ave, Ste C","Pink Box Doughnuts","2017-06-24 00:00:00"
NV,"Las Vegas",Southeast,"9460 S Eastern Ave, Ste 130","Sushi Hiro","2017-06-23 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-03 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-03 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-06-03 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-06-03 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-06-03 00:00:00"
NV,Henderson,,"72 Horizon Ridge Pkwy, Ste 100","Il Chianti Italian","2017-06-01 00:00:00"
NV,Henderson,,"72 Horizon Ridge Pkwy, Ste 100","Il Chianti Italian","2017-06-01 00:00:00"
NV,Henderson,,"72 Horizon Ridge Pkwy, Ste 100","Il Chianti Italian","2017-06-01 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-06-01 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-06-01 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-06-01 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-06-01 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-30 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-30 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-30 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-30 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-30 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-28 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-28 00:00:00"
NV,"Las Vegas",Southwest,"7745 S Rainbow Blvd","Omoide Noodles & Bowls","2017-05-28 00:00:00"
NV,"Las Vegas",Southwest,"7745 S Rainbow Blvd","Omoide Noodles & Bowls","2017-05-28 00:00:00"
NV,"Las Vegas",Southwest,"7745 S Rainbow Blvd","Omoide Noodles & Bowls","2017-05-28 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd, Ste 9B","Loftti Cafe","2017-05-28 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd, Ste 9B","Loftti Cafe","2017-05-28 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd, Ste 9B","Loftti Cafe","2017-05-28 00:00:00"
NV,Henderson,,"50 North Valle Verde Dr","The Chicken Shack","2017-05-28 00:00:00"
NV,Henderson,,"50 North Valle Verde Dr","The Chicken Shack","2017-05-28 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-26 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-26 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-26 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-26 00:00:00"
NV,"Las Vegas",Downtown,"1732 Fremont St","Sister's Oriental Market & Video","2017-05-26 00:00:00"
NV,Henderson,,"777 W Lake Mead Pkwy",Starbucks,"2017-05-26 00:00:00"
NV,Henderson,,"1300 W Sunset Rd","Potato Corner","2017-05-23 00:00:00"
NV,"Las Vegas",Eastside,"3900 Paradise Rd, Ste G","Urban Turban","2017-05-23 00:00:00"
NV,"Las Vegas",Eastside,"3900 Paradise Rd, Ste G","Urban Turban","2017-05-23 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas",Southwest,"7729 S Rainbow Blvd","Goong Korean BBQ Restaurant","2017-05-22 00:00:00"
NV,"Las Vegas","Spring Valley","6870 S Rainbow Blvd, Ste 101","The Noodle Man","2017-05-21 00:00:00"
NV,"Las Vegas","Spring Valley","6870 S Rainbow Blvd, Ste 101","The Noodle Man","2017-05-21 00:00:00"
NV,"South Las Vegas","Spring Valley","6455 S Rainbow Blvd, Ste 101","Bonchon Chicken","2017-05-21 00:00:00"
NV,Henderson,,"854 S Boulder Hwy","L&L Hawaiian BBQ","2017-05-19 00:00:00"
NV,Henderson,,"854 S Boulder Hwy","L&L Hawaiian BBQ","2017-05-19 00:00:00"
NV,Henderson,,"350 W Lake Mead Pkwy",Target,"2017-05-17 00:00:00"
NV,"Las Vegas",,"5000 S Decatur Blvd","International Marketplace","2017-05-16 00:00:00"
NV,"Las Vegas",,"5000 S Decatur Blvd","International Marketplace","2017-05-16 00:00:00"
NV,"Las Vegas",,"5000 S Decatur Blvd","International Marketplace","2017-05-16 00:00:00"
NV,Henderson,,"35 E Basic Rd, Ste B","Pho King Phonomenal","2017-05-13 00:00:00"
NV,Henderson,,"35 E Basic Rd, Ste B","Pho King Phonomenal","2017-05-13 00:00:00"
NV,Henderson,,"35 E Basic Rd, Ste B","Pho King Phonomenal","2017-05-13 00:00:00"
NV,Henderson,,"791 Marks St","Costco Wholesale Gas","2017-05-10 00:00:00"
NV,Henderson,,"1290 W Warm Springs Rd","Freddy's Frozen Custard & Steakburgers","2017-05-10 00:00:00"
NV,Henderson,,"35 E Basic Rd, Ste B","Pho King Phonomenal","2017-05-10 00:00:00"
NV,Henderson,,"35 E Basic Rd, Ste B","Pho King Phonomenal","2017-05-10 00:00:00"
NV,Henderson,,"35 E Basic Rd, Ste B","Pho King Phonomenal","2017-05-10 00:00:00"
NV,Henderson,,"460 N Stephanie St",Chick-fil-A,"2017-05-06 00:00:00"
NV,Henderson,,"460 N Stephanie St",Chick-fil-A,"2017-05-06 00:00:00"
NV,Henderson,,"460 N Stephanie St",Chick-fil-A,"2017-05-06 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-05-06 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-05-06 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-05-06 00:00:00"
NV,"Las Vegas",Southwest,"7729 South Rainbow Blvd, Ste 3","YuXiang Korean Chinese Cuisine","2017-05-06 00:00:00"
NV,"Las Vegas",Chinatown,"5288 Spring Mountain Rd","Viet Noodle Bar","2017-05-04 00:00:00"
NV,"Las Vegas",Southeast,"5715 S Pecos Rd","Hometown Eats","2017-04-30 00:00:00"
NV,"Las Vegas",Southeast,"5715 S Pecos Rd","Hometown Eats","2017-04-30 00:00:00"
NV,"Las Vegas",Southeast,"5715 S Pecos Rd","Hometown Eats","2017-04-30 00:00:00"
NV,"Las Vegas",Southeast,"5715 S Pecos Rd","Hometown Eats","2017-04-30 00:00:00"
NV,"North Las Vegas",,"2101 Texas Star Ln","Texas Station Gambling Hall & Hotel","2017-04-29 00:00:00"
NV,Henderson,,"72 Horizon Ridge Pkwy, Ste 100","Il Chianti Italian","2017-04-29 00:00:00"
NV,Henderson,,"72 Horizon Ridge Pkwy, Ste 100","Il Chianti Italian","2017-04-29 00:00:00"
NV,Henderson,,"72 Horizon Ridge Pkwy, Ste 100","Il Chianti Italian","2017-04-29 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-04-29 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-04-29 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-04-29 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-04-29 00:00:00"
NV,"Las Vegas","Spring Valley","4950 S Rainbow Blvd, Ste 160","Meraki Greek Grill","2017-04-29 00:00:00"
NV,"Las Vegas",Chinatown,"3400 S Jones Blvd, Ste 12","Q Bistro","2017-04-28 00:00:00"
NV,"Las Vegas",Chinatown,"3400 S Jones Blvd, Ste 12","Q Bistro","2017-04-28 00:00:00"
NV,Henderson,,"609 N Stephanie St",AT&T,"2017-04-24 00:00:00"
NV,Henderson,,"611 Marks St","Best Buy","2017-04-24 00:00:00"
NV,Henderson,,"1690 W Sunset Rd, Ste 104","Akropolis Gyro & Pizza","2017-04-22 00:00:00"
NV,Henderson,,"19 S Stephanie St, Ste 140","Poke Express","2017-04-21 00:00:00"
NV,Henderson,,"19 S Stephanie St, Ste 140","Poke Express","2017-04-21 00:00:00"
NV,Henderson,,"19 S Stephanie St, Ste 140","Poke Express","2017-04-21 00:00:00"
NV,Henderson,,"19 S Stephanie St, Ste 140","Poke Express","2017-04-21 00:00:00"
NV,"Las Vegas","The Strip","3327 Las Vegas Blvd S, Ste 1580","Grand Lux Cafe","2017-04-17 00:00:00"
NV,"Las Vegas","The Strip","3327 Las Vegas Blvd S","The Shoppes at The Palazzo","2017-04-16 00:00:00"
NV,"Las Vegas","The Strip","The Palazzo, 3255 S Las Vegas Blvd","LAVO Italian Restaurant & Lounge","2017-04-16 00:00:00"
NV,"Las Vegas","The Strip","The Palazzo, 3255 S Las Vegas Blvd","LAVO Italian Restaurant & Lounge","2017-04-16 00:00:00"
NV,"Las Vegas","The Strip","The Palazzo, 3255 S Las Vegas Blvd","LAVO Italian Restaurant & Lounge","2017-04-16 00:00:00"
NV,"Las Vegas","The Strip","3355 South Las Vegas Boulevard","The Venetian Las Vegas","2017-04-15 00:00:00"
NV,"Las Vegas","The Strip","3325 South Las Vegas Boulevard","The Palazzo Las Vegas","2017-04-15 00:00:00"
NV,Henderson,,"299 N Pecos Rd","Gregory Hsu, DO","2017-04-15 00:00:00"
NV,Henderson,,"299 N Pecos Rd","Gregory Hsu, DO","2017-04-15 00:00:00"
NV,Henderson,,"530 Boulder Hwy","Cuevas Meat Market","2017-04-15 00:00:00"
NV,Henderson,,"530 Boulder Hwy","Cuevas Meat Market","2017-04-15 00:00:00"
NV,Henderson,,"791 Marks St","Costco Wholesale Gas","2017-04-15 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-15 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-15 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-15 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-15 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-15 00:00:00"
NV,Henderson,,"35 E Horizon Ridge Pkwy, Ste 160","Ohjah Noodle House #2","2017-04-15 00:00:00"
