state,city,neighborhood,address,name,date
NV,"Las Vegas",Westside,"8480 W Desert Inn Rd, Ste F1","Sen of Japan","2017-04-08 00:00:00"
NV,"Las Vegas",Eastside,"4178 Koval Ln","Ellis Island BBQ","2017-04-05 00:00:00"
NV,"Las Vegas",Southeast,"7425 S Eastern Ave, Ste 103","Basilica Tattoo","2017-03-02 00:00:00"
NV,"Las Vegas",Summerlin,"7668 W Lake Mead Blvd, Unit 107",Pastaidea,"2017-01-29 00:00:00"
NV,"Las Vegas","The Strip","3600 S Las Vegas Blvd",Picasso,"2017-01-29 00:00:00"
NV,"Las Vegas",Southwest,"7380 S Rainbow Blvd, Ste 101","Brew Tea Bar","2016-08-31 00:00:00"
NV,"Las Vegas",Westside,"5900 W Charleston Blvd, Ste 10","Sushi Hiroyoshi Japanese Cuisine","2016-08-31 00:00:00"
NV,"Las Vegas",Westside,"4664 W Charleston Blvd","Crêpe Station","2016-08-31 00:00:00"
NV,"Las Vegas",Centennial,"5655 Centennial Center Blvd, Ste 120","Sweet Poké","2016-08-30 00:00:00"
NV,"Las Vegas","The Strip","2535 S Las Vegas Blvd","Bazaar Meat by José Andrés","2016-06-20 00:00:00"
NV,"Las Vegas",Centennial,"5655 Centennial Center Blvd, Ste 170",Smashburger,"2016-06-20 00:00:00"
NV,"Las Vegas",Westside,"136 S Rainbow Blvd","Serrano's Mexican Restaurant","2016-06-20 00:00:00"
NV,"Las Vegas",,"4046 Dean Martin Dr",Cigarbox,"2016-01-29 00:00:00"
NV,"Las Vegas",Southeast,"2053 Pama Ln","Artisanal Foods Cafe","2016-01-10 00:00:00"
NV,"Las Vegas","The Strip","3950 S Las Vegas Blvd","Burger Bar","2015-12-04 00:00:00"
NV,"Las Vegas",Northwest,"4275 N Rancho Dr, Ste 130","Mezzo Bistro and Wine","2015-09-22 00:00:00"
NV,"Las Vegas","Spring Valley","3655 S Durango, Unit 6","Other Mama","2015-08-08 00:00:00"
NV,"Las Vegas",Centennial,"7810 W Ann Rd","Above the Crust","2015-06-28 00:00:00"
NV,"Las Vegas",Westside,"230 S Rainbow Blvd","Aria Mediterranean Restaurant","2015-06-28 00:00:00"
NV,"Las Vegas",Westside,"3441 W Sahara Ave, Ste D2-D3","Diya Eyebrow Threading","2015-06-26 00:00:00"
NV,"Las Vegas","The Strip","3355 S Las Vegas Blvd S","DB Brasserie","2015-06-26 00:00:00"
NV,"Las Vegas","The Strip","3355 Las Vegas Blvd S","Delmonico Steakhouse","2015-06-26 00:00:00"
NV,"Las Vegas","South Summerlin","1720 Festival Plaza Dr","Andiron Steak & Sea","2015-06-26 00:00:00"
NV,"Las Vegas",Downtown,"1126 Fremont St",PublicUs,"2015-05-30 00:00:00"
NV,"Las Vegas",Downtown,"500 S Grand Central Pkwy","Las Vegas Mela - Indian Food and Cultural Festival","2015-04-26 00:00:00"
NV,"Las Vegas","Spring Valley","7195 Arroyo Crossing Pkwy",Michaels,"2015-04-08 00:00:00"
NV,"Las Vegas",Centennial,"7240 W Azure Dr","Enterprise Rent-A-Car","2015-04-08 00:00:00"
NV,"Las Vegas","The Strip","3411 S Las Vegas Blvd","White Castle","2015-04-07 00:00:00"
NV,"Las Vegas",Westside,"9336 W Sahara Ave",AutoZone,"2015-03-26 00:00:00"
NV,"Las Vegas",Centennial,"9200 Tule Springs Rd","Floyd Lamb State Park","2015-03-26 00:00:00"
NV,"Las Vegas",Southeast,"2075 E Windmill Ln, Ste 120","Fit For a Bride","2015-03-24 00:00:00"
NV,"Las Vegas",Centennial,"7155 N Durango Dr","Shucks Tavern & Oyster Bar","2015-02-15 00:00:00"
NV,"Las Vegas",,"6820 W Flamingo Rd, Ste A","D' Pinoy Joint","2015-02-10 00:00:00"
NV,"Las Vegas",Westside,"7995 W Sahara Ave, Ste 103","Morgan Taylor Jewelers","2015-01-30 00:00:00"
NV,"Las Vegas",Summerlin,"2221 N Rampart Blvd","Summerlin Jewelers","2015-01-30 00:00:00"
NV,"Las Vegas",Westside,"301 S Decatur Blvd","Taqueria El Buen Pastor","2015-01-30 00:00:00"
NV,"Las Vegas",,"2400 Western Ave","The Jewelers of Las Vegas","2015-01-30 00:00:00"
NV,"Las Vegas",Northwest,"7385 W Sahara Ave","Huntington Jewelers","2015-01-30 00:00:00"
NV,"Las Vegas",Westside,"4533 W Sahara Ave, Ste 5","Egg & I","2015-01-16 00:00:00"
NV,"Las Vegas",Northwest,"4941 W Craig Rd","Sun's Thai Food & Jerky","2015-01-16 00:00:00"
NV,"Las Vegas",Westside,"440 S Rampart Blvd","Echo & Rig","2015-01-07 00:00:00"
NV,"Las Vegas",Downtown,"1120 S Main St, Ste 110","Makers & Finders Coffee","2015-01-07 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S, Ste 1794, Fashion Show Mall",Teavana,"2014-12-17 00:00:00"
NV,"Las Vegas","The Strip","3400 Las Vegas Blvd S","California Pizza Kitchen","2014-11-28 00:00:00"
NV,"Las Vegas",Westside,"2550 S Rainbow Blvd","Maza Mediterranean & Turkish Grill","2014-11-28 00:00:00"
NV,"Las Vegas","The Strip","3355 Las Vegas Blvd S","Chicken Now Venetian","2014-11-28 00:00:00"
NV,Henderson,,"19 S Stephanie St, Ste 160","Gimme Some Sugar","2014-11-28 00:00:00"
NV,"Las Vegas",Downtown,"124 S 6th St, Ste 140","O Face Doughnuts","2014-11-27 00:00:00"
NV,Henderson,,"1308 W Sunset Rd","DICK'S Sporting Goods","2014-11-27 00:00:00"
NV,"Las Vegas","Spring Valley","9385 W Flamingo Rd",Goodwill,"2014-11-27 00:00:00"
NV,"Las Vegas",Westside,"7365 W Sahara Ave","Kinnaree Thai and Vegetarian","2014-11-27 00:00:00"
NV,"Las Vegas","Spring Valley","7225 Arroyo Crossing Pkwy, Arroyo Market Square-Two Phases","Ross Dress for Less","2014-11-27 00:00:00"
NV,"Las Vegas","South Summerlin","Red Rock Casino, 11011 W Charleston Blvd",Mercadito,"2014-11-18 00:00:00"
NV,"Las Vegas",Westside,"6840 W Sahara Ave","Al's Beef","2014-11-06 00:00:00"
NV,"Las Vegas",,"9230 S Eastern Ave","Goodwill Southern Nevada","2014-11-06 00:00:00"
NV,"Las Vegas","South Summerlin","Red Rock Casino, 11011 W Charleston Blvd",Mercadito,"2014-11-04 00:00:00"
NV,"Las Vegas",Centennial,"6400 SE Centennial Center Dr","Seasonal Adventures Pumpkin Patch","2014-10-30 00:00:00"
NV,"Las Vegas",,"6680 W Flamingo Rd, Ste 12","Café de Cebu","2014-10-30 00:00:00"
NV,"Las Vegas",,"6620 W Flamingo Rd, Unit 4","Manan Bakery","2014-10-29 00:00:00"
NV,"Las Vegas",Southeast,"9711 S Eastern Ave, Ste H1","Eis Cream Cafe","2014-10-29 00:00:00"
NV,"Las Vegas","South Summerlin","Red Rock Casino, 11011 W Charleston Blvd",Mercadito,"2014-10-29 00:00:00"
NV,"Las Vegas","South Summerlin","1980 Festival Plaza Dr","Downtown Summerlin","2014-10-29 00:00:00"
NV,"Las Vegas",Westside,"7545 W Sahara Ave, Ste 200","Image Dental and Orthodontics","2014-10-29 00:00:00"
NV,"Las Vegas","Spring Valley","4955 S Fort Apache Rd","Hobby Lobby","2014-10-21 00:00:00"
NV,"Las Vegas","Spring Valley","4170 S Ft Apache Rd","Original Pancake House","2014-10-06 00:00:00"
NV,"Las Vegas",Southeast,"9875 S Eastern Ave, Ste E-2","Sheffield Spice & Tea Co","2014-10-06 00:00:00"
NV,"Las Vegas",Southwest,"8680 W Warm Springs Rd","Mac Shack Spring Valley","2014-10-05 00:00:00"
NV,"Las Vegas","The Strip","SLS Las Vegas, 2535 Las Vegas Blvd S","The Sayers Club Las Vegas","2014-10-05 00:00:00"
