state,city,neighborhood,address,name,date
ON,Mississauga,,"Terminal 1, Pearson Airport","The Hearth","2017-07-07 00:00:00"
ON,Mississauga,"Erin Mills","2933 Eglinton Avenue W","Nations Fresh Foods","2017-06-23 00:00:00"
ON,Toronto,,"430 College Street","El Rancho","2017-06-23 00:00:00"
ON,Toronto,Etobicoke,"3473 Lake Shore Boulevard W","Thrive Organic Kitchen & Café","2017-06-12 00:00:00"
ON,Toronto,,"1221 Weston Road","V's Caribbean Restaurant","2017-05-25 00:00:00"
ON,Toronto,"Bloordale Village","1190 Bloor Street W","Grey Tiger","2017-05-07 00:00:00"
ON,Toronto,"Bloordale Village","1292 Bloor Street W",D-Beatstro,"2017-05-07 00:00:00"
ON,Toronto,"Church-Wellesley Village","619 Yonge Street, Suite D","DanceLife X Centre","2017-04-30 00:00:00"
ON,Toronto,Yorkville,"1200 Bay Street","Sandwich Box","2017-04-28 00:00:00"
ON,Mississauga,,"50 Burnhamthorpe Road W","Bibab Express","2017-04-27 00:00:00"
ON,Toronto,"Downtown Core","33 Queen Street East","Green P Parking","2017-04-25 00:00:00"
ON,Toronto,Dovercourt,"805 Dovercourt Rd","Dovercourt House","2017-04-16 00:00:00"
ON,Toronto,"The Annex","402 Bloor Street W","Za Pizzeria","2017-04-16 00:00:00"
ON,Toronto,Yorkville,"1221 Bay Street",Planta,"2017-04-06 00:00:00"
ON,Toronto,"Bickford Park","813 Bloor Street W","Toronto BJJ","2017-03-17 00:00:00"
ON,Toronto,Etobicoke,"5230 Dundas Street W","Panago Pizza","2017-03-08 00:00:00"
ON,Toronto,"Church-Wellesley Village","81 Bloor Street E","Sabai Sabai Kitchen and Bar","2017-03-03 00:00:00"
ON,Toronto,Niagara,"807 Queen Street W",Squirly's,"2017-03-02 00:00:00"
ON,Toronto,"Little Portugal","1199 Dundas Street W",Veghed,"2017-02-26 00:00:00"
ON,Oakville,,"515 Dundas Sreet W","Yummy pho","2017-02-26 00:00:00"
ON,Toronto,Yorkville,"1200 Bay Street","Pi Co","2017-02-10 00:00:00"
ON,Mississauga,"Port Credit","20 Lakeshore Road E","Port Credit Branch Library","2017-01-18 00:00:00"
ON,Oakville,,"2501 Hampshire Gate","Galleria Supermarket","2017-01-10 00:00:00"
ON,Toronto,,"1784 Jane Street","Buddha Chay","2016-12-28 00:00:00"
ON,Mississauga,,"100-2399 Cawthra Road","Dai Bi Chay","2016-12-28 00:00:00"
ON,Mississauga,Dixie,"1248 Dundas Street E","I Love Pho","2016-12-22 00:00:00"
ON,Toronto,,"4 Collier Street","Kiro Sushi","2016-12-20 00:00:00"
ON,Mississauga,Dixie,"1225 Dundas Street E, Suite 14B","Corner By Spoon and Fork","2016-12-01 00:00:00"
ON,"East Mississauga","Port Credit","170 Lakeshore Rd","Planet Organic Market","2016-11-29 00:00:00"
ON,Toronto,"Church-Wellesley Village","634 Church Street","Lola's Kitchen","2016-11-22 00:00:00"
ON,Mississauga,,"1065 Canadian Place","PANI.Q. Room Escapes","2016-10-31 00:00:00"
ON,"Port Credit","Port Credit","109 Lakeshore Road E","Archtop Cafe","2016-10-29 00:00:00"
ON,Mississauga,"East Credit","5950 Rodeo Drive","Winners Apparel","2016-10-20 00:00:00"
ON,Mississauga,"Port Credit","152 Lakeshore Road E","Buddha Bowls","2016-10-20 00:00:00"
ON,Toronto,"Financial District","200 Bay Street",Feast,"2016-09-23 00:00:00"
ON,Mississauga,,"35 Brunel Road",La-Mill,"2016-09-12 00:00:00"
ON,Mississauga,"Port Credit","20 Lakeshore Road E","Southside Shuffle","2016-09-12 00:00:00"
ON,Mississauga,"Erin Mills","3145 Dundas St W, Mississauga","Artisano Bakery Café","2016-09-10 00:00:00"
ON,Mississauga,Clarkson,"2222 S Sheridan Way, Unit 112","XTC Fitness","2016-09-01 00:00:00"
ON,Oakville,,"350 Lakeshore Road E","Goldstar Cafe","2016-09-01 00:00:00"
ON,Toronto,Yorkville,"70 Yorkville Avenue",Revitasize,"2016-08-30 00:00:00"
ON,"Richmond Hill",,"330 Highway 7 E, Unit 108","Shanghai Dim Sum","2016-08-28 00:00:00"
ON,Oakville,,"483 Dundas Street W",b.good,"2016-08-28 00:00:00"
ON,Toronto,,"11-865 York Mills Road","Galleria Supermarket","2016-08-28 00:00:00"
ON,"Richmond Hill",,"330 Highway 7 E, Unit 108","Shanghai Dim Sum","2016-08-27 00:00:00"
ON,Mississauga,"Port Credit","105 Lakeshore Road W","Port Credit Busker Fest","2016-08-23 00:00:00"
ON,Mississauga,Cooksville,"25 John St","La Novita Bakery","2016-08-02 00:00:00"
ON,Toronto,"Church-Wellesley Village","175 Bloor Street E","Flock Rotisserie + Greens","2016-07-25 00:00:00"
ON,Toronto,Dovercourt,"1056 Bloor St. W","The Hogtown Vegan","2016-07-25 00:00:00"
ON,Oakville,,"3529 Wyecroft Rd","Milestones Restaurants","2016-07-18 00:00:00"
ON,Toronto,"The Annex","456 Bloor Street W","Sushi Couture","2016-07-11 00:00:00"
ON,Mississauga,"Port Credit","1 Hurontario Street","Port 1 Cafe","2016-07-06 00:00:00"
ON,Mississauga,Cooksville,"21 Queensway W","Multispecialty Walkin Clinic","2016-07-06 00:00:00"
ON,Mississauga,,"1900 Fowler Drive, Suite D-108-109","Moon Sushi","2016-07-03 00:00:00"
ON,Mississauga,,"723 Central Parkway W","Safari Mediterranean Grill","2016-06-30 00:00:00"
ON,Oakville,,"2340 Ontario St","Harbour Banquet & Conference Centre","2016-06-27 00:00:00"
ON,Mississauga,"East Credit","660 Eglinton Avenue W","My Pho","2016-06-18 00:00:00"
ON,Mississauga,,"991 Matheson Boulevard E, Unit 11","Fitness Nation","2016-06-18 00:00:00"
ON,Mississauga,,"645 Lakeshore Road E","Noodle Pop","2016-06-14 00:00:00"
ON,Mississauga,,"1381 Lakeshore Road East, Unit 1","Lotus Island Vietnamese Eatery","2016-06-07 00:00:00"
ON,Toronto,Koreatown,"691 Bloor Street W","Buk Chang Dong Soon Tofu","2016-06-06 00:00:00"
ON,Toronto,Koreatown,"735 Bloor Street W","Apiecalypse Now!","2016-06-06 00:00:00"
QC,Montréal,Ville-Marie,"1909 Rue Saint-Catherine Ouest","Sammi & Soupe Dumpling","2016-05-31 00:00:00"
QC,Montréal,Ville-Marie,"85, Rue de la Gauchetiere Ouest","Patisserie Harmonie","2016-05-24 00:00:00"
QC,Montréal,Ville-Marie,"1264 Rue Stanley","Restaurant Santa Lucia","2016-05-24 00:00:00"
QC,Montréal,Ville-Marie,"800 Rue de la Gauchetière W","Ville souterraine RESO /Underground City","2016-05-24 00:00:00"
QC,Montréal,Ville-Marie,,"Rue Sainte-Catherine","2016-05-24 00:00:00"
QC,Montréal,Ville-Marie,"351 Rue Saint-Paul Ouest","Olive & Gourmando","2016-05-24 00:00:00"
QC,Montréal,Ville-Marie,"1225 Boulevard de Maisonneuve O","Suite 88 Chocolatier","2016-05-24 00:00:00"
ON,Oakville,,"342 Church Street E","Coriander Green","2016-05-15 00:00:00"
ON,Toronto,Chinatown,"252 Spadina Avenue","Bun Saigon Vietnamese Restaurant","2016-05-10 00:00:00"
ON,Oakville,,"478 Dundas Street W","Spoon & Fork Plus","2016-05-02 00:00:00"
ON,Mississauga,,"1063 Dundas Street W",Berto's,"2016-05-02 00:00:00"
ON,Mississauga,,"1930 Fowler Drive",Starbucks,"2016-04-23 00:00:00"
ON,Toronto,Yorkville,"2 Bloor Street W","Fit For Life","2016-04-19 00:00:00"
ON,Toronto,Dovercourt,"945 Bloor St W","Comedy Bar","2016-04-18 00:00:00"
ON,Mississauga,"East Credit","660 Eglinton Avenue W, Suite 12B","5Stars Shawarma & Grill","2016-04-13 00:00:00"
ON,Toronto,Koreatown,"586 Bloor St W","Kimchi House","2016-04-05 00:00:00"
ON,Mississauga,Dixie,"1225 Dundas Street E, Suite 14B","Corner By Spoon and Fork","2016-04-04 00:00:00"
ON,Toronto,"Church-Wellesley Village","568 Jarvis Street","Rooster Coffee House","2016-03-29 00:00:00"
ON,Mississauga,"Port Credit","26 Lakeshore Rd E","Papa Giuseppe's","2016-03-28 00:00:00"
ON,Mississauga,"Port Credit","121 Lakeshore Road W","Flip a Coin Tapas + Bar","2016-03-15 00:00:00"
ON,Toronto,,"750 Spadina Avenue, Unit 3","Pita Q Restaurant","2016-03-15 00:00:00"
ON,Toronto,"Downtown Core","750 Spadina Ave","Miles Nadal JCC","2016-03-14 00:00:00"
ON,Toronto,"Downtown Core","220 Yonge Street, The Eaton Centre","Urban Herbivore","2016-03-09 00:00:00"
ON,Toronto,"Church-Wellesley Village","2 Bloor St E, #C-14, Hudson's Bay Centre","Trade Secrets - Hudson's Bay Centre","2016-03-07 00:00:00"
ON,Toronto,,"310 College Street","Grasshopper Restaurant","2016-02-28 00:00:00"
ON,Mississauga,"Port Credit","94 Lakeshore Rd E","Raw Aura","2016-02-26 00:00:00"
