state,city,neighborhood,address,name,date
NV,"Las Vegas",,"4625 W Flamingo Rd","Lazy Sunday Foot Spa","2015-08-05 00:00:00"
NV,"Las Vegas",,"4625 W Flamingo Rd","Lazy Sunday Foot Spa","2015-08-04 00:00:00"
NV,"Las Vegas",Westside,"8125 W Sahara Ave, Ste 150","Nail Creations","2015-06-19 00:00:00"
NV,"Las Vegas",Chinatown,"4355 Spring Mountain Rd","Crown Bakery","2014-07-23 00:00:00"
NV,"Las Vegas",Chinatown,"3400 S Jones Blvd, Ste 8","District One Kitchen & Bar","2014-05-23 00:00:00"
NV,"Las Vegas","The Lakes","9475 W Desert Inn Rd","Fresh & Easy","2014-03-03 00:00:00"
NV,"Las Vegas",Downtown,"10 E Charleston Blvd","Cornish Pasty","2014-02-14 00:00:00"
NV,"Las Vegas","Spring Valley","6485 S Rainbow Blvd","Crab Corner","2014-01-24 00:00:00"
AZ,Scottsdale,,"2200 N Scottsdale Rd",Bei,"2013-11-06 00:00:00"
NV,"Las Vegas",Westside,"8320 W Sahara Ave, Ste 180","Sushi Mon","2013-09-08 00:00:00"
NV,"Las Vegas",Westside,"8500 W Charleston Blvd",Chevron,"2013-06-24 00:00:00"
NV,"Las Vegas",Westside,"9600 W Sahara Ave","Las Vegas-Clark County Library System - Sahara West Library","2013-06-19 00:00:00"
NV,"Las Vegas",Chinatown,"4300 Spring Mountain Rd, Ste 116","Yi Mei Champion Taiwan Deli","2013-06-18 00:00:00"
NV,"Las Vegas",,"240 N Jones Blvd, Ste E","Chicken Itza","2013-06-11 00:00:00"
NV,"Las Vegas",,"240 N Jones Blvd, Ste E","Chicken Itza","2013-05-21 00:00:00"
NV,"Las Vegas",Downtown,"1218 S Main St","Velveteen Rabbit","2013-05-21 00:00:00"
NV,Henderson,,"1275 W Warm Springs Rd, Ste 160","The Great Greek","2013-05-20 00:00:00"
NV,"Las Vegas",Westside,"9440 W Sahara Ave, Ste 165","Chinita Mexican Bar & Grill","2013-05-13 00:00:00"
NV,"Las Vegas",,"3185 S Highland Dr","Rollin Smoke Barbeque","2013-05-08 00:00:00"
NV,"Las Vegas","The Strip","The Forum Shops At Caesars Palace, 3500 S Las Vegas Blvd","P.J. Clarke's New York Chophouse","2013-05-08 00:00:00"
NV,"Las Vegas","Spring Valley","9640 W Tropicana, Ste 101","Juan's Flaming Fajitas & Cantina","2013-05-06 00:00:00"
NV,"Las Vegas","Spring Valley","9640 W Tropicana, Ste 101","Juan's Flaming Fajitas & Cantina","2013-05-05 00:00:00"
NV,"Las Vegas",,"3185 S Highland Dr","Rollin Smoke Barbeque","2013-05-03 00:00:00"
NV,"Las Vegas","The Strip","3600 S Las Vegas Blvd","The Buffet at Bellagio","2013-05-03 00:00:00"
NV,"Las Vegas",Chinatown,"5599 Spring Mountain Rd","Star Foot Spa","2013-05-02 00:00:00"
NV,"Las Vegas",Southeast,"6521 Las Vegas Blvd S, Ste C103, Town Square Blvd","The Container Store","2013-05-02 00:00:00"
NV,"Las Vegas",Southeast,"6521 Las Vegas Blvd S, Ste C103, Town Square Blvd","The Container Store","2013-04-30 00:00:00"
NV,"Las Vegas",Chinatown,"5599 Spring Mountain Rd","Star Foot Spa","2013-04-29 00:00:00"
NV,"Las Vegas",Southeast,"6689 Las Vegas Blvd","Whole Foods Market","2013-04-22 00:00:00"
NV,"Las Vegas",Westside,"400 S Rampart Blvd, Ste 165","Leoné Café","2013-04-22 00:00:00"
NV,"Las Vegas",Westside,"6145 W Sahara Ave, Ste 1","21 Restaurant & Lounge","2013-04-22 00:00:00"
NV,"Las Vegas",,"4465 W Flamingo Rd","Umiya Sushi","2013-04-21 00:00:00"
NV,"Las Vegas",Westside,"2940 S Durango Dr",Carmine's,"2013-04-20 00:00:00"
NV,"Las Vegas",,"7331 W Lake Mead Blvd, Ste 105","Yummy Grill & Sushi","2013-04-19 00:00:00"
NV,"Las Vegas",Downtown,"506 Fremont St","Park on Fremont","2013-04-15 00:00:00"
AZ,Phoenix,,"3640 E Washington St","Clean Air Cab","2013-04-09 00:00:00"
NV,"Las Vegas",Southwest,"9275 S Buffalo Dr","Exploration Park","2013-04-09 00:00:00"
NV,"Las Vegas",Downtown,"755 Grand Central Pkwy, Ste 2105, Las Vegas Premium Outlets","Bare Escentuals Outlet","2013-04-07 00:00:00"
NV,"Las Vegas",Southwest,"3333 Blue Diamond Rd","Silverton Casino","2013-04-04 00:00:00"
NV,"Las Vegas",Downtown,"401 S Maryland Pkwy","The Gay & Lesbian Community Center of Southern Nevada","2013-04-02 00:00:00"
NV,"Las Vegas",Downtown,"401 S Maryland Pkwy","The Gay & Lesbian Community Center of Southern Nevada","2013-04-02 00:00:00"
NV,"Las Vegas",Downtown,"506 Fremont St","Park on Fremont","2013-03-31 00:00:00"
NV,"Las Vegas",Westside,"6475 West Charleston Blvd","Campus Commons Food Court","2013-03-30 00:00:00"
NV,"Las Vegas",Southeast,"4860 S Eastern Ave, Ste 2","Fukumimi Ramen","2013-03-29 00:00:00"
NV,"Las Vegas",Summerlin,"2267 N Rampart Blvd","Thai Style Noodle House","2013-03-27 00:00:00"
NV,"Las Vegas","Spring Valley","7175 Spring Mountain Rd","Sam's Club","2013-03-26 00:00:00"
NV,"Las Vegas",Westside,"740 S Rampart Blvd, Ste 7",Embers,"2013-03-24 00:00:00"
NV,"Las Vegas",Southeast,"3130 E Sunset Rd, Ste A","Sunrise Coffee","2013-03-22 00:00:00"
NV,"Las Vegas",Eastside,"3430 E Tropicana Ave","Taco Y Taco","2013-03-22 00:00:00"
NV,"Las Vegas",Northwest,"3250 N Tenaya Ave, Ste 110","Wine 5 Cafe","2013-03-20 00:00:00"
NV,"Las Vegas",Westside,"344 S Decatur Blvd","Cycle Gear","2013-03-19 00:00:00"
NV,"Las Vegas",Eastside,"3430 E Tropicana Ave","Taco Y Taco","2013-03-18 00:00:00"
NV,"Las Vegas",Eastside,"953 E Desert Inn Rd",Midtown,"2013-03-18 00:00:00"
NV,"Las Vegas",,"9350 Williams Ranch Rd","Mountain Springs Saloon","2013-03-18 00:00:00"
NV,"Las Vegas",,"9350 Williams Ranch Rd","Mountain Springs Saloon","2013-03-16 00:00:00"
NV,"Las Vegas",,"3400 S Jones Blvd, Ste 8","Cravin' Cajun","2013-03-15 00:00:00"
NV,"North Las Vegas",,"6895 Aliante Pkwy","Chase Bank","2013-03-15 00:00:00"
NV,"Las Vegas",Southeast,"South Point Hotel & Casino, 9777 S Las Vegas Blvd","Silverado Steakhouse","2013-03-14 00:00:00"
NV,"Las Vegas",Westside,"2101 S Decatur Blvd, Ste 10","Amena Bakery & Deli","2013-03-13 00:00:00"
NV,"Las Vegas",Westside,"740 S Rampart Blvd, Ste 7",Embers,"2013-03-13 00:00:00"
NV,"Las Vegas","Spring Valley","3555 S Durango Dr, Ste B101","Tacos La Mexicana","2013-03-12 00:00:00"
NV,"Las Vegas",Eastside,"953 E Desert Inn Rd",Midtown,"2013-03-11 00:00:00"
NV,"Las Vegas",Westside,"Buffalo Dr And Oakey Blvd","All American Park","2013-03-11 00:00:00"
NV,"Las Vegas",Downtown,"517 Fremont St","Beauty Bar","2013-03-10 00:00:00"
NV,"Las Vegas",Downtown,"910 E Fremont St","Vegas StrEATS Festival","2013-03-09 00:00:00"
AZ,Scottsdale,,"4415 N Civic Center Plz","Hotel Indigo Scottsdale Old Town","2013-03-04 00:00:00"
NV,"Las Vegas",Westside,"3839 W Sahara Ave, Ste 9","Weera Thai","2013-02-28 00:00:00"
NV,"Las Vegas",,"4983 W Flamingo Rd, Ste A","Yonaka Modern Japanese","2013-02-27 00:00:00"
NV,"Las Vegas",,"4983 W Flamingo Rd, Ste A","Yonaka Modern Japanese","2013-02-26 00:00:00"
NV,"Las Vegas","Spring Valley","3555 S Durango Dr, Ste B101","Tacos La Mexicana","2013-02-25 00:00:00"
NV,"Las Vegas",Northwest,"3250 N Tenaya Ave, Ste 110","Wine 5 Cafe","2013-02-22 00:00:00"
NV,"North Las Vegas",,"6895 Aliante Pkwy","Chase Bank","2013-02-22 00:00:00"
NV,"Las Vegas",,"Rio All-Suite Hotel & Casino, 3700 W Flamingo Road","Carnival World Buffet","2013-02-22 00:00:00"
NV,"Las Vegas",University,"Swenson & Thomas and Mack Dr","Thomas & Mack Center","2013-02-21 00:00:00"
NV,"Las Vegas",University,"4650 S Maryland Pkwy",Rebelbooks,"2013-02-20 00:00:00"
NV,"Las Vegas",,"1451 W Owens Ave","Pat's Chinese Food and Minimart","2013-02-20 00:00:00"
NV,"Las Vegas",Chinatown,"4215 Spring Mountain Rd, Ste B108","Mr. Sandwich","2013-02-17 00:00:00"
NV,"Las Vegas",Eastside,"505 E Twain Ave","India Palace - Las Vegas","2013-02-15 00:00:00"
NV,"Las Vegas",Chinatown,"4480 W Spring Mountain Rd","Sura BBQ Buffet","2013-02-14 00:00:00"
NV,"North Las Vegas",,"3750 W Craig Rd","Deseret Industries","2013-02-14 00:00:00"
NV,"Las Vegas",Downtown,"450 Fremont St, Unit 123","Cous Cous Mediterranean Cafe","2013-02-13 00:00:00"
NV,"Las Vegas",,"2192 N Rainbow Blvd, Ste 100","Which Wich Superior Sandwiches","2013-02-12 00:00:00"
NV,"Las Vegas",Westside,"420 Rampart Blvd, Ste 150","Taste Market & Deli","2013-02-12 00:00:00"
NV,"North Las Vegas",,"1435 W Craig Rd","Epic Thrift","2013-02-11 00:00:00"
NV,"Las Vegas",Westside,"8055 W Sahara Ave","All Storage - Canyon Gate","2013-02-08 00:00:00"
NV,"Las Vegas",Chinatown,"3401 S Jones Blvd","Wendy's Noodle Cafe","2013-02-06 00:00:00"
NV,"Las Vegas",,"3400 S Jones Blvd, Ste 2","Kaze Sushi","2013-02-06 00:00:00"
NV,Henderson,Anthem,"10720 S Eastern Ave, Ste 100","Bon Chef Cafe","2013-02-04 00:00:00"
NV,"Las Vegas","The Strip","Cosmopolitan Hotel & Casino, 3708 Las Vegas Blvd S","Comme Ça","2013-02-01 00:00:00"
NV,"Las Vegas",Westside,"9785 W Charleston Blvd","Dom DeMarco's Pizzeria & Bar","2013-02-01 00:00:00"
NV,"Las Vegas",Westside,"9785 W Charleston Blvd","Dom DeMarco's Pizzeria & Bar","2013-01-31 00:00:00"
NV,"Las Vegas",Westside,"9002 W Sahara Ave, Ste A","China Gourmet","2013-01-31 00:00:00"
NV,"Las Vegas",Westside,"6500 W Sahara Ave","Sammy's Woodfired Pizza and Grill","2013-01-31 00:00:00"
NV,"Las Vegas",Westside,"350 S Rampart Blvd, Ste 180",MarkieChar,"2013-01-29 00:00:00"
NV,"Las Vegas",Westside,"410 S Rampart Blvd, Ste 145","River North","2013-01-28 00:00:00"
NV,"Las Vegas",Summerlin,"2050 Mariner Dr, Ste 120","WHASN Desert Shores","2013-01-26 00:00:00"
NV,"Las Vegas",Westside,"921 S Rainbow Blvd","China One","2013-01-24 00:00:00"
NV,"Las Vegas",Chinatown,"4115 Spring Mountain Rd, Ste E101",Yu-Yu,"2013-01-23 00:00:00"
NV,"Las Vegas",Downtown,"The Plaza Hotel, 1st S Main St","Island Sushi and Grill Express","2013-01-22 00:00:00"
NV,"Las Vegas",Chinatown,"4115 Spring Mountain Rd, Ste E101",Yu-Yu,"2013-01-19 00:00:00"
NV,"Las Vegas","The Lakes","9101 W Sahara Ave",Smashburger,"2013-01-18 00:00:00"
NV,"Las Vegas",Westside,"8820 W Charleston Blvd, Ste 105","Three Angry Wives","2013-01-18 00:00:00"
NV,"Las Vegas",Westside,"6500 W Sahara Ave","Sammy's Woodfired Pizza and Grill","2013-01-16 00:00:00"
NV,"Las Vegas","The Lakes","8671 W Sahara Ave","Outback Steakhouse","2013-01-16 00:00:00"
NV,"Las Vegas",Downtown,"523 Fremont St","Le Thai","2013-01-15 00:00:00"
NV,"Las Vegas","The Strip","3355 Las Vegas Blvd S","Noodle Asia","2013-01-15 00:00:00"
NV,"Las Vegas",Summerlin,"11710 W Charleston Blvd, Ste 140","China One - West Charleston","2013-01-11 00:00:00"
NV,"Las Vegas","Spring Valley","9338 W Flamingo Rd","Shucks Tavern & Oyster Bar","2013-01-10 00:00:00"
NV,"Las Vegas",Eastside,"4455 Paradise Rd","Love Jones","2013-01-09 00:00:00"
NV,"Las Vegas",Westside,"740 S Rampart Blvd","Panera Bread","2013-01-09 00:00:00"
NV,"Las Vegas",Anthem,"9925 S Eastern Ave","Nacho Daddy Henderson","2013-01-08 00:00:00"
NV,"Las Vegas",Anthem,"9925 S Eastern Ave","Nacho Daddy Henderson","2013-01-08 00:00:00"
NV,Paradise,"The Strip","The Venetian, 3355 S Las Vegas Blvd","The Bourbon Room","2013-01-07 00:00:00"
NV,"Las Vegas",Westside,"740 S Rampart Blvd","Panera Bread","2012-12-21 00:00:00"
NV,"Las Vegas","Spring Valley","4190 S Rainbow Blvd, Ste 1","Pepe's Tacos","2012-12-21 00:00:00"
NV,"Las Vegas","Spring Valley","5035 S Fort Apache Rd, Ste 104","The Perfect Scoop & Boba Tea","2012-12-19 00:00:00"
NV,"Las Vegas",Westside,"3900 W Charleston Blvd","Sonio's Cafe","2012-12-18 00:00:00"
NV,"Las Vegas",Westside,"8390 W Sahara Ave, Ste 130","La Belle Terre Bread French Bakery Café","2012-12-18 00:00:00"
NV,"Las Vegas",Westside,"8390 W Sahara Ave, Ste 130","La Belle Terre Bread French Bakery Café","2012-12-17 00:00:00"
NV,"Las Vegas",Westside,"5310 W Sahara Ave","Johnny Fontane's Bar & Grill","2012-12-15 00:00:00"
NV,Henderson,Anthem,"2265 Village Walk Dr","Balboa Pizza Company","2012-12-13 00:00:00"
NV,"Las Vegas",Westside,"2585 S Rainbow Blvd","Chase Bank","2012-12-12 00:00:00"
NV,Henderson,Anthem,"2265 Village Walk Dr","Balboa Pizza Company","2012-12-11 00:00:00"
NV,"Las Vegas",,"2192 N Rainbow Blvd, Ste 100","Which Wich Superior Sandwiches","2012-12-11 00:00:00"
NV,"Las Vegas",,"2201 N Rainbow Blvd",Officemax,"2012-12-10 00:00:00"
NV,"Las Vegas",Westside,"8055 W Sahara Ave","All Storage - Canyon Gate","2012-12-05 00:00:00"
NV,"Las Vegas","Spring Valley","6950 Arroyo Crossing Pkwy","Best Buy","2012-12-05 00:00:00"
NV,"Las Vegas","The Strip","3355 S Las Vegas Blvd",Rattlecan,"2012-12-05 00:00:00"
NV,"Las Vegas",Chinatown,"4355 Spring Mountain Rd, Ste 101","Anime Ramen & Teriyaki","2012-11-30 00:00:00"
NV,"Las Vegas",Westside,"400 S Rampart Blvd, Ste 165","Leoné Café","2012-11-30 00:00:00"
NV,Henderson,,"4604 E Sunset Rd","Roberto's Taco Shop","2012-11-29 00:00:00"
NV,"Las Vegas",Chinatown,"5040 Spring Mountain Rd","Big Wong Restaurant","2012-11-28 00:00:00"
NV,"Las Vegas",Chinatown,"5040 Spring Mountain Rd","Big Wong Restaurant","2012-11-27 00:00:00"
NV,Henderson,,"2061 W Sunset Rd","Viva Michoacan","2012-11-26 00:00:00"
NV,"Las Vegas",Westside,"9440 W Sahara Ave, Ste 140","Sparkle By Patty's Closet","2012-11-21 00:00:00"
NV,"Las Vegas",Southeast,"6671 Las Vegas Blvd","Apple Store","2012-11-20 00:00:00"
NV,"Las Vegas",Downtown,"450 Fremont St","Toy Shack","2012-11-20 00:00:00"
NV,"Las Vegas",Chinatown,"4490 Spring Mountain Rd","Ramen Sora","2012-11-16 00:00:00"
NV,"Las Vegas",Westside,"7995 W Sahara Ave, Ste 103","Morgan Taylor Jewelers","2012-11-16 00:00:00"
NV,"Las Vegas","The Lakes","9101 W Sahara Ave",Smashburger,"2012-11-15 00:00:00"
NV,"Las Vegas",,"Fremont St E","The Las Vegas Halloween Parade","2012-11-15 00:00:00"
NV,Henderson,,"4401 E Sunset Rd",Santora's,"2012-11-14 00:00:00"
NV,"Las Vegas",Downtown,"107 E Charleston Blvd, Ste 155","Bar+Bistro @ The Arts Factory","2012-11-11 00:00:00"
NV,"Las Vegas",Westside,"1031 S Rampart Blvd","Honey Salt","2012-11-09 00:00:00"
NV,"Las Vegas",Westside,"750 S Rampart Blvd, Ste 13",J.Glenn,"2012-11-08 00:00:00"
NV,"Las Vegas",Downtown,"707 Carson Ave",Eat.,"2012-11-07 00:00:00"
NV,"Las Vegas",Westside,"750 S Rampart Blvd, Ste 13",J.Glenn,"2012-11-06 00:00:00"
NV,"Las Vegas",Eastside,"4503 Paradise Rd","Firkin On Paradise","2012-11-06 00:00:00"
NV,"Las Vegas",Westside,"8524 W Sahara Ave","Roma Deli II and Wine Shop","2012-11-05 00:00:00"
NV,"Las Vegas","The Strip","3730 Las Vegas Blvd S",Javier's,"2012-11-05 00:00:00"
NV,"Las Vegas",Southwest,"3333 Blue Diamond Rd","Las Vegas Foodie Fest - Silverton Casino","2012-11-02 00:00:00"
