state,city,neighborhood,address,name,date
PA,Pittsburgh,,"6408 Brownsville Rd","Dorido's Restaurant","2015-04-14 00:00:00"
PA,Pittsburgh,Downtown,"922 Penn Ave","Bistro Penn","2015-04-14 00:00:00"
PA,Pittsburgh,Dormont,"1451 Potomac Ave","Fredos Deli","2015-04-14 00:00:00"
PA,Pittsburgh,Downtown,"600 Grant St","Pittsburgh Grille","2015-04-14 00:00:00"
PA,Monroeville,,"Miracle Mile Plaza, 4100 William Penn Hwy","Mad Mex - Monroeville","2015-04-13 00:00:00"
PA,"Bethel Park",,"301 South Hills Village","Red Robin Gourmet Burgers","2015-04-13 00:00:00"
PA,Pittsburgh,"Strip District","1601 Penn Ave","Gaucho Parrilla Argentina","2015-04-13 00:00:00"
PA,Pittsburgh,,"1230 Grove Rd","Bob's Diner","2015-04-07 00:00:00"
PA,Pittsburgh,"Strip District","1125 Penn Ave","Niko's Coffee","2015-04-05 00:00:00"
PA,Pittsburgh,"Strip District",,"PGH Taco Truck","2015-04-05 00:00:00"
PA,Pittsburgh,,"5253 Brownsville Rd","Dave's Terrace Bakery","2015-04-05 00:00:00"
PA,Pittsburgh,Lawrenceville,"4717 Butler St","Gus' Cafe","2015-03-21 00:00:00"
PA,Bridgeville,,"1595 Washington Pike","Walnut Grill - Bridgeville","2015-03-02 00:00:00"
PA,Pittsburgh,Dormont,"3024 W Liberty Ave","My Thai","2015-03-01 00:00:00"
PA,Bridgeville,,"1597 Washington Pike","Collier Town Square","2015-02-23 00:00:00"
PA,Pittsburgh,Bloomfield,"5242 Baum Blvd","Cafe Sam","2015-02-23 00:00:00"
PA,Pittsburgh,Dormont,"1810 Dormont Ave","Jet's Pizza","2015-02-23 00:00:00"
PA,Pittsburgh,Downtown,"942 Penn Ave","Sienna Mercato","2015-02-23 00:00:00"
PA,"Pleasant Hills",,"720 Clairton Blvd",Kmart,"2015-01-25 00:00:00"
PA,"Bethel Park",,"4000 Oxford Dr","The Home Depot","2015-01-25 00:00:00"
PA,Murrysville,,"4701 William Penn Hwy",Sheetz,"2015-01-25 00:00:00"
PA,Homestead,Homestead,"100 W Bridge St","Barnes & Noble Booksellers","2015-01-25 00:00:00"
PA,Pittsburgh,,"670 Washington Rd","Jade Grille","2015-01-25 00:00:00"
PA,"Upper St. Clair",,"1855-1901 Washington Rd",Target,"2015-01-25 00:00:00"
PA,"Bethel Park",,"4000 Oxford Dr",Michaels,"2015-01-25 00:00:00"
PA,Pittsburgh,,"926 Freeport Rd","Barnes & Noble Booksellers","2015-01-25 00:00:00"
PA,Homestead,Homestead,"245 E Waterfront Dr","Eat'n Park","2015-01-25 00:00:00"
PA,"Bethel Park",,"4000 Oxford Dr","Half Price Books","2015-01-25 00:00:00"
PA,Pittsburgh,Downtown,"245 Fourth Ave","Tavern 245","2015-01-21 00:00:00"
PA,Pittsburgh,Lawrenceville,"3720 Butler St","Round Corner Cantina","2015-01-20 00:00:00"
PA,Homestead,Homestead,"299 W Bridge St",Burgatory,"2015-01-19 00:00:00"
PA,"West Homestead",Homestead,"210 W Bridge St","Panera Bread","2015-01-18 00:00:00"
PA,Pittsburgh,Knoxville,"617 Brownsville Rd","Vocelli Pizza","2015-01-18 00:00:00"
PA,Pittsburgh,,"1500 Washington Rd",BRGR,"2015-01-12 00:00:00"
PA,Pittsburgh,,"830 Clairton Blvd","Primanti Bros.","2015-01-04 00:00:00"
PA,Pittsburgh,Dormont,"2885 W Liberty Ave","Vincenzo's Pizza & Pasta","2015-01-04 00:00:00"
PA,Blawnox,,"934 Freeport Rd","Waterworks Mall","2015-01-04 00:00:00"
PA,Pittsburgh,Downtown,"120 Fifth Ave","Katie's Kandy","2015-01-04 00:00:00"
PA,Pittsburgh,Downtown,"960 Penn Ave","Ten Penny","2014-12-13 00:00:00"
PA,Pittsburgh,,"1870 Painters Run Rd","Bob's Diner","2014-12-07 00:00:00"
PA,Pittsburgh,Oakland,"212 Oakland Ave","Fuel & Fuddle","2014-12-07 00:00:00"
PA,Pittsburgh,Oakland,"3719 Terrace St","Petersen Events Center","2014-12-07 00:00:00"
PA,Pittsburgh,,"663 Washington Rd","BnD'z Burgerz & Dogz","2014-10-14 00:00:00"
PA,Pittsburgh,,"664 Washington Rd","Betsy's Ice Cream","2014-10-14 00:00:00"
PA,"South Park Township",,"4120 Brownsville Rd","BnD'z Burgerz & Dogz","2014-10-13 00:00:00"
PA,Pittsburgh,,"301 S Hills Vlg","Hot Topic","2014-10-13 00:00:00"
PA,Pittsburgh,"Strip District","3101 Penn Ave","31st Street Pub","2014-10-06 00:00:00"
PA,Homestead,Homestead,"112 W Bridge St","Gordon Shoes","2014-10-05 00:00:00"
PA,Pittsburgh,Downtown,"Macy's, 400 Fifth Ave","Tic Toc Restaurant","2014-10-03 00:00:00"
PA,Pittsburgh,"Strip District","1241 Penn Ave","Sushi Kim Restaurant","2014-10-03 00:00:00"
PA,Pittsburgh,"South Side","240 W Station Square Dr, Ste D1","Texas de Brazil","2014-10-03 00:00:00"
PA,Pittsburgh,"North Side","211 N Shore Dr","McFadden's Saloon","2014-10-02 00:00:00"
PA,McKeesport,,"308 36th St","Tillie's Restaurant & Chantillie Lounge","2014-10-02 00:00:00"
PA,Pittsburgh,Downtown,"946 Penn Ave","August Henry's City Saloon","2014-09-28 00:00:00"
PA,"Bethel Park",,"4599 Library Rd",Sheetz,"2014-09-28 00:00:00"
PA,Pittsburgh,Lawrenceville,"4300 Butler St","Tender Bar & Kitchen","2014-09-21 00:00:00"
PA,"West Homestead",Homestead,"148 W Bridge St","P.F. Chang's","2014-09-21 00:00:00"
PA,Pittsburgh,Dormont,"3147 Banksville Rd",Subway,"2014-09-20 00:00:00"
PA,Plum,,"2003 Golden Mile Hwy",Sheetz,"2014-09-20 00:00:00"
PA,Pittsburgh,"South Side","2705 S Water St","Hofbrauhaus Pittsburgh","2014-09-01 00:00:00"
PA,Pittsburgh,,"2500 Swallow Hill Rd","The Other Place","2014-09-01 00:00:00"
