state,city,neighborhood,address,name,date
AZ,Phoenix,,"3110 N Central Ave","First Watch - Breakfast, Brunch & Lunch","2017-07-03 00:00:00"
AZ,Phoenix,,"401 W Clarendon Ave","The Clarendon Hotel","2017-07-02 00:00:00"
AZ,Phoenix,,"105 W Portland St",FEZ,"2017-06-29 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd","Harkins Theatres Fashion Square 7","2017-06-28 00:00:00"
AZ,Phoenix,,"5555 N 7th St, Ste126","Doggy Daze","2017-06-05 00:00:00"
AZ,Phoenix,,"825 N 1st St","Matt's Big Breakfast","2017-06-01 00:00:00"
AZ,Phoenix,,"4410 N 40th St","La Grande Orange Grocery","2017-06-01 00:00:00"
AZ,Phoenix,,"2400 E Camelback Rd, Ste 112","California Pizza Kitchen","2017-05-27 00:00:00"
AZ,Phoenix,,"2301 N Central Ave","Heard Museum","2017-04-24 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd, Fashion Square Mall","Kona Grill","2017-04-15 00:00:00"
AZ,Scottsdale,,"16455 N Scottsdale Rd, Ste 107","First Watch - Breakfast, Brunch & Lunch","2016-12-15 00:00:00"
AZ,Scottsdale,,"6000 E Camelback Rd","J & G Steakhouse","2016-12-15 00:00:00"
AZ,Phoenix,,"5701 N Echo Canyon Pkwy","Camelback Mountain","2016-12-05 00:00:00"
AZ,Scottsdale,,"6000 East Camelback Rd","The Phoenician","2016-11-23 00:00:00"
AZ,Phoenix,,"61 W Thomas Rd","First Watch - Breakfast, Brunch & Lunch","2016-11-21 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd","Harkins Camelview at Fashion Square","2016-10-13 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd, Fashion Square Mall","Kona Grill","2015-12-21 00:00:00"
AZ,Phoenix,,"3400 E Sky Harbor Blvd, Ste 3300","Phoenix Sky Harbor International Airport","2015-12-21 00:00:00"
AZ,Anthem,,"2411 W Anthem Way",Walgreens,"2015-12-21 00:00:00"
NV,"Las Vegas",,"6950 Smoke Ranch Rd, Ste 200","Nevada Oral & Facial Surgery","2015-09-26 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd, Space 1044",Zara,"2015-06-20 00:00:00"
AZ,Scottsdale,,"7014 E Camelback Rd","Scottsdale Fashion Square","2015-06-20 00:00:00"
NV,"Las Vegas","The Strip","3500 Las Vegas Blvd",Tod's,"2015-04-28 00:00:00"
NV,"Las Vegas",Westside,"9240 W Sahara, Ste 110","Cox Residential Digital Solutions Store","2014-09-22 00:00:00"
NV,"Las Vegas",,"2610 W Sahara Ave","Landry's Seafood House","2014-08-22 00:00:00"
NV,"Las Vegas","The Strip","3355 S Las Vegas Blvd","Gondola Ride at the Venetian","2014-08-22 00:00:00"
NV,"Las Vegas","The Strip","3377 S Las Vegas Blvd",Canonita,"2014-08-22 00:00:00"
NV,"Las Vegas",Westside,"6600 West Sahara Ave","Lexus Of Las Vegas","2014-08-18 00:00:00"
NV,"Las Vegas",Westside,"301 N Buffalo Dr","The Bagel Cafe","2014-08-17 00:00:00"
NV,"Las Vegas","The Strip","3355 S Las Vegas Blvd","Gondola Ride at the Venetian","2014-08-15 00:00:00"
NV,"Las Vegas","The Strip","3950 S Las Vegas Blvd","Shark Reef Aquarium","2014-08-14 00:00:00"
NV,"Las Vegas",Northwest,"3210 N Tenaya Way",Target,"2014-08-09 00:00:00"
NV,"Las Vegas",Westside,"420 S Rampart Blvd, Ste 180","Brio Tuscan Grille","2014-08-06 00:00:00"
NV,"Las Vegas",Southeast,"5757 Wayne Newton Blvd","Juice Express","2014-08-06 00:00:00"
NV,"Las Vegas",Centennial,"6640 N Durango Dr, Ste 140","Popularity Gourmet Popcorn","2014-08-06 00:00:00"
NV,"Las Vegas",Centennial,"6640 N Durango Dr, Ste 140","Popularity Gourmet Popcorn","2014-07-31 00:00:00"
NV,"Las Vegas",,"7331 W Lake Mead Blvd, Ste 105","Yummy Grill & Sushi","2014-07-30 00:00:00"
NV,Henderson,,"687 N Stephanie St","L & L Hawaiian Barbecue","2014-07-30 00:00:00"
NV,"Las Vegas","South Summerlin","11011 W Charleston Blvd","Red Rock Casino Resort & Spa","2014-07-23 00:00:00"
NV,"Las Vegas","The Strip","3500 Las Vegas Blvd S",Trevi,"2014-07-22 00:00:00"
NV,"Las Vegas",Northwest,"8300 W Cheyenne Ave, Ste 106",CareNow,"2014-07-16 00:00:00"
NV,"Las Vegas","Spring Valley","6295 S Rainbow Blvd","Dunkin' Donuts","2014-07-15 00:00:00"
NV,"Las Vegas",Eastside,"4165 S Paradise Rd","P.F. Chang's","2014-06-25 00:00:00"
NV,"Las Vegas","The Strip","3600 S Las Vegas Blvd","Bellagio Hotel","2014-06-25 00:00:00"
NV,"Las Vegas","The Strip","The Linq Las Vegas, 3545 Las Vegas Blvd South","The LINQ Promenade","2014-06-25 00:00:00"
NV,"Las Vegas","The Strip","3708 Las Vegas Blvd S","The Cosmopolitan of Las Vegas","2014-06-25 00:00:00"
NV,"Las Vegas","The Strip","3545 Las Vegas Blvd S, Ste L28",Kitson,"2014-06-25 00:00:00"
NV,"Las Vegas","The Strip","The Linq Las Vegas, 3545 Las Vegas Blvd S, The Linq Las Vegas","High Roller","2014-06-25 00:00:00"
NV,"Las Vegas","The Strip","3545 S Las Vegas Blvd","Sprinkles Cupcakes and Ice Cream","2014-06-24 00:00:00"
NV,"Las Vegas","The Strip","3545 S Las Vegas Blvd","Ghirardelli Ice Cream & Chocolate Shop","2014-06-24 00:00:00"
NV,"Las Vegas","The Strip","The Linq Las Vegas, 3545 Las Vegas Blvd S, The Linq Las Vegas","High Roller","2014-06-22 00:00:00"
NV,"Las Vegas","The Strip","The Linq Las Vegas, 3545 Las Vegas Blvd S, The Linq Las Vegas","High Roller","2014-06-22 00:00:00"
NV,"Las Vegas","The Strip","3545 S Las Vegas Blvd","Sprinkles Cupcakes and Ice Cream","2014-06-22 00:00:00"
NV,"Las Vegas",Westside,"1037 S Rampart Blvd","Francesca's Collections","2014-06-21 00:00:00"
NV,"Las Vegas",Westside,"1037 S Rampart Blvd","Francesca's Collections","2014-06-20 00:00:00"
NV,"Las Vegas",Summerlin,"11770 W Charleston Blvd, Ste 150",Krayvings,"2014-06-20 00:00:00"
NV,"Las Vegas",Eastside,"4165 S Paradise Rd","P.F. Chang's","2014-06-15 00:00:00"
NV,"Las Vegas","South Summerlin","11011 West Charleston Blvd","Regal Cinemas Red Rock 16 & IMAX","2014-06-13 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S","Lego Store","2014-06-12 00:00:00"
NV,"Las Vegas",Summerlin,"11770 W Charleston Blvd, Ste 150",Krayvings,"2014-06-11 00:00:00"
NV,"Las Vegas","The Strip","3200 Las Vegas Blvd S","Lululemon Athletica","2014-06-11 00:00:00"
NV,"Las Vegas",Summerlin,"9430 W Lake Mead Blvd, Ste 1","New York Chinese Restaurant","2014-06-11 00:00:00"
NV,"Las Vegas","South Summerlin","11011 West Charleston Blvd","Regal Cinemas Red Rock 16 & IMAX","2014-06-07 00:00:00"
NV,"Las Vegas",Northwest,"3205 N Tenaya Way","Dona Maria Tamales Restaurant","2014-06-06 00:00:00"
NV,"Las Vegas",Summerlin,"10840 West Charleston","BJ's Restaurant & Brewhouse","2014-05-31 00:00:00"
NV,"Las Vegas",Eastside,"4480 Paradise Rd, Ste 1200","Origin India Las Vegas","2014-05-23 00:00:00"
AZ,Phoenix,,"2502 E Camelback Rd","Juicd Life","2014-05-16 00:00:00"
NV,"Las Vegas",Westside,"2012 South Jones Blvd","My Left Foot Children's Therapy","2014-05-14 00:00:00"
NV,"Las Vegas",Westside,"750 S Rampart Blvd, Ste 4","Artiques Unique Home Furnishings & Decor","2014-05-07 00:00:00"
AZ,Phoenix,,"648 W Coolidge St","Schulte Automotive Services","2014-04-30 00:00:00"
NV,"North Las Vegas",,"1841 E Craig Rd, Ste A","FLIPnOUT Fun Centers","2014-04-26 00:00:00"
NV,"Las Vegas",Summerlin,"11770 W Charleston Blvd, Ste 150",Krayvings,"2014-04-25 00:00:00"
NV,"Las Vegas","South Summerlin","11011 West Charleston Blvd","Regal Cinemas Red Rock 16 & IMAX","2014-04-25 00:00:00"
