state,city,neighborhood,address,name,date
NV,"North Las Vegas",,"2517 E Craig Rd",Starbucks,"2017-07-14 00:00:00"
NV,"Las Vegas",Southeast,"8164 S Las Vegas Blvd, Ste 100",Starbucks,"2017-07-13 00:00:00"
NV,"Las Vegas",,"43 S Stephanie St, Ste 120, EOS Gym","Jozo Coffee Tea Boba House","2017-07-13 00:00:00"
NV,"Las Vegas",Northwest,"7065 W Ann Rd, Ste 130","The UPS Store","2017-07-11 00:00:00"
NV,Henderson,Anthem,"2511 Anthem Village Dr",Starbucks,"2017-07-11 00:00:00"
NV,"Las Vegas",Downtown,"1615 S Las Vegas Blvd","Bajamar Seafood & Tacos","2017-07-11 00:00:00"
NV,"Las Vegas",Chinatown,"3939 W Spring Mountain Rd","The Golden Tiki","2017-07-10 00:00:00"
NV,"Las Vegas",Downtown,"508 Fremont St","Evel Pie","2017-07-10 00:00:00"
NV,"Las Vegas","The Strip","3930 Las Vegas Blvd S, Ste 120","Slice of Vegas","2017-07-09 00:00:00"
NV,"Las Vegas",Downtown,"401 S Maryland Pkwy","The Gay & Lesbian Community Center of Southern Nevada","2017-07-08 00:00:00"
NV,"Las Vegas",,,"Mr. Cooker","2017-07-08 00:00:00"
NV,"Las Vegas","Spring Valley","6825 W Russell Rd, Ste 155","Illumilatte Brew Society","2017-07-07 00:00:00"
NV,"Las Vegas",Southwest,"8390 S Rainbow Blvd, Ste 100","Dirt Dog","2017-07-06 00:00:00"
NV,Henderson,,"1647 W Warm Springs Rd",Teason,"2017-07-06 00:00:00"
NV,"Las Vegas",Southwest,"8390 S Rainbow Blvd, Ste 100","Dirt Dog","2017-07-05 00:00:00"
NV,"Las Vegas",Southwest,"7965 S Rainbow Blvd, Ste 150","Coco Donuts","2017-07-03 00:00:00"
NV,"Las Vegas",Chinatown,"5115 W Spring Mountain Rd, Ste 208","Baan Thai Restaurant","2017-07-03 00:00:00"
NV,"Las Vegas","The Strip","3667 S Las Vegas Blvd","Gordie Brown","2017-07-03 00:00:00"
NV,"Las Vegas",Downtown,"707 E Fremont St, Ste 1300","ChillSpot by SasaSweets","2017-07-02 00:00:00"
NV,"Las Vegas","Spring Valley","10170 W Tropicana Ave, Ste 144","Anna Marie's Italian Cuisine","2017-07-02 00:00:00"
NV,"Las Vegas",,"3871 S Valley View Blvd, Ste 8","Blackout Dining in the Dark","2017-06-27 00:00:00"
NV,"Las Vegas",Downtown,"1025 1st St","First Friday","2017-06-27 00:00:00"
NV,"Las Vegas",Eastside,"3768 Maryland Pkwy, Ste 650","VeggiEAT Xpress","2017-06-27 00:00:00"
NV,"Las Vegas",Downtown,"124 S 6th St, Ste 160","Smooth Eats","2017-06-11 00:00:00"
NV,"Las Vegas",Southeast,"5757 Wayne Newton Blvd","McCarran Airport Terminal 3","2017-06-03 00:00:00"
NV,"Las Vegas",Eastside,"4865 S Pecos Rd, Ste 5","Pancho's Vegan Tacos","2017-06-02 00:00:00"
NV,"Las Vegas",Summerlin,"911 N Buffalo Dr, Ste 109","Chloe Spa","2017-06-01 00:00:00"
NV,"Las Vegas",Eastside,"Hard Rock Hotel & Casino, 4455 Paradise Rd","Fú Asian Kitchen","2017-05-31 00:00:00"
NV,"Las Vegas",Southeast,"3315 E Russell Rd, Ste 184 Ste A-4","GFY Burgers and Fries","2017-05-31 00:00:00"
NV,"Las Vegas",Sunrise,"4505 E Charleston Blvd",Starbucks,"2017-05-31 00:00:00"
NV,"Las Vegas",Downtown,"840 S Rancho Dr",Starbucks,"2017-05-31 00:00:00"
NV,"Las Vegas",,"770 Las Vegas Blvd N","Neon Museum","2017-05-31 00:00:00"
NV,"Las Vegas",Southwest,,SoClean,"2017-05-31 00:00:00"
