user_signup,yelping_since
17,"2004-10-12 00:00:00"
6,"2004-10-13 00:00:00"
2,"2004-10-14 00:00:00"
10,"2004-10-15 00:00:00"
1,"2004-10-16 00:00:00"
2,"2004-10-17 00:00:00"
5,"2004-10-18 00:00:00"
1,"2004-10-19 00:00:00"
1,"2004-10-21 00:00:00"
1,"2004-10-25 00:00:00"
1,"2004-10-29 00:00:00"
1,"2004-11-07 00:00:00"
1,"2004-11-13 00:00:00"
1,"2004-11-20 00:00:00"
1,"2004-11-22 00:00:00"
1,"2004-11-23 00:00:00"
1,"2004-11-29 00:00:00"
1,"2004-12-01 00:00:00"
2,"2004-12-02 00:00:00"
1,"2004-12-03 00:00:00"
1,"2004-12-04 00:00:00"
2,"2004-12-06 00:00:00"
3,"2004-12-07 00:00:00"
1,"2004-12-08 00:00:00"
1,"2004-12-11 00:00:00"
1,"2004-12-13 00:00:00"
1,"2004-12-15 00:00:00"
1,"2004-12-19 00:00:00"
3,"2004-12-23 00:00:00"
2,"2004-12-28 00:00:00"
1,"2005-01-02 00:00:00"
1,"2005-01-03 00:00:00"
2,"2005-01-05 00:00:00"
2,"2005-01-06 00:00:00"
1,"2005-01-11 00:00:00"
1,"2005-01-12 00:00:00"
1,"2005-01-13 00:00:00"
3,"2005-01-14 00:00:00"
1,"2005-01-16 00:00:00"
1,"2005-01-17 00:00:00"
1,"2005-01-18 00:00:00"
1,"2005-01-24 00:00:00"
2,"2005-01-25 00:00:00"
3,"2005-01-27 00:00:00"
1,"2005-01-28 00:00:00"
2,"2005-01-31 00:00:00"
4,"2005-02-02 00:00:00"
1,"2005-02-03 00:00:00"
1,"2005-02-04 00:00:00"
1,"2005-02-05 00:00:00"
3,"2005-02-08 00:00:00"
1,"2005-02-09 00:00:00"
1,"2005-02-10 00:00:00"
1,"2005-02-12 00:00:00"
1,"2005-02-15 00:00:00"
2,"2005-02-16 00:00:00"
1,"2005-02-19 00:00:00"
1,"2005-02-20 00:00:00"
4,"2005-02-23 00:00:00"
1,"2005-02-24 00:00:00"
4,"2005-02-25 00:00:00"
2,"2005-02-26 00:00:00"
