password,category,size
also,neu,80
always,neu,40
asked,neu,10
available,neu,10
back,neu,100
best,pos,50
better,pos,40
chinese,neu,20
come,neu,50
definitely,pos,40
delicious,pos,20
different,neu,20
dining,neu,10
enjoyed,pos,10
even,neu,70
evening,neu,10
extra,neu,20
find,neu,10
first,neu,60
free,pos,20
fresh,pos,40
fried,neu,20
friendly,pos,60
give,neu,10
going,neu,10
good,pos,20
great,pos,80
green,neu,10
happy,pos,30
hiking,neu,10
huge,pos,10
iced,neu,10
know,neu,30
large,neu,40
last,neu,30
little,neu,50
long,neu,20
made,neu,70
make,neu,50
many,neu,20
maybe,neu,10
much,neu,50
national,neu,10
never,neu,20
next,neu,20
nice,pos,80
open,neu,10
ordered,neu,40
plus,neu,10
pretty,pos,40
professional,neu,10
quite,neu,40
really,neu,50
seasoned,neu,10
small,neu,50
special,pos,30
still,neu,20
take,neu,60
tasted,neu,10
tried,neu,20
various,neu,10
walking,neu,10
well,pos,80
